track_name,track_popularity,artist_name,album,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,artist_encoded,album_encoded
Working Man,51,Otis Rush,Mourning In The Morning,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",41,0.633,0.625,0.0,0.6952199137204343,1,0.0436,0.492,0.000418,0.204,0.841,0.5976903148203836,0.1032959660059825,4,1,3879,5734
Long Way Home,38,"Clarence ""Gatemouth"" Brown",Long Way Home,"['blues', 'blues rock', 'memphis blues', 'modern blues', 'texas blues', 'traditional blues']",33,0.728,0.054,1.0,0.40747260375861555,0,0.038,0.91,0.048,0.12,0.425,0.45125604311720763,0.23645760532274748,4,1,1024,5133
She's A Sweet One,49,Junior Wells,Calling All Blues ,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'memphis blues', 'modern blues', 'traditional blues']",41,0.705,0.483,0.09090909090909091,0.6640303466058413,1,0.0542,0.15,0.0265,0.202,0.713,0.7105028798778655,0.1270484470660591,4,1,2716,1547
Help Me,59,Sonny Boy Williamson II,More Real Folk Blues,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",46,0.745,0.436,0.45454545454545453,0.7282937472107899,0,0.043,0.597,0.0213,0.61,0.771,0.6604982535680415,0.13153112856783428,4,1,4642,5703
Take Out Some Insurance,51,Jimmy Reed,Rockin' With Reed,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'traditional blues']",42,0.747,0.288,0.8181818181818182,0.6088411761789061,1,0.0513,0.663,0.0,0.122,0.566,0.6438088408780737,0.10017332476028068,4,1,2488,7228
The Sky Is Crying,21,Elmore James,Shake Your Moneymaker: The Best of the Fire Sessions,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",44,0.294,0.611,0.18181818181818182,0.811325432637477,1,0.0348,0.0226,0.435,0.114,0.567,1.0304584673035555,0.11629532302703308,3,1,1610,7538
All Your Love,27,Magic Sam,Presenting Magic Sam,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'soul blues', 'traditional blues']",38,0.689,0.725,1.0,0.7743591015024545,1,0.0974,0.839,0.365,0.103,0.83,0.6991510721473019,0.123125576584384,3,1,3304,6738
Kindhearted Woman Blues,35,"Robert Lockwood, Jr.",I Got To Find Me A Woman,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'country blues', 'delta blues', 'electric blues', 'traditional blues']",27,0.706,0.247,0.18181818181818182,0.7101452868547627,1,0.0573,0.939,0.000522,0.104,0.477,0.5879692813027689,0.11349976237734477,4,1,4280,4071
Back To New Orleans,47,Lightnin' Hopkins,The Complete Prestige / Bluesville Recordings,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'texas blues', 'traditional blues']",44,0.629,0.275,0.36363636363636365,0.5310656022214509,1,0.0606,0.889,0.00747,0.107,0.666,0.4740810992112143,0.1409892091358922,4,1,3069,8645
I Can't Quit You Baby,49,Willie Dixon,Poet Of the Blues ,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'jump blues', 'traditional blues']",42,0.469,0.236,0.6363636363636364,0.5457182525908663,1,0.0364,0.407,0.0434,0.215,0.415,0.47553838680576443,0.2789780828045064,4,1,5504,6664
Call It Stormy Monday But Tuesday Is Just As Bad,43,T-Bone Walker,The Complete Capitol / Black & White Recordings,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'jazz blues', 'texas blues', 'traditional blues']",44,0.621,0.134,0.0,0.5741062131204443,1,0.0496,0.853,0.0568,0.0412,0.44,0.600159607688927,0.1279157697576249,4,1,4788,8634
Baby Scratch My Back - Single Version,52,Slim Harpo,The Excello Singles Anthology,"['acoustic blues', 'blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rhythm and blues', 'rock-and-roll', 'swamp blues', 'swamp rock', 'traditional blues']",45,0.802,0.455,0.45454545454545453,0.6773193831506917,1,0.0537,0.803,0.585,0.0607,0.932,0.7104450510050658,0.121327332196472,4,1,4598,8735
Walking By Myself,50,Jimmy Rogers,Chicago Bound,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'traditional blues']",40,0.621,0.519,1.0,0.636287003520603,0,0.102,0.837,0.00246,0.162,0.775,0.6766267261918532,0.11690126079785301,4,1,2489,1724
Wang Dang Doodle,53,Koko Taylor,Koko Taylor,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",43,0.648,0.544,0.09090909090909091,0.7445083552337978,1,0.153,0.343,2.93e-06,0.087,0.619,0.8851460757326919,0.12777599172514048,4,1,2890,4709
Ain't Nobody's Business,37,Otis Spann,The Biggest Thing Since Colossus,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'electric blues', 'jazz blues', 'piano blues', 'traditional blues']",33,0.515,0.105,0.0,0.5377349134725046,1,0.0521,0.309,0.00291,0.0852,0.177,0.8024507876292477,0.21800690503480474,3,1,3880,8570
