track_id,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3FnaCm5NYQh8prhCfPDNOV,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Promised,42,Pig&Dan,Promised,https://i.scdn.co/image/ab67616d0000b27351029599e2c85694e408d48b,"['dark techno', 'microhouse', 'minimal techno', 'spanish techno', 'tech house', 'techno']",41,0.778,0.642,7.0,-12.971,1.0,0.04,0.0267,0.878,0.0854,0.0367,124.005,562229.0,4.0,techhouse
3oJaIce9FdZyKlpQ22jxp5,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Dark Matter,47,Dubfire,Dark Matter / Dust & Gas,https://i.scdn.co/image/ab67616d0000b273d6c80d65fc464b74c6532c2c,"['deep minimal techno', 'minimal techno', 'tech house']",43,0.819,0.607,1.0,-7.631,1.0,0.0767,0.000703,0.886,0.0721,0.124,131.999,530496.0,4.0,techhouse
50MkrUXSXsS1Q1bn95XQcm,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Sleepless - Stephan Bodzin Remix,48,Pan-Pot,The Other Remixes,https://i.scdn.co/image/ab67616d0000b27379a15e62ed1eda56e57adb8a,"['german techno', 'microhouse', 'minimal techno', 'raw techno', 'tech house', 'techno']",40,0.742,0.662,2.0,-8.149,1.0,0.0462,0.00022,0.811,0.0869,0.0845,119.991,540000.0,4.0,techhouse
2hJRfyYiJ8umxp1WdbeyLj,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Dubmission - 2021 Edit,51,Anja Schneider,Dubmission (Original Edit),https://i.scdn.co/image/ab67616d0000b2730b9874f439e4466022f579af,"['electra', 'german house', 'german techno', 'microhouse', 'minimal techno', 'tech house']",44,0.804,0.476,11.0,-13.48,1.0,0.0947,0.335,0.891,0.0971,0.276,122.033,186885.0,4.0,techhouse
1BpG59DLyW6jZxN2PYiUA3,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,2daBeat,47,Super Flu,Musik 3,https://i.scdn.co/image/ab67616d0000b273f2fcdb2d6dd9a2cdd166fbc9,"['deep euro house', 'german house', 'microhouse', 'minimal techno', 'organic house', 'tech house']",43,0.659,0.698,9.0,-10.252,0.0,0.0687,0.109,0.00864,0.0836,0.221,120.022,329787.0,4.0,techhouse
2mwptYSUenZkc1EL20HC30,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Countach - Kölsch Remix,42,Butch,Countach,https://i.scdn.co/image/ab67616d0000b273588dfc6454ae649fc1ba886d,"['acid techno', 'frankfurt electronic', 'german techno', 'house', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house']",39,0.751,0.661,0.0,-9.707,1.0,0.0596,0.00493,0.76,0.105,0.123,124.972,447446.0,4.0,techhouse
0tZFL2LU8XSThRttMJif6Q,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Soopertrack,45,Extrawelt,Extra Welt Hits,https://i.scdn.co/image/ab67616d0000b2732c38140c15a1dc583c428f30,"['electronica', 'german techno', 'hamburg electronic', 'microhouse', 'minimal techno', 'tech house']",41,0.767,0.76,1.0,-9.554,1.0,0.0416,0.000389,0.945,0.0742,0.065,130.006,482266.0,4.0,techhouse
1LwmwOuIoZVydjL13JzaHP,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Let's Be Friends,31,Robert Babicz,Let's Be Friends - Single,https://i.scdn.co/image/ab67616d0000b27328b80810518cc20608bb3e57,"['cologne electronic', 'german techno', 'microhouse', 'minimal techno', 'organic house', 'tech house']",33,0.765,0.647,11.0,-11.527,0.0,0.0581,0.000254,0.897,0.0516,0.144,120.003,502448.0,4.0,techhouse
2HFFNPjMoAUUIU5iAr9bUZ,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Accelerate,31,Christian Smith,Accelerate,https://i.scdn.co/image/ab67616d0000b273d29a3e00a8217d72e8e1c67f,"['deep minimal techno', 'minimal techno', 'swedish techno', 'tech house', 'techno']",31,0.766,0.934,11.0,-8.838,0.0,0.055,0.00365,0.932,0.0885,0.548,135.008,383602.0,4.0,techhouse
0yuJtvXsapVOQfNDYxQ5mw,https://open.spotify.com/playlist/7HxEKL4NF7ZKakfTZiekTr?si=0d9899114a0f46ce,The Sound of Tech House,Singularity,50,Stephan Bodzin,Powers of Ten,https://i.scdn.co/image/ab67616d0000b273faab5a4042d8bd545447a127,"['deep techno', 'electronica', 'german techno', 'microhouse', 'minimal techno', 'tech house']",48,0.752,0.486,10.0,-12.53,0.0,0.0493,0.0479,0.877,0.0926,0.0379,121.0,421307.0,4.0,techhouse
