,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2DlHlPMa4M17kufBvI2lEN,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Chop Suey!,82,System Of A Down,Toxicity,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,4,metal
55mJleti2WfWEFNFcBduhc,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Schism,69,TOOL,Lateralus,https://i.scdn.co/image/ab67616d0000b273ca41a947c13b78749c4953b1,"['alternative metal', 'art rock', 'nu metal', 'progressive metal', 'progressive rock', 'rock']",69,0.567,0.714,9,-8.512,0,0.0302,0.0012,0.417,0.186,0.191,107.441,403533,3,metal
0snQkGI5qnAmohLE7jTsTn,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Toxicity,80,System Of A Down,Toxicity,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,218933,3,metal
3jagGO7eHHuaD53ibehkux,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Blood and Thunder,65,Mastodon,Leviathan,https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd,"['alternative metal', 'atlanta metal', 'hard rock', 'metal', 'nu metal', 'progressive groove metal', 'progressive sludge', 'rock', 'sludge metal', 'stoner metal']",59,0.364,0.935,2,-6.548,1,0.0724,8.58e-06,0.729,0.0317,0.478,92.717,228587,4,metal
7IoK6jZBxY7NMoQPoPXZCF,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Passenger,65,Deftones,White Pony,https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",76,0.345,0.797,0,-6.152,1,0.0551,0.00188,0.0668,0.145,0.223,117.987,368667,4,metal
61mWefnWQOLf90gepjOCb3,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Duality,79,Slipknot,Vol. 3: The Subliminal Verses,https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a,"['alternative metal', 'nu metal', 'rap metal']",78,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4,metal
40rvBMQizxkIqnjPdEWY1v,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Down with the Sickness,75,Disturbed,The Sickness,https://i.scdn.co/image/ab67616d0000b2732b222dcd5c4fcac7c0e81da2,"['alternative metal', 'nu metal', 'rap metal']",72,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,4,metal
0EYOdF5FCkgOJJla8DI2Md,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,B.Y.O.B.,76,System Of A Down,Mezmerize,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,255467,4,metal
7CpbhqKUedOIrcvc94p60Y,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Bodies,75,Drowning Pool,Sinner,https://i.scdn.co/image/ab67616d0000b27326d45b50f2016fed43d54320,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",61,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,201960,4,metal
2avKuMN2QXkaG9vvHa2JLt,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Take A Look Around,74,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,https://i.scdn.co/image/ab67616d0000b2734a31b146c7cf07705d912efe,"['alternative metal', 'funk metal', 'nu metal', 'rap metal']",73,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,321040,4,metal
6wqJeItl3Vc3az4ZicSQAB,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Before I Forget,76,Slipknot,Vol. 3: The Subliminal Verses,https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a,"['alternative metal', 'nu metal', 'rap metal']",78,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,278600,4,metal
3o7TMr6RmIusYH7Kkg7ujR,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Coming Undone,74,Korn,See You On the Other Side,https://i.scdn.co/image/ab67616d0000b27374c1560b64750a1774495144,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",74,0.687,0.677,2,-4.172,1,0.0508,0.000643,0.000137,0.0564,0.545,75.052,199773,4,metal
6RJdYpFQwLyNfDc5FbjkgV,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Stricken,72,Disturbed,Ten Thousand Fists,https://i.scdn.co/image/ab67616d0000b273bbdafec608fc5329ec2ad831,"['alternative metal', 'nu metal', 'rap metal']",72,0.402,0.969,8,-2.825,1,0.181,9.14e-05,0.0325,0.225,0.262,173.847,245227,4,metal
7nsO4eXkY7DvrWbjYUDLJS,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Still Counting,71,Volbeat,Guitar Gangsters & Cadillac Blood,https://i.scdn.co/image/ab67616d0000b273a4f0f45e94c1a6ff37b76f26,"['alternative metal', 'danish metal', 'danish rock']",70,0.309,0.919,2,-3.131,1,0.0609,0.00039,0.000225,0.424,0.322,103.89,261813,4,metal
7zAt4tdL44D3VuzsvM0N8n,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Afterlife,69,Avenged Sevenfold,Avenged Sevenfold,https://i.scdn.co/image/ab67616d0000b27333c52ca8309741c6999ca742,"['alternative metal', 'nu metal']",73,0.487,0.949,2,-4.217,0,0.0798,0.000429,2.91e-05,0.231,0.406,110.02,352427,4,metal
7uIF6RDrW2PwvvYEMkanr8,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Bad Company,69,Five Finger Death Punch,War Is the Answer,https://i.scdn.co/image/ab67616d0000b273cd626f837ce7967a29bc7d0a,"['alternative metal', 'groove metal', 'nu metal']",75,0.558,0.886,11,-4.196,0,0.0482,0.000595,9.91e-05,0.0904,0.171,114.041,262440,4,metal
0INUE1K7cEiE8VH63Rv5RJ,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Happy?,69,Mudvayne,Lost and Found,https://i.scdn.co/image/ab67616d0000b273d23c71c684a6e4d669e8deff,"['alternative metal', 'groove metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",60,0.546,0.97,5,-2.661,0,0.097,0.000823,2.08e-05,0.275,0.383,100.065,216427,4,metal
71fSn6OIF7HnCbgCzOBqpj,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Runnin' Wild,68,Airbourne,Runnin' Wild (Special Edition),https://i.scdn.co/image/ab67616d0000b273f14b478eb49241dd646c8626,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",60,0.47,0.947,10,-4.122,1,0.0929,0.000141,0.29,0.127,0.394,162.052,222240,4,metal
3RAFcUBrCNaboRXoP3S5t1,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Psychosocial,75,Slipknot,All Hope Is Gone (10th Anniversary),https://i.scdn.co/image/ab67616d0000b273e7fbc0883149094912559f2c,"['alternative metal', 'nu metal', 'rap metal']",78,0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,4,metal
5XfQTbialQHn9PhDb0p85H,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Crazy Bitch,68,Buckcherry,15,https://i.scdn.co/image/ab67616d0000b2736aef1326a3af9658b6a84dde,"['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'rock', 'sleaze rock']",58,0.661,0.978,1,-3.064,0,0.107,0.0247,0.0,0.0856,0.592,98.019,204960,4,metal
3sHH7lklbfpcraDDvYnjo7,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Bat Country,69,Avenged Sevenfold,City of Evil,https://i.scdn.co/image/ab67616d0000b27364312d8b81af58876a7ca5ee,"['alternative metal', 'nu metal']",73,0.541,0.968,0,-4.129,1,0.0396,0.000248,8.28e-06,0.423,0.505,125.04,311813,4,metal
3tS1VMpxp9bLn46Cyh09el,https://open.spotify.com/playlist/37i9dQZF1DWXNFSTtym834?si=e8d3fb266bbc4134,OOs Metal Classics,Stillborn,68,Black Label Society,The Blessed Hellride,https://i.scdn.co/image/ab67616d0000b273f99e29660d585bfcfa75346a,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'rock']",59,0.585,0.881,5,-4.719,0,0.0366,2.27e-05,0.000939,0.376,0.425,107.028,196040,4,metal
