,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2G6pvEfrwrJZS6NgqS3DqX,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,Don't Let Our Love Start Slippin' Away,59,Vince Gill,I Still Believe In You,https://i.scdn.co/image/ab67616d0000b273fc8c2507067028eea6494628,"['country', 'country rock', 'oklahoma country']",60,0.736,0.719,3,-9.311,1,0.0313,0.42,0.000851,0.35,0.657,113.228,224800,4,country
6sxptembJVty4sNtcPMAVz,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,Man! I Feel Like A Woman!,78,Shania Twain,Come On Over,https://i.scdn.co/image/ab67616d0000b273aaf012d56b8c72658da6c45f,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",73,0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,234493,4,country
1wb4P4F0sxAQ2KXrRvsx6n,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,You're Still The One,77,Shania Twain,Come On Over,https://i.scdn.co/image/ab67616d0000b273aaf012d56b8c72658da6c45f,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",73,0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,212200,4,country
0Xg68XXMRWzKQvD5S6BFvI,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,Dust On The Bottle,73,David Lee Murphy,Out With A Bang,https://i.scdn.co/image/ab67616d0000b2737883d49cc76d40ae14b6bcf2,"['contemporary country', 'country', 'country road', 'country rock']",58,0.736,0.614,11,-11.124,1,0.0389,0.0237,5.84e-06,0.292,0.858,99.942,224667,4,country
6Lmx6bz3PGYuNSjKMnYBOa,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,"Heads Carolina, Tails California",69,Jo Dee Messina,JoDee Messina,https://i.scdn.co/image/ab67616d0000b27381a1388ffa0d56901692abb8,"['contemporary country', 'country', 'country dawn']",58,0.607,0.815,4,-6.619,1,0.039,0.0471,2.81e-05,0.111,0.57,136.949,209760,4,country
59kHPbwyyCApYA8RQQEuXm,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,Chattahoochee,72,Alan Jackson,A Lot About Livin' (And A Little 'Bout Love),https://i.scdn.co/image/ab67616d0000b273933cf67cacfab71afa20c6c4,"['contemporary country', 'country', 'country road']",72,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,148160,4,country
2ulBBx6YQ3qY3ci34RadtN,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,She's In Love With The Boy - Single Version,69,Trisha Yearwood,Trisha Yearwood,https://i.scdn.co/image/ab67616d0000b273a8635c8965518a6fb5eb160a,"['contemporary country', 'country', 'country dawn', 'country road', 'country rock']",60,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,248200,4,country
18BajNiyvH6GpYshB0unrm,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,Should've Been A Cowboy,71,Toby Keith,Toby Keith 35 Biggest Hits,https://i.scdn.co/image/ab67616d0000b273d241324e9e9f14f83f293c5a,"['contemporary country', 'country', 'country road', 'oklahoma country']",68,0.585,0.793,7,-3.713,1,0.0322,0.351,0.0,0.3,0.732,133.839,208413,4,country
5Pgwi0iizu96RHxJ4xL3SH,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,Strawberry Wine,68,Deana Carter,Did I Shave My Legs For This?,https://i.scdn.co/image/ab67616d0000b2738805523bca720bfd0dfd3e77,"['contemporary country', 'country', 'country dawn', 'country road']",54,0.572,0.449,1,-6.566,1,0.0264,0.314,0.0,0.0301,0.207,122.632,291533,3,country
2MiXC2LfpsoeUP5RvMGEQ3,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU?si=0b7b96ec4240488b&nd=1,90s Country,The Night The Lights Went Out In Georgia,65,Reba McEntire,For My Broken Heart,https://i.scdn.co/image/ab67616d0000b27370c821f8a5ce4b1411bbc801,"['contemporary country', 'country', 'country dawn', 'oklahoma country']",61,0.428,0.51,7,-11.695,0,0.103,0.52,8.32e-06,0.105,0.393,169.967,257267,4,country
