,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7BnfMue7oWPC0PO7zfPQAE,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,Eclipse,43,iamrw,That Summer When We Met,https://i.scdn.co/image/ab67616d0000b27303cd93de67da3aee7ea8ba92,[],25,0.149,0.0504,9,-27.707,1,0.0371,0.891,0.912,0.114,0.0346,76.021,132923,1,ambient
5xGPWuqxOJbw2xs6FRI59G,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,Fairy Light,46,EIRLYS,Fairy Light,https://i.scdn.co/image/ab67616d0000b2735e85282ff16aca4aae73b153,['spectra'],30,0.126,0.029,3,-31.878,1,0.0414,0.992,0.934,0.1,0.0705,83.173,167000,4,ambient
5DsQEpDxcQXXbLyfPsLVFv,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,Gentle Flow,42,Astral Wonder,Gentle Flow,https://i.scdn.co/image/ab67616d0000b273974b6e393319221aab043d30,[],31,0.115,0.0239,0,-35.091,1,0.0468,0.967,0.985,0.102,0.0281,95.02,209231,4,ambient
08cdH83ZfXtkGphVBTmDEa,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,We Don't Like You,41,Andrew Land,We Don't Like You,https://i.scdn.co/image/ab67616d0000b2732087bbba7f9dff2bf8b2fd6d,['neo-classical'],29,0.249,0.0728,4,-32.671,1,0.0416,0.988,0.861,0.0939,0.125,67.974,298000,4,ambient
7bG1tltLLroslB2iN4NVXx,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,Augnablik,64,Næturkall,Augnablik,https://i.scdn.co/image/ab67616d0000b273db2ab80bfa468aab26826e25,[],47,0.125,0.00793,3,-36.53,1,0.0379,0.969,0.932,0.106,0.148,66.612,163399,4,ambient
35Jg3C3PRKaoqRwGk43vzl,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,Lost in Time,40,Dreaming Hiker,Lost in Time,https://i.scdn.co/image/ab67616d0000b2737a0e8dea68ca61f692d5e95e,[],36,0.225,0.0328,11,-32.155,0,0.0422,0.971,0.865,0.075,0.0377,82.116,130435,4,ambient
5CeRyms5wAeH7Spyc9fX25,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,first inhale,42,Antarctic Wastelands,first inhale,https://i.scdn.co/image/ab67616d0000b27315d3a40a0ce228408859e838,['ambient worship'],41,0.067,0.0291,7,-36.716,1,0.0396,0.978,0.873,0.0965,0.0776,68.388,171905,3,ambient
20C59ZiRbuRZIY2Xbup9Wl,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,Pulse,45,Antent,Pulse,https://i.scdn.co/image/ab67616d0000b273d4aaceb830782bfe7a384836,['hardwave'],41,0.373,0.022,3,-31.747,1,0.0287,0.984,0.903,0.0798,0.166,178.898,128918,4,ambient
0X32YnznPuE9Ass1qQMM0m,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,Morning Repose,39,Endel,Relax: Easy Morning,https://i.scdn.co/image/ab67616d0000b273ffb4cefa49960e8cf4b87e14,[],47,0.14,0.048,0,-25.501,1,0.0415,0.218,0.879,0.102,0.0284,76.089,226265,4,ambient
1SJAJFXAh3qMeVcMfRXrWa,https://open.spotify.com/playlist/37i9dQZF1DXdf43Md5h6cE?si=bee61d282d9f4aac,Ambient Dreamscapes,in motion,42,Ann Annie,wander into,https://i.scdn.co/image/ab67616d0000b273a7fc3b804930e7667d14ccf4,"['fourth world', 'j-ambient', 'modular synth', 'spectra']",35,0.178,0.109,5,-27.796,1,0.0325,0.942,0.788,0.0993,0.0678,61.848,237176,4,ambient
