,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0V7jFr6ii1WrCukSnr7Pgo,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Wilting Affection,15,Kaisaku,Wilting Affection,https://i.scdn.co/image/ab67616d0000b273f0b8e592b5d9a10a986d4429,['chillstep'],28,0.382,0.417,1,-12.112,0,0.0473,0.318,0.8,0.0663,0.0381,144.014,375460,4,ambient
2I3ZJitUMo4EjcOz7uFpo4,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Euphoria,36,YOUTH 83,Euphoria,https://i.scdn.co/image/ab67616d0000b2738c5b527b0a8b12aaa264fa22,['chillsynth'],36,0.27,0.505,7,-12.576,1,0.0397,0.182,0.666,0.656,0.116,99.988,267627,4,ambient
1zbNRNXeNFH5L3B4ZPN3qj,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Fading Silhouette,0,Kaisaku,Yume,https://i.scdn.co/image/ab67616d0000b27380af4cd946202f746d5f6c1a,['chillstep'],28,0.444,0.603,2,-8.984,1,0.0681,0.00317,0.0899,0.425,0.0392,131.965,349167,4,ambient
06ZvAe2HOabLfnphpayK7t,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Impulse,3,Spaceouters,Contradictions,https://i.scdn.co/image/ab67616d0000b273d082693d662b67eb26d765c9,[],34,0.427,0.481,8,-13.896,1,0.0442,0.104,0.761,0.0907,0.128,126.899,220804,4,ambient
0tv2MjWoJkAEGXnnXXdRVH,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Moment,25,Blut Own,Moment,https://i.scdn.co/image/ab67616d0000b273ca0e6c9622adc81759fbd3dd,['hardwave'],27,0.677,0.43,10,-12.911,0,0.0643,0.864,0.904,0.286,0.0784,110.015,246545,4,ambient
7KZGp2H4qEade8352Xhsj5,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Eyes of the Temple,31,２８１４,Rain Temple,https://i.scdn.co/image/ab67616d0000b273429f9ba4e67ea3d5dfd5ad73,"['cyberpunk', 'dreampunk', 'hardvapour', 'slushwave', 'vaporwave']",40,0.367,0.636,7,-10.176,0,0.0347,0.00447,0.305,0.428,0.0929,150.002,675000,4,ambient
7zUit7KuTonaR5kiDnGbA3,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Serenata,4,Kaisaku,Aishū,https://i.scdn.co/image/ab67616d0000b273080f89f393d5c8423a090f9a,['chillstep'],28,0.163,0.314,1,-19.751,1,0.0368,0.927,0.898,0.0759,0.0868,70.104,248904,4,ambient
11OBBtetoKpUK1TpcTKA5z,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Transference,22,２８１４,Rain Temple,https://i.scdn.co/image/ab67616d0000b273429f9ba4e67ea3d5dfd5ad73,"['cyberpunk', 'dreampunk', 'hardvapour', 'slushwave', 'vaporwave']",40,0.172,0.62,1,-10.978,0,0.0353,0.0123,0.000681,0.169,0.0402,99.753,476000,4,ambient
44PpTeN1fcHKN1Jt3OJMIv,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Her Melancholy,0,Kaisaku,Her Melancholy,https://i.scdn.co/image/ab67616d0000b273077d875864edc1fc93b7154c,['chillstep'],28,0.466,0.472,1,-11.633,0,0.0607,0.0951,0.9,0.0994,0.065,132.03,309147,4,ambient
0GK4ZRf8VCGhS9qtVSNjbj,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Ozon,46,AK,Ozon,https://i.scdn.co/image/ab67616d0000b273173151df5fe85b1d040592c3,[],52,0.539,0.449,7,-16.465,0,0.0491,0.902,0.92,0.0991,0.0397,123.064,194029,4,ambient
5UkNCEb4LyzFyatsxclwFH,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,Emotion,36,Fyze,Emotion,https://i.scdn.co/image/ab67616d0000b273191781b6f15358c10ae11e52,[],28,0.415,0.556,5,-12.246,0,0.045,0.336,0.902,0.237,0.0347,128.002,290019,4,ambient
18l96LCRzEegdK7snU2DFF,https://open.spotify.com/playlist/1lWWFKfJbEL561Mq3tkTb9?si=97ecd378bfe949f5,Ambient Electronic,All Equal,53,AK,All Equal,https://i.scdn.co/image/ab67616d0000b273df85beb9618dfe454a125758,[],52,0.698,0.573,9,-16.798,0,0.0498,0.657,0.845,0.333,0.0586,126.98,222992,4,ambient
