,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4KjNEsQ4jkqXwCmsn71a9p,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Lush,52,Four Tet,New Energy,https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63,"['electronica', 'folktronica', 'intelligent dance music']",58,0.659,0.667,1,-10.463,0,0.0326,0.83,0.896,0.118,0.637,132.907,311893,4,ambient
0WfOuXw05LJq4ik1lVvTzi,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Apricots,61,Bicep,Isles,https://i.scdn.co/image/ab67616d0000b2737002b491db4917f96f10283a,"['ambient house', 'electronica']",61,0.819,0.599,11,-6.778,1,0.039,0.347,0.824,0.083,0.489,127.986,246507,4,ambient
4fS4hGJcIydMZrWo68DFMf,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Undiscovered Colors,37,The Flashbulb,Arboreal,https://i.scdn.co/image/ab67616d0000b27334b22af85cd42867531e2866,"['breakcore', 'drill and bass', 'intelligent dance music']",38,0.448,0.29,5,-11.963,0,0.0874,0.673,0.822,0.491,0.128,92.836,257440,4,ambient
6koWevx9MqN6efQ6qreIbm,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,A Walk,1,Tycho,Dive,https://i.scdn.co/image/ab67616d0000b2736ce6bb858321ae9bbd66d7a2,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']",57,0.659,0.716,9,-7.816,1,0.0317,0.329,0.909,0.127,0.382,139.952,316919,4,ambient
0bB92YSQEmA9WfAaXjYbKP,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Wide Awake,39,Mellowdine,Apart,https://i.scdn.co/image/ab67616d0000b273692138b277117d3005280a06,[],22,0.598,0.5,5,-13.569,0,0.0376,0.538,0.879,0.129,0.147,100.008,263500,4,ambient
1k83LXE0E8tYrDln8tsNAk,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Willow Tree Testing,32,Sun Rain,Sheets,https://i.scdn.co/image/ab67616d0000b273bea912b21ca8af7114e8c3fa,[],24,0.275,0.299,3,-17.774,0,0.0343,0.43,0.962,0.126,0.161,63.009,260187,4,ambient
2ZIaH69kaz55RM4Pjx6KXl,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Two Thousand and Seventeen,56,Four Tet,New Energy,https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63,"['electronica', 'folktronica', 'intelligent dance music']",58,0.551,0.469,2,-8.393,1,0.0296,0.327,0.161,0.0939,0.498,75.495,252256,4,ambient
1g5lxQZ2ibydQj35Mzkawg,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Glide,31,Femto,Compilation N1,https://i.scdn.co/image/ab67616d0000b273c67ec570eb75eedee5160cd6,[],15,0.67,0.633,2,-10.871,0,0.0284,0.286,0.881,0.105,0.0506,100.008,291600,4,ambient
4B6cnrdVs93EAVojkKqqOX,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Consequences,30,Outsidr,Consequences,https://i.scdn.co/image/ab67616d0000b273c0de00b2f888bbf0bcab8a76,['wave'],19,0.584,0.665,11,-7.34,0,0.0421,0.0182,0.903,0.225,0.0383,67.5,254222,4,ambient
5cJvkYbw0ai1Ls8yiub1ph,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Ben,31,Ice Cream Cult,Luna,https://i.scdn.co/image/ab67616d0000b273ea38637779996f353b0a4fe2,[],17,0.6,0.684,5,-10.096,1,0.0507,0.0794,0.859,0.181,0.0901,80.007,180000,4,ambient
2KK87N80r99YquD4rfonFk,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Vessel,30,Jon Hopkins,Insides,https://i.scdn.co/image/ab67616d0000b273e021ba9b3cb2f941c7934c87,"['ambient', 'compositional ambient', 'electronica', 'intelligent dance music', 'post-rock']",56,0.414,0.486,10,-9.668,0,0.0721,0.323,0.861,0.121,0.432,135.661,281693,4,ambient
2RZINvCqDeELsbHXRc8HVt,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Supermoon,47,Kosco,Supermoon,https://i.scdn.co/image/ab67616d0000b273a691e88c720dedf4ae61724f,[],30,0.631,0.507,9,-11.687,0,0.0407,0.487,0.808,0.0935,0.126,120.018,312000,4,ambient
4uOaQcvZXCXrxXshIMWjUe,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Perpetuate,0,OAFF,Perpetuate - Single,https://i.scdn.co/image/ab67616d0000b2732073a533670c1d9c3c2454de,"['desi pop', 'indian indie', 'modern bollywood']",60,0.509,0.619,9,-11.978,0,0.036,0.909,0.954,0.0936,0.327,116.061,249879,3,ambient
5okRArDMe9HN3GgoyYIoa6,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Streetlight,34,Tokari,Streetlight,https://i.scdn.co/image/ab67616d0000b273f5274523da0835e5389eb82f,[],22,0.416,0.384,11,-12.357,1,0.0303,0.786,0.932,0.104,0.212,90.059,200112,4,ambient
3pU9zKNdG2RpRsxrUPSWsR,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Lotus,33,Max TenRom,Lotus,https://i.scdn.co/image/ab67616d0000b27396cda88dcda7511df1421c79,['ethnotronica'],28,0.628,0.513,7,-10.937,0,0.0313,0.0256,0.833,0.0933,0.0399,115.001,372787,4,ambient
0Te3aR2QmdhLVa9BO1rc33,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Galvanised,0,BPMoore,Galvanised,https://i.scdn.co/image/ab67616d0000b2733ea86c37d1d5a28e8211bd06,['neo-classical'],31,0.536,0.416,11,-15.629,1,0.0318,0.744,0.938,0.116,0.191,141.996,214480,4,ambient
53W9YLji1mpBUzSQuiOXwj,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Reverse,27,Sensitizer,Modular,https://i.scdn.co/image/ab67616d0000b273881534ac52cf321300352ac4,[],30,0.715,0.525,0,-13.206,1,0.0372,0.622,0.879,0.105,0.0823,109.979,270600,3,ambient
04C8gJkGXkp1A8ZzQiOoBi,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Point In Time,32,Lake People,Point EP,https://i.scdn.co/image/ab67616d0000b27364a41e5aeae1d3bc985bff88,['leipzig electronic'],24,0.704,0.332,11,-13.385,0,0.0819,0.0131,0.87,0.0909,0.276,120.018,489291,4,ambient
5zUkIDxm9WTc0gkiHl3qg7,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Twinkle Twinkle,31,Kettel,"Myam James, Pt. 1",https://i.scdn.co/image/ab67616d0000b273b645e5a0d1ab08d62102b65c,"['ambient idm', 'deep idm', 'drill and bass', 'intelligent dance music']",28,0.545,0.553,2,-10.629,1,0.0316,0.0604,0.72,0.136,0.687,100.99,380933,4,ambient
2f14cB0pXqhgQDeNmQDkXf,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Can't Do Without You,57,Caribou,Our Love,https://i.scdn.co/image/ab67616d0000b2738cbb0dcb407620fe35b2e6b0,"['alternative dance', 'electronica', 'folktronica', 'indie rock', 'indietronica', 'intelligent dance music', 'new rave']",56,0.457,0.404,0,-9.1,1,0.0598,0.772,0.782,0.78,0.479,128.01,236400,4,ambient
3UM0EGGZHsLMkVTlW6maxb,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,I Will Miss These Moments However Much They Miss the Mark,0,Barstool Astronaut,I Will Miss These Moments However Much They Miss the Mark,https://i.scdn.co/image/ab67616d0000b273aa5981aba393e0d548b2a131,[],16,0.424,0.497,8,-8.748,1,0.0282,0.133,0.611,0.106,0.0422,147.811,276022,4,ambient
7eXEj06FFeSUi33Rcs3BOn,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Cleo,36,Boombox Experiments,Boombox Experiments,https://i.scdn.co/image/ab67616d0000b273038f53127f4bf2f04efdcbed,[],18,0.429,0.708,11,-8.696,0,0.292,0.447,0.861,0.236,0.491,124.012,198947,4,ambient
5xwtm5KsZqqVLETeg6QdVv,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Retrospective,22,Mazoulew,Retrospective,https://i.scdn.co/image/ab67616d0000b273adf029c55b271a6481449ced,['new french touch'],42,0.686,0.663,4,-9.73,0,0.0401,0.248,0.875,0.0817,0.154,122.006,337275,4,ambient
6TpGS6BT86cCUfrIlpqiGe,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Playgrounds,21,HAELIUM,Playgrounds,https://i.scdn.co/image/ab67616d0000b2734390a89dc11755706c47ae7a,[],28,0.509,0.805,0,-10.138,0,0.147,0.251,0.575,0.939,0.448,119.91,268000,4,ambient
3SqDvby8WHmaXNy8Hr9MIN,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Initiate,28,Vijunns,Vijunns,https://i.scdn.co/image/ab67616d0000b273cec4bbf6d80663a96afc5632,[],20,0.535,0.841,1,-10.261,1,0.041,0.00172,0.904,0.104,0.229,125.013,296000,4,ambient
3PyZBjUy7ZmsiILkTVCDkR,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Take Me - Varsity Star Remix,0,DJ Planet Express,Take Me (Varsity Star Remix),https://i.scdn.co/image/ab67616d0000b2730d01145235b674a930ba1409,[],36,0.762,0.8,6,-9.371,1,0.0794,0.144,0.835,0.135,0.387,123.975,282581,4,ambient
6E3j4helkCIaldqTkhCWW1,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Hold Me (Instrumental),0,Milosh,Jetlag Instrumentals,https://i.scdn.co/image/ab67616d0000b273679c3dbb242aea37ded92929,"['glitch pop', 'indie electronica']",27,0.642,0.64,8,-10.067,1,0.0391,0.314,0.912,0.101,0.652,97.996,493873,4,ambient
6ZQ3XvLBrmwnoNFtU0c2X5,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Do Matter,42,Plaid,The Digging Remedy,https://i.scdn.co/image/ab67616d0000b273aa17898d4e40a3b462787da5,"['abstract', 'ambient', 'deep idm', 'drill and bass', 'electronica', 'intelligent dance music', 'microhouse', 'ninja']",39,0.521,0.289,8,-16.915,1,0.0302,0.54,0.564,0.111,0.289,99.997,220920,4,ambient
4DgT5ToV9g2hFCZnCZNGN7,https://open.spotify.com/playlist/7rg9hm19AsS6ecb80tUPPX?si=0366521bcc554d9d,Ambient Electronica,Kinetic Theory,36,Martin Rott,Kinetic Theory,https://i.scdn.co/image/ab67616d0000b273112b0a0734f5be06c25d1b3d,['german soundtrack'],22,0.695,0.725,8,-14.112,0,0.0421,0.862,0.923,0.106,0.304,118.522,291805,4,ambient
