,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0MrDqmqbP0xS9sGedtiuAC,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Will you be there when I wake up,58,Gemma Casimaty,Will you be there when I wake up,https://i.scdn.co/image/ab67616d0000b2734e13725fcc4a74446e71395b,[],44,0.187,0.0911,0,-28.802,1,0.0489,0.944,0.921,0.104,0.359,66.282,164125,4,ambient
4PO5kkTwxCqpumXdDAFQVw,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,A Cabinet With Phosphorescence,53,Genevieve Bertram,A Cabinet With Phosphorescence,https://i.scdn.co/image/ab67616d0000b2738f3da90be9c72f473b4b4baf,[],35,0.15,0.00932,0,-34.73,1,0.0472,0.969,0.802,0.108,0.0342,137.302,208142,4,ambient
0tDKeYimIKdStb2dEZhpnK,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Underwater Love,55,Comet 1993,Above The Water,https://i.scdn.co/image/ab67616d0000b273785ad9f578e0692dd3ab4188,[],63,0.501,0.00311,0,-26.672,1,0.0562,0.971,0.971,0.195,0.0526,65.865,117818,4,ambient
34sxkDrNOwmjXGLSjMehRC,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,miracles,56,sweet planet,nostalgie,https://i.scdn.co/image/ab67616d0000b2734ce638e342385d9e040996ad,[],59,0.11,0.102,11,-25.8,1,0.0345,0.94,0.79,0.291,0.0343,82.669,110633,4,ambient
0X1yIZPqq7RJv3QtSy2W83,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Finalement,56,Nuit Pluie,Finalement,https://i.scdn.co/image/ab67616d0000b27347c67ebbaaa818b78b5ee0de,[],41,0.21,0.00315,5,-35.76,1,0.0371,0.996,0.931,0.113,0.102,66.205,176000,4,ambient
2BDpJuk9wGUoYoL95Z6PSH,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Reminisce,55,Comet 1993,Reminisce,https://i.scdn.co/image/ab67616d0000b2733a7fd3aed2a79545dd678888,[],63,0.223,0.00386,0,-42.637,0,0.0448,0.994,0.913,0.116,0.0535,67.834,60372,4,ambient
5uqRDH8XTRz91x8HhhRHpo,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Morning Breeze,56,Comet 1993,Above The Water,https://i.scdn.co/image/ab67616d0000b273785ad9f578e0692dd3ab4188,[],63,0.189,0.0291,0,-32.196,1,0.0523,0.993,0.94,0.131,0.0614,73.7,110000,3,ambient
5I4t0Bsg8qVGLQF7NbdJpD,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Cold Desert,53,Comet 1993,Cold Desert,https://i.scdn.co/image/ab67616d0000b2736d64650f47a45bc6aefb283e,[],63,0.211,0.0446,1,-29.988,1,0.04,0.939,0.931,0.104,0.0347,68.405,110792,3,ambient
24L0BqCSv23EAPhAjsL7Ny,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Your Sweet Scent,58,Comet 1993,Above The Water,https://i.scdn.co/image/ab67616d0000b273785ad9f578e0692dd3ab4188,[],63,0.244,0.0156,2,-27.22,1,0.0581,0.975,0.9,0.119,0.141,135.311,119172,1,ambient
2LntHTAAwbsQeeKoDB6eRR,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,shadows,55,sweet planet,nostalgie,https://i.scdn.co/image/ab67616d0000b2734ce638e342385d9e040996ad,[],59,0.157,0.00476,3,-33.114,1,0.0597,0.952,0.955,0.106,0.0305,131.936,104000,3,ambient
3Jkv3gPUTdPRP8inBDcSJM,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Deep End,51,Comet 1993,Above The Water,https://i.scdn.co/image/ab67616d0000b273785ad9f578e0692dd3ab4188,[],63,0.214,0.0149,6,-35.176,1,0.0463,0.793,0.545,0.111,0.0385,67.044,120000,4,ambient
7BWZDp80vvoUhXYnotXkbm,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,All Alone,54,Comet 1993,Cold Desert,https://i.scdn.co/image/ab67616d0000b2736d64650f47a45bc6aefb283e,[],63,0.0683,0.0153,2,-40.942,1,0.0419,0.991,0.932,0.14,0.0757,75.344,104000,4,ambient
0MVd25c75PYKsta1f19ZoK,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,souvenirs,56,sweet planet,souvenirs,https://i.scdn.co/image/ab67616d0000b27312331a29cfd2874230297ffd,[],59,0.188,0.0111,5,-37.406,1,0.0503,0.98,0.67,0.102,0.0399,66.45,113737,3,ambient
5kJiKkxRlAX62gNCCoMBan,https://open.spotify.com/playlist/3xzW2Enhd6Nsmq4hWyNgQc?si=6e8396c46a3c4af7,Ambient Music 2022,Friendship Of The Gebora,52,Lost Rainbow,Friendship Of The Gebora,https://i.scdn.co/image/ab67616d0000b273ad33687c3ff47881d83d1339,[],34,0.148,0.0137,2,-34.696,0,0.0446,0.953,0.701,0.103,0.0376,137.484,204000,1,ambient
