,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1Mse9NKBbEASi50CQ4aYhr,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,56,Johann Pachelbel,Mozart: Eine Kleine Nachtmusik etc.,https://i.scdn.co/image/ab67616d0000b27350f0e9f3fe510cfe42f5f2d9,"['baroque', 'classical', 'german baroque']",57,0.128,0.132,2,-17.67,1,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,4,classical
4GFuyvrYOQYDS497hffJXT,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,"Goldberg Variations, BWV 988: Aria",49,Johann Sebastian Bach,Bach: Goldberg Variations (Extended Edt.),https://i.scdn.co/image/ab67616d0000b273826ef7be1aeffbec04a8d648,"['baroque', 'classical', 'early music', 'german baroque']",75,0.272,0.015,7,-30.943,1,0.0457,0.995,0.936,0.0705,0.181,76.393,321067,4,classical
64ZxBE1ZgK4C0lGljXzDcG,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",57,Antonio Vivaldi,Vivaldi: The Four Seasons,https://i.scdn.co/image/ab67616d0000b273310ab274e47cbc0d152d53ad,"['baroque', 'classical', 'early music', 'italian baroque']",68,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,204147,4,classical
1G3QPQkoXvpChjNUhd6Tfs,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,The Arts and the Hours,62,Jean-Philippe Rameau,"Rameau, Ólafsson: The Arts and the Hours",https://i.scdn.co/image/ab67616d0000b2738b89acd4e16b979e0c9c12f1,"['baroque', 'classical', 'early music', 'french baroque', 'french opera']",52,0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191,285443,4,classical
17gz8bmRy8HDUf6AZBnD5K,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,"Concerto grosso in G Minor, Op. 6, No. 8, ""Fatto per la Notte di Natale"": III. Adagio - Allegro - Adagio",50,Arcangelo Corelli,Corelli: 6 Concertos Grosso Op.6,https://i.scdn.co/image/ab67616d0000b273d66f5e299f2007394b2732d7,"['baroque', 'classical', 'classical performance', 'early music', 'italian baroque']",54,0.197,0.0911,2,-21.511,1,0.0455,0.926,0.721,0.119,0.133,120.682,198333,4,classical
3mYWVZeUiEHei3XwIsaxfI,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)",49,George Frideric Handel,"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)",https://i.scdn.co/image/ab67616d0000b273de1156820fe6d30bf71c14c3,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",63,0.253,0.0272,5,-31.271,1,0.0431,0.993,0.916,0.0979,0.125,68.211,268000,4,classical
5mRrklQD0rvuN6sV10HfPn,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude",58,Johann Sebastian Bach,Six Evolutions - Bach: Cello Suites,https://i.scdn.co/image/ab67616d0000b27306a5197a79a10699d8c10c6c,"['baroque', 'classical', 'early music', 'german baroque']",75,0.326,0.0993,7,-22.496,1,0.072,0.988,0.916,0.108,0.417,137.274,150973,1,classical
6sLr7HzQe2xQVhBmhrT3vU,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,Les baricades mystérieuses - Arranged By Göran Söllscher,48,François Couperin,Eleven String Baroque,https://i.scdn.co/image/ab67616d0000b273c3f12d7933f0400ec8c45bba,"['baroque', 'classical', 'early music', 'french baroque']",44,0.213,0.0868,10,-27.444,1,0.0413,0.952,0.907,0.111,0.44,138.349,163733,4,classical
492xOpyuUiVZ74qhKc2e2w,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,"Trio Sonata for 2 Violins and Continuo in G Minor, HWV 393 ""Dresden"" No. 2: III. Largo (Arr. for Oboe, Violin, Harpsichord and Orchestra by Andreas Tarkmann)",33,George Frideric Handel,Handel - Atmosphere,https://i.scdn.co/image/ab67616d0000b2733e44b937941bfc2d4029c3b3,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",63,0.178,0.173,10,-16.399,1,0.0404,0.941,0.884,0.127,0.153,74.681,175173,4,classical
2SORBObY4Ag5wSPeXLmPAh,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0?si=194e2ce675c1411b,Baroque Classics,"Solomon, HWV 67: The Arrival Of The Queen Of Sheba",40,Georg Friedrich Händek,Baroque Orchestral Music,https://i.scdn.co/image/ab67616d0000b27398ee07dc883de83509db04ec,[],22,0.587,0.313,10,-18.267,1,0.0431,0.854,0.826,0.298,0.602,120.021,189427,4,classical
