,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7m6gvfUMPUiWszxzsEmgwL,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Snow Amnesia - Samoyed Remix,0,El Kid,Snow Amnesia (Samoyed Remix),https://i.scdn.co/image/ab67616d0000b273aa43dae0c84895f6e74c7c5e,[],19,0.629,0.457,1,-16.636,0,0.0346,0.341,0.94,0.0688,0.0354,113.049,206074,4,techno
0CUpZOST0CmQvYACEzMq8j,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Aqueous,0,Dauwd,Heat Division,https://i.scdn.co/image/ab67616d0000b273fb63ca7ba6efb3f50532fb28,"['ambient house', 'electronica', 'float house', 'future garage', 'microhouse', 'outsider house', 'uk bass']",37,0.71,0.581,1,-10.52,0,0.169,0.118,0.879,0.0943,0.317,192.01,306162,3,techno
1lxBL8dyC7quI1qnGsS878,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Down With Me (Squarehead Remix),0,Real Connoisseur,Down With Me,https://i.scdn.co/image/ab67616d0000b273534650830aa08173fe8b4ad2,[],7,0.835,0.608,6,-10.669,1,0.0657,0.0128,0.935,0.062,0.7,122.995,418040,4,techno
4rQn1ieXsq4Ave3xAEeNIR,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Oes - Original Mix,0,Claudio PRC,L Synthesis,https://i.scdn.co/image/ab67616d0000b273019a836960a1c4289ae5dd78,['minimal dub'],19,0.692,0.718,8,-16.77,0,0.0418,0.145,0.92,0.0872,0.0498,127.005,576379,4,techno
3i71cEMdRqWnZwSieTPFl3,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,The Unbearable Lightness,0,Milton Bradley,Reality Is Wrong,https://i.scdn.co/image/ab67616d0000b273cfe9ac9dd3f211dc179e88b8,['minimal dub'],10,0.486,0.852,1,-15.842,1,0.103,0.121,0.886,0.0999,0.0741,127.972,352469,4,techno
7v1R9HlSqBTNNn7mMEgWzL,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Ad Infinitum - Original Mix,0,Voiski,Unforeseen Alliances,https://i.scdn.co/image/ab67616d0000b2731a5d6be06a9b57fdbfae73fe,"['acid techno', 'french techno', 'melodic techno', 'outsider house']",24,0.79,0.668,10,-8.291,0,0.0578,0.000166,0.905,0.0941,0.0381,125.007,423000,4,techno
1TbCyz35DVQh5jJuJTt1Jh,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Six Feet Deep - Unreleased Mix,0,Slum Science,10 Years of Virtue & Vice,https://i.scdn.co/image/ab67616d0000b2734225469e68f717e060e36862,['deep funk house'],10,0.627,0.913,10,-8.765,0,0.0509,0.000124,0.878,0.034,0.34,126.063,365767,4,techno
6VpVaEVRmEAJ3gPPlAxfHm,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Geffen - Philipp Gorbachev Version,0,Barnt,"One night in Cómeme, Vol. 1",https://i.scdn.co/image/ab67616d0000b27349a3627622bbde4c17edf360,"['cologne electronic', 'float house']",19,0.814,0.557,11,-9.932,1,0.111,0.0461,0.924,0.0958,0.131,119.993,428778,4,techno
1rMNzZZPimotBz6TkircpG,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Plan 0 - Maskirovka,0,Deception Plan,Unforeseen Alliances,https://i.scdn.co/image/ab67616d0000b2731a5d6be06a9b57fdbfae73fe,[],0,0.8,0.908,6,-11.021,0,0.0563,0.316,0.918,0.112,0.0746,125.014,414733,4,techno
4xlpDHSLjAp0m651zFsrSm,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,The Mechanics Of Joy - Original Mix,0,Echologist,The Mechanics Of Joy,https://i.scdn.co/image/ab67616d0000b2733e439904a1637a5122d6a124,['dub techno'],6,0.799,0.783,10,-12.927,0,0.069,0.143,0.919,0.0991,0.139,125.993,426667,5,techno
3Yo3tnugvNf72eE9NA15sJ,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Le Pédé BPM,0,Front De Cadeaux,Le Pédé BPM,https://i.scdn.co/image/ab67616d0000b2731688a7f01ca3b496d990e9df,['float house'],14,0.802,0.838,7,-8.778,1,0.0493,0.000277,0.924,0.0686,0.116,112.194,379380,4,techno
5Wm2B8mO70hxyie4l1cLe5,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Workinstrugglin,0,Murat Tepeli,Workinstrugglin,https://i.scdn.co/image/ab67616d0000b273bf2d0bfb233112ed509c3189,[],5,0.675,0.505,10,-15.926,0,0.0504,0.00144,0.000543,0.118,0.0655,120.99,648848,4,techno
4qgGGE6IKri62M6EkWrZXc,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,A Study of Splashes,0,Cassegrain,Centres of Distraction,https://i.scdn.co/image/ab67616d0000b273fc4180cfeb136b270efb6f0e,['minimal dub'],13,0.59,0.892,7,-10.814,1,0.0684,0.499,0.9,0.119,0.129,132.005,324337,4,techno
1azPF7aPuSQb19B8by6ZC1,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Form 1,0,Antonio Ruscito,Uncertain Future Forms,https://i.scdn.co/image/ab67616d0000b2733c9faa7d4ccfee3f692f4425,['ambient techno'],17,0.616,0.685,6,-14.798,1,0.0441,0.167,0.947,0.11,0.0647,127.012,421931,3,techno
4ge7RCqGx1ET6Gi2hMKtJX,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Augmented,0,MATRiXXMAN,Augmented,https://i.scdn.co/image/ab67616d0000b273e24fa1b00fd1eec290edbe94,['minimal dub'],25,0.791,0.809,1,-13.27,1,0.0394,0.00194,0.909,0.11,0.252,128.013,352946,4,techno
55CPt0iX8f2IZvWeGNt0YH,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,I Wanna Go Bang - Original Mix,0,Bjarki,Arthur And The Intergalactic Whales,https://i.scdn.co/image/ab67616d0000b2735a6a5d428e16c44da1a00280,"['icelandic electronic', 'minimal dub']",29,0.797,0.693,2,-7.949,1,0.0599,0.00098,0.926,0.106,0.114,130.013,295915,1,techno
4uF2U2nywGb9bZAzp8vgV9,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Hussle Free,0,New Jackson,The Night Mail,https://i.scdn.co/image/ab67616d0000b273d6c9ea5a7c8d01c573b61bb9,"['irish electronic', 'irish experimental electronic', 'irish pop']",31,0.84,0.522,7,-10.918,1,0.0414,0.362,0.924,0.114,0.909,120.015,522886,4,techno
5NA3Fb0rwH1GgktMqDptr4,https://open.spotify.com/playlist/6MrdHh0YA45IQQEflS39TX?si=1306a28210044efd,Berlin Techno,Hexagon,0,Heiko Laux,Fernweh,https://i.scdn.co/image/ab67616d0000b2733f928e24dbf072844d53a6ff,"['german techno', 'minimal dub', 'minimal techno', 'tech house', 'techno']",20,0.797,0.608,1,-8.149,1,0.0618,0.0245,0.892,0.0774,0.262,127.987,355936,4,techno
