,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5nVK0rgBaHqRioBoWBWS8f,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,Lost & Lonesome,42,Buffalo Nichols,Buffalo Nichols,https://i.scdn.co/image/ab67616d0000b273184d0f5c248bed6e88b2d611,['black americana'],31,0.363,0.249,1,-11.431,1,0.0346,0.926,0.000119,0.107,0.24,86.741,222853,4,blues
2in7I4NcwamHLIEMh4V8o5,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,I Want My Crown,43,Eric Gales,Crown,https://i.scdn.co/image/ab67616d0000b27380dd612cbd8139754b6ed80e,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock']",40,0.707,0.687,1,-4.728,1,0.0422,0.029,0.000138,0.142,0.936,133.113,259227,4,blues
2BbFd78ykW1pnR5vZreQkr,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,Black Myself,49,Amythyst Kiah,Wary + Strange,https://i.scdn.co/image/ab67616d0000b27361f39d712e7d4eef2527510a,"['alternative americana', 'black americana', 'gothic americana', 'new americana', 'queer country', 'roots rock']",44,0.56,0.843,9,-4.188,1,0.0641,0.112,0.0,0.197,0.892,152.598,201240,4,blues
2JHVfdnXq3ITx5RxzjM2qf,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,662,43,"Christone ""Kingfish"" Ingram",662,https://i.scdn.co/image/ab67616d0000b273854f9fcd81bc0ac5b55e383d,['modern blues'],45,0.484,0.94,4,-4.848,0,0.0786,0.0822,0.00272,0.101,0.819,157.905,197781,4,blues
7ITdt0me2VEjKchX3iPzKp,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,Souled Out On You,49,Robert Finley,Sharecropper's Son,https://i.scdn.co/image/ab67616d0000b273351803c56558c8921f73cfd1,['black americana'],39,0.392,0.519,2,-7.438,0,0.031,0.526,0.000502,0.283,0.403,174.22,213093,3,blues
025MO5zsytvjgjZiuokOyS,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,Whole World's Got The Blues,40,Eric Bibb,Dear America,https://i.scdn.co/image/ab67616d0000b273b4caab904851a1c66acab69d,"['acoustic blues', 'blues', 'country blues', 'electric blues', 'modern blues', 'piedmont blues', 'roots rock']",42,0.646,0.495,0,-9.429,1,0.0399,0.0457,0.0779,0.109,0.531,108.222,333989,3,blues
37OvIUoTAlKsuO3nTGSLSf,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,Notches,40,Joe Bonamassa,Time Clocks,https://i.scdn.co/image/ab67616d0000b27324e6a48f82163d6b37a4d937,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock']",57,0.47,0.801,2,-8.24,0,0.0314,0.00487,0.00358,0.0752,0.366,81.999,423667,4,blues
4PrEiwUcs8jMOAk1b5BueL,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,Rollin' On,33,Jackie Venson,Love Transcends,https://i.scdn.co/image/ab67616d0000b2735653931464b0729b1ab2c48e,['austin singer-songwriter'],31,0.421,0.374,2,-9.076,1,0.07,0.446,0.000995,0.154,0.366,65.965,308078,4,blues
1SlXBA2DcPeBN9beZ9u4QX,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,The Medicine Man [Feat. Old Crow Medicine Show],38,Keb' Mo',The Medicine Man,https://i.scdn.co/image/ab67616d0000b273b36e2962b97a99fcf30fdebe,"['acoustic blues', 'blues', 'blues rock', 'country blues', 'electric blues', 'modern blues', 'piedmont blues', 'traditional blues']",52,0.801,0.637,0,-6.406,1,0.0565,0.169,3.75e-05,0.0925,0.769,77.012,218360,4,blues
4aPeeN8IYOCMNBGI0p7169,https://open.spotify.com/playlist/37i9dQZF1DWYi488IywmOA?si=ebf2adad66744dd3,Best Blues Songs of 2021,Hey Gringo,60,KALEO,Surface Sounds,https://i.scdn.co/image/ab67616d0000b2735956beefe0c79f85aec384b6,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",67,0.748,0.704,5,-4.512,0,0.0344,0.0741,0.0,0.088,0.823,110.028,284799,4,blues
