,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6cKTcheUC3OHDMI8QMKp08,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Universal Consciousness,58,Charlotte de Witte,Universal Consciousness EP,https://i.scdn.co/image/ab67616d0000b273b7ef763bc6d10ee904a6119c,"['belgian techno', 'electra']",57,0.738,0.91,9,-8.938,0,0.107,0.00118,0.874,0.0939,0.124,137.022,400625,4,techno
0c9xfyVeTChA6yffF4QZol,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,In The Dark,24,2088,In The Dark,https://i.scdn.co/image/ab67616d0000b27383383ff58d6b4708b7c2fd5b,[],28,0.678,0.922,1,-7.461,1,0.0396,0.00265,0.844,0.0894,0.0379,125.001,276720,4,techno
7i08AhQcrdD4GLlr2Pmamg,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Dance With Me,52,Kevin de Vries,Dance With Me EP,https://i.scdn.co/image/ab67616d0000b2730c9442efca4a4e03a206230c,['dark techno'],42,0.792,0.704,6,-7.181,0,0.0631,0.00213,0.564,0.123,0.472,124.003,391591,4,techno
1tkS8yt5NwTZkqFvZMxM0F,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Rave Harder Techno Bass,66,Mark Dekoda,Rave Harder Techno Bass,https://i.scdn.co/image/ab67616d0000b27335cf139cc78de208d392a4f0,"['dark techno', 'hard minimal techno']",52,0.784,0.888,4,-6.617,0,0.165,0.0158,0.892,0.169,0.13,135.995,360000,4,techno
1kMObCQiYe5opqybH7ZNPD,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Rave - Remix,62,Sam Paganini,Rave (Remix),https://i.scdn.co/image/ab67616d0000b273653191e1779bde752cc34901,"['deep minimal techno', 'italian techno', 'minimal techno', 'tech house']",49,0.732,0.627,11,-13.712,1,0.0524,0.000174,0.895,0.0981,0.266,131.007,239084,4,techno
6Ey5lYMyrkmtOq4AynJWqq,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Rage,45,widerberg,Rage,https://i.scdn.co/image/ab67616d0000b27337d915c33196474f749d3812,[],35,0.803,0.844,8,-11.286,1,0.134,0.00106,0.902,0.117,0.0322,121.993,261639,4,techno
1DOuZaf52j4O1zlyQpxSQx,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Consciousness,63,Anyma,Consciousness,https://i.scdn.co/image/ab67616d0000b2732bd183c2989e4b20bf1383f9,[],53,0.596,0.837,7,-5.983,0,0.0488,0.0775,0.806,0.297,0.0954,125.93,274552,3,techno
5MmDAFQa8SP9bA5J3f5vYc,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Origin,52,ARTBAT,Origin,https://i.scdn.co/image/ab67616d0000b273f5c2bedac279fe90d862350a,['ukrainian electronic'],58,0.681,0.767,5,-12.296,0,0.0947,0.00245,0.711,0.101,0.0387,126.022,460781,4,techno
7bSXXS2T4AT0Wh9PcqeVgz,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Dance To Get High,34,Chris Veron,Dance To Get High,https://i.scdn.co/image/ab67616d0000b273540200ae006b27659fae18cf,[],29,0.75,0.849,10,-7.247,1,0.0659,0.0033,0.868,0.133,0.246,129.995,388520,4,techno
0dDGl66J8riMFyp2yUn88W,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Say It Again,60,Will Sparks,Say It Again,https://i.scdn.co/image/ab67616d0000b273dc2862bc4d54ce2b802fa166,"['big room', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",60,0.635,0.983,1,-6.252,0,0.0516,0.199,0.852,0.419,0.035,132.004,207273,4,techno
6WECnpunjZlBLUfV3Pa2gH,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Time 2 Rave,35,Heerhorst,Take the Floor,https://i.scdn.co/image/ab67616d0000b273d3b6151e0d1a69e631cea8eb,['hamburg electronic'],31,0.63,0.992,0,-6.634,0,0.058,0.000866,0.742,0.245,0.456,135.002,212903,4,techno
3HkkxWeDXIvXsweysDgS0U,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Persevere,33,2088,Persevere,https://i.scdn.co/image/ab67616d0000b27301dc64440e39d81fe693cc61,[],28,0.624,0.792,0,-7.783,0,0.0376,0.00733,0.847,0.24,0.121,122.017,293115,4,techno
3djG7PT1XGdpw8NAFH0WLC,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Tenet,25,Khatune,Tenet,https://i.scdn.co/image/ab67616d0000b27386ac49bec7db4bee0f8cf3cc,[],12,0.715,0.779,7,-7.103,1,0.0819,0.00133,0.896,0.104,0.0513,128.002,425806,4,techno
61EW3MUDSA5Qo99GC6mx1P,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Ego Lab - Clap Codex & Sabura Remix,33,Clap Codex,Ego Lab (Clap Codex & Sabura Remix),https://i.scdn.co/image/ab67616d0000b273c4a8e60d299d61e3dcce5cb8,[],42,0.771,0.822,6,-7.178,1,0.0483,0.0164,0.861,0.111,0.203,128.003,390000,3,techno
0v6i0EWnE3bAO6KRlLSGgP,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Valhalla,25,Agustin Müller,Valhalla,https://i.scdn.co/image/ab67616d0000b273b728cb73a759899535c90f54,[],11,0.629,0.95,4,-4.395,0,0.0405,0.0954,0.876,0.133,0.0374,129.956,243923,4,techno
2PCA6ruJc1cEBn2CiKus3k,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Ego Lab - 2088 Remix,27,2088,Ego Lab (2088 Remix),https://i.scdn.co/image/ab67616d0000b273b740117afaa3220691159ee6,[],28,0.617,0.883,4,-8.436,0,0.0392,0.00361,0.824,0.0991,0.0717,122.002,338361,3,techno
620Pa6WW3PdCd1GMKYz6OH,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Pulsus,35,Patrick Scuro,Pulsus,https://i.scdn.co/image/ab67616d0000b273530f7a28dea7aaa0cb9675f9,[],40,0.616,0.914,7,-7.019,1,0.0491,0.00123,0.818,0.083,0.457,129.998,288000,4,techno
6NzpGp3vlWYpYujk2uQESe,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Open Your Eyes,30,BAMI,Open Your Eyes,https://i.scdn.co/image/ab67616d0000b273627e947c3c7e192909092bb0,[],20,0.707,0.915,1,-7.52,1,0.0443,0.00169,0.788,0.134,0.183,128.999,313023,4,techno
19MYFJHlTK4bUn3wYEl3TO,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Delirium,41,MILLA LOU,Delirium,https://i.scdn.co/image/ab67616d0000b273904c9228e8eb71367a04fe8b,[],24,0.806,0.753,9,-6.445,1,0.0565,0.000948,0.923,0.0687,0.716,125.993,386667,4,techno
069NKz6A4jUWoTEcbLVYIc,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Ego Lab - Konfusia Remix,25,Konfusia,Ego Lab (Konfusia Remix),https://i.scdn.co/image/ab67616d0000b273912dab836e96be198a4381d6,[],17,0.764,0.871,6,-7.594,1,0.0649,0.0276,0.926,0.106,0.36,128.018,433125,4,techno
0S7YEm3TnPPPOp3cNltjzm,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Acid Heart - Zafer Atabey Remix,17,Sirmeloo,Acid Heart,https://i.scdn.co/image/ab67616d0000b27349668c8950c3f110f4064072,[],5,0.645,0.907,7,-8.609,1,0.0517,0.0646,0.908,0.101,0.0722,130.007,389538,4,techno
7mjrZM9FD8PCCQp09LfoFB,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Spaced,21,RSRRCT,Smokin Dank,https://i.scdn.co/image/ab67616d0000b27369278628e1dda8717faa8058,[],24,0.614,0.973,4,-4.477,0,0.0729,0.000495,0.883,0.101,0.409,135.004,214500,4,techno
0m2MlSEkDD5h4CNl8nQHj7,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Connection,30,2088,Wild Cards 11,https://i.scdn.co/image/ab67616d0000b2730f3bb78a9de381f967d1a285,[],28,0.637,0.649,5,-9.566,0,0.0374,0.00403,0.9,0.38,0.134,122.001,451500,4,techno
42IZHYYtY7gbQcMEW8tXej,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,6AM,14,ELIYA,6AM,https://i.scdn.co/image/ab67616d0000b2737917e8d5f54df9c9bfef2cac,[],2,0.693,0.857,7,-9.731,1,0.0437,0.323,0.786,0.111,0.0673,130.025,328072,4,techno
6eJEvLENVSnYrGGZV4sdnW,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Disruption,33,Jaden Raxel,Disruption,https://i.scdn.co/image/ab67616d0000b2735eb8f9e4dc013adcb0f4051d,['melodic techno'],27,0.68,0.889,8,-8.253,0,0.0593,0.000774,0.847,0.116,0.0387,127.011,313701,4,techno
35C9c8yYLi7fLSHZgTWsX5,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Ego Lab - Julien Riess Remix,26,Julien Riess,Ego Lab (Julien Riess Remix),https://i.scdn.co/image/ab67616d0000b2739fa597671334cdec1eaaafe7,[],35,0.697,0.887,6,-5.794,1,0.0331,0.000715,0.847,0.111,0.192,134.008,347910,4,techno
32qyUbrlF782Cv812APNZj,https://open.spotify.com/playlist/7mwPa6HjqoiUrsk3C2Hitk?si=c93b4c66ef744c74,Best Techno 2022,Moon Of My Life - 2088 Remix,30,Naji Arun,Visions Of Tomorrow,https://i.scdn.co/image/ab67616d0000b273e0354e9ea8bfebf519f2a9b6,[],18,0.705,0.699,7,-8.792,1,0.0421,0.011,0.833,0.306,0.105,123.995,354581,4,techno
