,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1kPBT8S2wJFNAyBMnGVZgL,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,I'd Rather Go Blind,70,Etta James,Tell Mama,https://i.scdn.co/image/ab67616d0000b2737649604d1b27be1c78c466e9,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",65,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,156653,3,blues
1a2iF9XymafjRk56q7oCxo,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,Pride and Joy,66,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'rock', 'texas blues']",61,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,4,blues
2Mr1bGI2E10K7Mt1UJZ6Mw,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,Boom Boom,63,John Lee Hooker,Burnin',https://i.scdn.co/image/ab67616d0000b273a359e57b14e2961fd4b9764c,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",57,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152351,4,blues
58PSYdY0GFg0LFb2PxYk4T,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,Mannish Boy,62,Muddy Waters,King Of The Electric Blues,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,3,blues
4NQfrmGs9iQXVQI9IpRhjM,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,The Thrill Is Gone,61,B.B. King,Completely Well,https://i.scdn.co/image/ab67616d0000b2731a04649cc2ddb348a9e08f23,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,324733,4,blues
2HUZVffVPXvqnrml0gXggp,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,Smokestack Lightnin',61,Howlin' Wolf,Moanin' In The Moonlight,https://i.scdn.co/image/ab67616d0000b2736181b1ed45a906d5b2c89af3,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",52,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,188400,4,blues
2wnjZXcAT3rCjjqxLeHjv7,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,Going Down,59,Freddie King,Getting Ready... (World),https://i.scdn.co/image/ab67616d0000b273be4c277f6b8f6bedf7135496,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'texas blues', 'traditional blues']",51,0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,204333,4,blues
4KMXlzvtC8xjLseDqDjpeU,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,My Babe,59,Little Walter,The Essential Little Walter,https://i.scdn.co/image/ab67616d0000b27320f3de1822791b066e563a2d,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rock-and-roll', 'traditional blues']",46,0.676,0.334,5,-10.572,1,0.0508,0.862,0.0,0.32,0.867,158.0,162040,4,blues
4qYHnP5AmKzXbJhciPV8si,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,Ain't No Love In The Heart Of The City - Single Version,59,"Bobby ""Blue"" Bland",Dreamer,https://i.scdn.co/image/ab67616d0000b273229e87b6d1da512c14164cc0,"['blues', 'electric blues', 'soul', 'soul blues', 'southern soul', 'traditional blues']",47,0.518,0.376,9,-18.248,0,0.0431,0.933,0.86,0.0976,0.744,158.089,233560,4,blues
3XxBSvDZKH5YvZZjTpn6eR,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=94555fc3f58d44c2,Blues Classics,Red House,58,Jimi Hendrix,Are You Experienced,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",70,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,230360,4,blues
