,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
70YvYr2hGlS01bKRIho1HM,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,La Grange - 2005 Remaster,76,ZZ Top,Tres Hombres (Expanded 2006 Remaster),https://i.scdn.co/image/ab67616d0000b2730fe2ec86a0ec561ef2e2aae1,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'rock']",68,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4,blues
2kkvB3RNRzwjFdGhaUA0tz,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Layla,74,Derek & The Dominos,Layla And Other Assorted Love Songs (Remastered 2010),https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock']",59,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,423840,4,blues
1a2iF9XymafjRk56q7oCxo,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Pride and Joy,66,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'rock', 'texas blues']",61,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,4,blues
2Mr1bGI2E10K7Mt1UJZ6Mw,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Boom Boom,63,John Lee Hooker,Burnin',https://i.scdn.co/image/ab67616d0000b273a359e57b14e2961fd4b9764c,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",57,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152351,4,blues
58PSYdY0GFg0LFb2PxYk4T,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Mannish Boy,62,Muddy Waters,King Of The Electric Blues,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,3,blues
7GRq9NUgqhxPGUUksX02fk,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Blue on Black,62,Kenny Wayne Shepherd,Trouble Is...,https://i.scdn.co/image/ab67616d0000b273fb8b0f52aee5b8e60c49323e,"['blues rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock']",54,0.412,0.676,7,-7.341,1,0.0266,0.00596,0.112,0.209,0.557,155.431,333733,4,blues
4NQfrmGs9iQXVQI9IpRhjM,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,The Thrill Is Gone,61,B.B. King,Completely Well,https://i.scdn.co/image/ab67616d0000b2731a04649cc2ddb348a9e08f23,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,324733,4,blues
2HUZVffVPXvqnrml0gXggp,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Smokestack Lightnin',61,Howlin' Wolf,Moanin' In The Moonlight,https://i.scdn.co/image/ab67616d0000b2736181b1ed45a906d5b2c89af3,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",52,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,188400,4,blues
4nmne9J3YCEdhvjTzwiAgu,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Black Magic Woman,61,Santana,Ultimate Santana,https://i.scdn.co/image/ab67616d0000b2735ffffefb4343759b63f72598,"['blues rock', 'classic rock', 'mexican classic rock']",70,0.497,0.552,9,-7.102,0,0.0307,0.679,0.0314,0.089,0.633,124.359,195867,4,blues
0I2ELF6uHlL4ABu9aFiou7,https://open.spotify.com/playlist/37i9dQZF1DX9cTwPMorHcH?si=30b28af8d0b64395,Blues Drive,Right Place Wrong Time,61,Dr. John,In The Right Place,https://i.scdn.co/image/ab67616d0000b2737b062221d2b53a682ecb27ce,"['blues', 'blues rock', 'country rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'roots rock', 'soul']",53,0.789,0.494,1,-13.702,1,0.0456,0.0923,0.000408,0.144,0.826,104.593,175240,4,blues
