,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1YJ3GR5wmQnysjDUQDC8ZR,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,In Hell I'll Be In Good Company,50,The Dead South,Good Company,https://i.scdn.co/image/ab67616d0000b273d78751b236b79cf6fbe9665e,['saskatchewan indie'],59,0.772,0.235,7,-9.075,0,0.0479,0.753,0.00125,0.111,0.703,154.802,245320,4,blues
1aiDlPLPljMFUylWjMZras,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,Something Like Olivia,60,John Mayer,Born and Raised,https://i.scdn.co/image/ab67616d0000b2733c6bbf44de57c6eb51818694,"['neo mellow', 'singer-songwriter']",77,0.771,0.424,7,-12.156,1,0.0374,0.595,0.000372,0.0788,0.638,98.795,180627,4,blues
2xKwRxnwSnhgKsPQVsaRig,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,I Could Even Grow a Moustache for You,27,Daniel Norgren,Outskirt,https://i.scdn.co/image/ab67616d0000b273f5415b32e8491ecfd49b4ca8,"['swedish americana', 'swedish singer-songwriter']",46,0.695,0.75,6,-6.805,0,0.0312,0.34,0.0109,0.339,0.891,123.583,246813,4,blues
58PSYdY0GFg0LFb2PxYk4T,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,Mannish Boy,62,Muddy Waters,King Of The Electric Blues,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,3,blues
2Mr1bGI2E10K7Mt1UJZ6Mw,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,Boom Boom,63,John Lee Hooker,Burnin',https://i.scdn.co/image/ab67616d0000b273a359e57b14e2961fd4b9764c,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",57,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152351,4,blues
5bC6ONDsL88snGN6QasjZH,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,Help Me,59,Sonny Boy Williamson II,More Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b48c81a7d103f5aedd0b8cb2,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",46,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,188200,4,blues
3cg0dJfrQB66Qf2YthPb6G,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,The Thrill Is Gone,62,B.B. King,Deuces Wild,https://i.scdn.co/image/ab67616d0000b2730cb9e4d49412fce4ae730004,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,301133,4,blues
2Qj1FilGsXITZbFVmVeoLy,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,I'm Tore Down,53,Freddie King,Getting Ready... (World),https://i.scdn.co/image/ab67616d0000b273be4c277f6b8f6bedf7135496,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'texas blues', 'traditional blues']",51,0.64,0.496,2,-11.124,1,0.0413,0.616,4.63e-05,0.183,0.954,116.632,253333,4,blues
7j02rdE5RVtNcNMuLGY5SS,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,Spoonful,58,Howlin' Wolf,Howlin' Wolf,https://i.scdn.co/image/ab67616d0000b27301dd571c86f5e43f8d5d27bc,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",52,0.821,0.376,0,-13.622,1,0.0487,0.669,1.39e-05,0.106,0.824,119.039,170000,4,blues
2dp14VWbIxOVNmaWKkVB1r,https://open.spotify.com/playlist/37i9dQZF1EQpz3DZCEoX3g?si=180a333402d148e3,Blues Mix,"One Bourbon, One Scotch, One Beer",57,John Lee Hooker,The Real Folk Blues,https://i.scdn.co/image/ab67616d0000b27310eb89d605247b9d3dee9e09,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",57,0.746,0.56,5,-14.789,1,0.0565,0.494,0.0,0.316,0.854,124.68,184960,4,blues
