,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5j6tQBJnNG4wLLdVISJ5g2,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Crazy Blues,38,Mamie Smith,Mamie Smith Vol. 1 (1920-1921),https://i.scdn.co/image/ab67616d0000b2730057f566161cdd847daf67bf,"['harlem renaissance', 'traditional blues']",24,0.436,0.178,5,-13.36,1,0.0448,0.996,0.912,0.259,0.464,111.858,202240,4,blues
2oods8nOG6bB6ZUFHEumbx,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Ash Tray Blues,35,Papa Charlie Jackson,Papa Charlie Jackson Vol. 2 (1926 - 1928),https://i.scdn.co/image/ab67616d0000b273ac924b1d574598ec5d82722b,"['acoustic blues', 'banjo', 'country blues', 'traditional blues']",20,0.85,0.212,7,-16.888,1,0.0948,0.987,0.0298,0.114,0.781,121.146,178730,4,blues
1bWh9hOkQGahfQ0rEqvaGR,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Devil Got My Woman,39,Skip James,Legends Of Country Blues: The Complete Pre-War Recordings Of Skip James (Disc A),https://i.scdn.co/image/ab67616d0000b2733330e92b8ff22c2419ed9b5e,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",33,0.508,0.151,2,-14.984,1,0.0324,0.986,0.0465,0.172,0.523,85.128,181787,4,blues
5qdSXoKf36HAtCgAsftaM4,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,All Around Man,40,Bo Carter,Presenting Bo Carter,https://i.scdn.co/image/ab67616d0000b27337a46fa5753d476909de82c6,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",27,0.586,0.283,5,-10.568,1,0.0517,0.979,0.0476,0.0994,0.439,145.514,180093,4,blues
3Yt6mXwFK3GMQ3Jzzk0yIN,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,You Was Born To Die,36,Curley Weaver,Curley Weaver (1933-1935),https://i.scdn.co/image/ab67616d0000b273eee404e0164e1ac83c508a91,"['piedmont blues', 'traditional blues']",19,0.564,0.269,2,-13.749,1,0.0443,0.995,0.00483,0.132,0.602,103.355,171546,4,blues
1TrGdXSgiBm8W68D2K1COG,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Cross Road Blues,51,Robert Johnson,King Of The Delta Blues Singers,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6,"['acoustic blues', 'blues', 'delta blues', 'pre-war blues', 'traditional blues']",44,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,149560,4,blues
7hYOjbDYBvUk7RymZ82To3,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Match Box Blues (4446),34,Blind Lemon Jefferson,Blind Lemon Jefferson Vol. 2 (1927),https://i.scdn.co/image/ab67616d0000b2739b9ef0b1afb0e2f857acc09d,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'gospel blues', 'pre-war blues', 'texas blues', 'traditional blues', 'traditional folk']",28,0.475,0.157,10,-19.063,1,0.0567,0.976,0.0348,0.0776,0.519,169.224,183066,4,blues
5xwCQuoGnPdgqw2omrgmCq,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Guitar Rag,37,Sylvester Weaver,"The Slide Guitar: Bottles, Knives & Steel",https://i.scdn.co/image/ab67616d0000b273dc8c7a1f15152aae4861c189,"['acoustic blues', 'traditional blues']",23,0.467,0.122,2,-22.241,1,0.0366,0.954,0.902,0.132,0.411,111.256,178333,4,blues
7bWhtFDDMgcA6DmFGGlS0C,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Grinnin' In Your Face,37,Son House,Son House Revisited Vol. 1,https://i.scdn.co/image/ab67616d0000b273af2f65f4f33b602f680cb09f,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",35,0.487,0.651,10,-10.824,0,0.741,0.956,4.08e-06,0.833,0.652,101.651,116840,1,blues
7KZ6eGK7OuLXUzTVGdc7cL,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Runaway Blues,38,Ma Rainey,Ma Rainey,https://i.scdn.co/image/ab67616d0000b273069d98c47892020676f47764,"['acoustic blues', 'blues', 'harlem renaissance', 'traditional blues']",28,0.81,0.233,5,-15.719,0,0.0515,0.981,0.00517,0.132,0.555,86.258,146227,4,blues
3XdnNX0cPynrR7KdRoyjwa,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Where Did You Sleep Last Night,39,Lead Belly,Absolutely The Best,https://i.scdn.co/image/ab67616d0000b273cff3a969fedc9d22cd308a21,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'texas blues', 'traditional blues', 'traditional folk']",39,0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352,181893,3,blues
1vjHFgIdNuLXojpkzysoV8,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Baby Please Don't Go,42,Big Joe Williams,Going Back to Crawford,https://i.scdn.co/image/ab67616d0000b273ef40ea50399fdfedaf8547cc,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",29,0.499,0.302,7,-15.15,1,0.0495,0.752,0.0266,0.129,0.564,167.075,164507,4,blues
5EpIZRPAEqniltILeAjk38,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Goin' Down Slow,20,St. Louis Jimmy Oden,Blues Legend - The Best Of,https://i.scdn.co/image/ab67616d0000b2736feffe034325392b46929b94,[],17,0.678,0.228,3,-15.007,1,0.0409,0.993,0.0618,0.163,0.445,82.978,191533,4,blues
6AgwNMztb3eIgNF1m2zi7h,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Truckin' My Blues Away,34,Blind Boy Fuller,Blind Boy Fuller Vol. 1 1935 - 1936,https://i.scdn.co/image/ab67616d0000b273372910b6c4c0f784457f6475,"['acoustic blues', 'blues', 'boogie-woogie', 'country blues', 'jug band', 'piedmont blues', 'traditional blues']",28,0.615,0.255,7,-14.599,0,0.0618,0.995,0.0123,0.169,0.69,181.12,188447,4,blues
061qVrfyTW07DCB9B4BBmI,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Come Back Baby,34,Doctor Ross,Come Back Baby / Chicago Breakdown,https://i.scdn.co/image/ab67616d0000b2730352c374f7cb4a6aa3a46e49,['delta blues'],21,0.541,0.572,10,-7.652,1,0.0949,0.929,0.189,0.114,0.842,181.263,167084,4,blues
2RMkj69Tlvc1k0LD2IW7eg,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Lead Pencil Blues,38,Johnnie Temple,Presenting Johnnie Temple,https://i.scdn.co/image/ab67616d0000b273e59c06714ad6e04b2eb4c6a5,"['delta blues', 'pre-war blues']",21,0.896,0.281,11,-10.569,1,0.044,0.965,0.000503,0.11,0.8,104.783,187347,4,blues
12MFtyrU4ZPJqClBcjYFIA,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Some Day Baby,33,Lonnie Johnson,Lonnie Johnson Vol. 3 (1944-1947),https://i.scdn.co/image/ab67616d0000b2737d299ed48a660a680b3dfde0,"['acoustic blues', 'blues', 'country blues', 'jazz blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'traditional blues']",29,0.647,0.204,3,-15.263,1,0.0454,0.964,0.00351,0.123,0.686,83.102,188291,4,blues
5o1hYFDPp3G3HlWqEPANMc,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Anna Lou Blues,31,Tampa Red,Tampa Red Vol. 11 1939-1940,https://i.scdn.co/image/ab67616d0000b273ed87a6778633c06820cf2acd,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'country blues', 'traditional blues']",27,0.555,0.393,10,-11.949,1,0.0327,0.965,0.015,0.151,0.782,102.5,174158,4,blues
4sCCIP8eG3HVizWnm1SQ0G,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Down The Dirt Road Blues,35,Charley Patton,Charley Patton Vol. 1 (1929),https://i.scdn.co/image/ab67616d0000b27342e0eada88d1bbcbb0af0351,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'pre-war blues', 'traditional blues', 'traditional folk']",27,0.473,0.281,1,-11.337,1,0.0354,0.97,0.0936,0.11,0.523,119.161,174576,4,blues
5jtf7Po8DDZoHK3APUUWeu,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,The Twelves (The Dirty Dozens),33,Casey Bill Weldon,Presenting Casey Bill Weldon,https://i.scdn.co/image/ab67616d0000b2733df3cb4539b55fb338d6492e,"['acoustic blues', 'blues', 'traditional blues']",19,0.571,0.423,6,-11.155,1,0.0536,0.942,0.00201,0.117,0.713,101.764,191107,4,blues
4vqDFur1cyE8lS1oD3XiCB,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,I Got the Cross the River Jordan,39,Blind Willie McTell,Atlanta Twelve String,https://i.scdn.co/image/ab67616d0000b2730d8ec239267bbe4f8019bdf0,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'jug band', 'piedmont blues', 'traditional blues', 'traditional folk']",31,0.538,0.177,0,-14.158,1,0.0447,0.91,0.00825,0.0927,0.415,77.396,240360,4,blues
17HuPAGnau4TRcKiFTdFFB,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,That's No Way To Get Along,35,Robert Wilkins,Ghost World (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2738877a04167f3f27ce90a6737,"['acoustic blues', 'blues', 'memphis blues', 'traditional blues']",23,0.448,0.315,8,-14.961,1,0.0353,0.904,0.0,0.235,0.372,98.548,172533,4,blues
17r2Et8LmSasIf0AYbkwQR,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Downtown Blues,32,Frank Stokes,Presenting Frank Stokes,https://i.scdn.co/image/ab67616d0000b27363e1232d18118bc827fb4fdd,"['acoustic blues', 'country blues', 'memphis blues', 'traditional blues']",18,0.538,0.26,11,-14.383,1,0.0377,0.967,0.000972,0.359,0.656,162.924,197427,4,blues
7A9yfYiBXLEvKn1oJy3nPL,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Catfish Blues,34,Robert Petway,"Mississippi Blues Vol. 3 ""Catfish Blues""",https://i.scdn.co/image/ab67616d0000b27302f96d7d16fdf4bc89d4bd58,"['acoustic blues', 'blues', 'delta blues', 'traditional blues']",25,0.596,0.308,1,-17.814,1,0.0495,0.977,0.0106,0.108,0.834,183.398,174472,4,blues
6Ad9JbwY1HGjbNhVYddNbk,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Man Stealer Blues,34,Lucille Bogan,Shave 'Em Dry: The Best Of Lucille Bogan,https://i.scdn.co/image/ab67616d0000b27328612876d023a2af0bdb3bbc,"['acoustic blues', 'country blues', 'pre-war blues', 'traditional blues']",25,0.539,0.228,5,-8.234,0,0.0466,0.992,2.19e-06,0.126,0.518,84.324,182400,4,blues
2mGnouFybpiIEWnzKq50fr,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Back Door Blues,30,James Kokomo Arnold,Kokomo Arnold - His 20 Greatest Songs,https://i.scdn.co/image/ab67616d0000b273b31d99fef0471d37c02aabdc,[],13,0.797,0.208,1,-11.383,1,0.0672,0.985,0.232,0.0434,0.596,86.605,204320,4,blues
2KZkEbuMBsoxhgX3iEyAv2,https://open.spotify.com/playlist/37i9dQZF1DXbkKnGZHv1kf?si=6a429446ff444e99,Blues Origins,Papa's on the House Top,26,Leroy Carr,"Whiskey Is My Habit, Good Women Is All I Crave: The Best Of Leroy Carr",https://i.scdn.co/image/ab67616d0000b2733d8e8826f4ab265e6e4bb78f,"['acoustic blues', 'barrelhouse piano', 'blues', 'boogie-woogie', 'piano blues', 'traditional blues']",23,0.683,0.285,3,-12.101,1,0.0366,0.994,0.603,0.122,0.783,94.913,175400,4,blues
