,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2XHjFJVXYlEzoDvN82h8s5,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Rocky Mountain Way,63,Joe Walsh,"The Smoker You Drink, The Player You Get",https://i.scdn.co/image/ab67616d0000b2732df4d3c8c429700194bc0dfe,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock', 'symphonic rock']",57,0.493,0.376,4,-15.045,1,0.0435,0.0241,0.792,0.102,0.419,86.47,315400,4,blues
5bC6ONDsL88snGN6QasjZH,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Help Me,59,Sonny Boy Williamson II,More Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b48c81a7d103f5aedd0b8cb2,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",46,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,188200,4,blues
3oaSvU9VBBmyfPA4lbibQM,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Outside Woman Blues,54,Cream,Disraeli Gears (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273db1fb2dede292908e86d94d7,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']",61,0.636,0.589,9,-8.196,1,0.0387,0.389,0.000211,0.379,0.959,113.403,144840,4,blues
4DmBVImaIhE3RyNvbtZTTz,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Hear My Train a Comin',52,Jimi Hendrix,"People, Hell & Angels",https://i.scdn.co/image/ab67616d0000b2734fdf251a3d05164e4a10c020,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",70,0.371,0.634,10,-7.648,0,0.0277,0.146,0.011,0.104,0.568,84.977,341800,4,blues
2AsGApoUuN8pTM17Lq9eUd,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Yer Blues - Remastered 2009,50,The Beatles,The Beatles (Remastered),https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",83,0.327,0.525,9,-10.272,1,0.0475,0.000875,0.259,0.133,0.435,151.766,240453,3,blues
5ZBUC1YafitJgLt8dgZYTW,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Someday Baby,50,R.L. Burnside,A Bothered Mind,https://i.scdn.co/image/ab67616d0000b27398fa3b1585597aeedf06199e,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'electric blues', 'modern blues', 'punk blues', 'traditional blues']",44,0.714,0.874,0,-3.802,1,0.0353,0.196,0.03,0.326,0.868,90.287,196427,4,blues
2FbLpNNlImB5mqCHgVIG1c,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Whiskey And Wimmen',48,John Lee Hooker,Hooker 'N Heat,https://i.scdn.co/image/ab67616d0000b273662411892ac6f750e0befe9e,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",57,0.797,0.686,11,-10.971,0,0.14,0.589,0.265,0.216,0.813,116.749,277200,4,blues
0WvSYVnEXD7QLa5pDJ920S,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Crosscut Saw - Mono Mix,48,Albert King,Born Under A Bad Sign (Mono),https://i.scdn.co/image/ab67616d0000b27353d060bca8e1bfe646f09ef7,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues']",49,0.84,0.412,1,-14.23,1,0.056,0.0217,0.784,0.041,0.963,122.807,156398,4,blues
18n0zch7bRo453Iwq98xYf,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,Got My Mojo Working,43,Muddy Waters,The Chess Box,https://i.scdn.co/image/ab67616d0000b273dc8136afa6d14e89c8c321e6,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.517,0.795,4,-9.633,1,0.0594,0.585,0.00375,0.226,0.875,113.534,172060,4,blues
6zFFYdst2u4PIKykSU7HOT,https://open.spotify.com/playlist/37i9dQZF1DXd8nB8TGVGGF?si=38ee95132ead4671,Blues Road Trip,The Hunter,40,Free,Tons Of Sobs,https://i.scdn.co/image/ab67616d0000b273f12c4cf01bcdb1be059c4195,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'symphonic rock']",59,0.381,0.617,4,-8.526,0,0.0464,0.0372,0.0022,0.115,0.69,130.377,254747,4,blues
