,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1KLyyQ9B4URptPsozR44l8,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Chained To The Rhythm,44,Amythyst Kiah,Pensive Pop,https://i.scdn.co/image/ab67616d0000b273570049ba2c9d30dd9c49c53b,"['alternative americana', 'black americana', 'gothic americana', 'new americana', 'queer country', 'roots rock']",44,0.518,0.49,10,-7.817,0,0.0296,0.0777,0.0,0.109,0.306,75.488,262693,4,blues
1BIX2BQa6BroVxG6O97UWk,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,That's How Love Is Made,46,The War and Treaty,That's How Love Is Made,https://i.scdn.co/image/ab67616d0000b273b0a4979c9e94d115a7e6b4cd,"['black americana', 'new americana']",43,0.502,0.414,2,-8.533,1,0.0339,0.124,0.0,0.0932,0.343,117.345,226987,3,blues
4qVesVecQYAJE6e7Pkwpcz,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Hard Learned,28,Tyler Bryant & the Shakedown,Shake the Roots,https://i.scdn.co/image/ab67616d0000b2731b466a33a40f263d989645d8,"['modern alternative rock', 'modern blues rock', 'modern hard rock', 'rock']",44,0.455,0.257,6,-11.146,1,0.0307,0.778,0.000109,0.0487,0.294,125.771,217366,4,blues
3hhbDnFUb2bicI2df6VurK,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,River,73,Leon Bridges,Coming Home (Deluxe),https://i.scdn.co/image/ab67616d0000b273a8df0c930a741d6f49cc3f8d,['modern blues'],71,0.635,0.184,8,-10.785,1,0.0456,0.665,0.0,0.146,0.177,128.424,240200,4,blues
0Oou2wDOZJFrNqRbDgOFir,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,The Breeze,27,Kenny Sharp,The Breeze,https://i.scdn.co/image/ab67616d0000b273ab522dcef17e2d21d38ce054,[],19,0.538,0.47,7,-8.879,1,0.0446,0.508,0.000473,0.334,0.304,177.124,156159,3,blues
6SedHpk26DGo0uvpL0gyYL,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Holy River,13,Effie Zilch,"Trinity, Vol.2",https://i.scdn.co/image/ab67616d0000b273706ea69e084ffe5edcb65896,[],12,0.619,0.378,4,-7.45,1,0.0293,0.783,0.000369,0.112,0.51,131.066,187645,3,blues
47BdliCI9XP3HWl0CsR23A,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Gullah Geechee,34,Shemekia Copeland,Done Come Too Far,https://i.scdn.co/image/ab67616d0000b273d8aefe46bb8cd23870f79c96,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock', 'soul blues']",39,0.769,0.5,9,-7.143,0,0.0549,0.855,0.0,0.167,0.605,127.776,215969,4,blues
2G5z3Y9tvqTx4NWKsPHlC2,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,So Long Savior,37,Tedeschi Trucks Band,I Am The Moon: II. Ascension,https://i.scdn.co/image/ab67616d0000b2733a05205e273ffc7cf713223d,"['blues rock', 'country rock', 'double drumming', 'electric blues', 'jam band', 'modern blues', 'roots rock']",55,0.704,0.789,2,-6.486,0,0.035,0.248,0.00152,0.0936,0.585,112.714,159428,4,blues
7ztepPjeNZuOUFCsEmlzDj,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Good Thing,28,Drew Foust,Good Thing,https://i.scdn.co/image/ab67616d0000b2732e63644c1cbe85a413b5bb63,[],21,0.29,0.618,5,-9.993,1,0.0317,0.0129,0.0195,0.241,0.381,169.567,244011,4,blues
5MwOpeeCnMTXxTAtM9nsYr,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Need To Know Basis,47,Ben Harper,Bloodline Maintenance,https://i.scdn.co/image/ab67616d0000b27398e09fc1518826ed6927dc7a,"['neo mellow', 'pastoral']",62,0.815,0.524,7,-9.482,1,0.0405,0.244,0.00111,0.101,0.567,98.946,119975,4,blues
08VbstN22j4jlgMemYE2xk,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Bees Making Honey,36,Bad Flamingo,Bees Making Honey,https://i.scdn.co/image/ab67616d0000b273969e28cda2de3276be7482ef,[],32,0.727,0.34,11,-13.132,0,0.0414,0.62,1.93e-05,0.0834,0.595,98.69,169356,4,blues
7KX65PC1UZuImsUInThbav,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Cold Little Heart - Radio Edit,69,Michael Kiwanuka,Cold Little Heart (Radio Edit),https://i.scdn.co/image/ab67616d0000b273d38e121683bc208a4530fb22,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",64,0.629,0.58,7,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,210300,4,blues
4GUaG3df9nbrj77GKEB76j,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Forever You and Me,60,The Teskey Brothers,Forever You and Me,https://i.scdn.co/image/ab67616d0000b273958fdcc3cffcbeac8ccbc818,['australian americana'],57,0.509,0.467,8,-4.94,1,0.0331,0.436,9.98e-06,0.0971,0.538,175.159,175593,3,blues
5fBjPtOxhgdpU6LNWLyVHv,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Mad About You,59,Son Little,New Magic,https://i.scdn.co/image/ab67616d0000b273c00c5819ddec8e15cb71ebb6,"['funk', 'indie soul', 'soul']",53,0.599,0.377,7,-9.829,1,0.105,0.441,0.00813,0.105,0.543,74.314,213137,4,blues
3TQxkQsyJS03EUwl02Qaub,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Soulfight,59,The Revivalists,The Revivalists,https://i.scdn.co/image/ab67616d0000b273130f93eb55c01218ba6939f9,"['indie folk', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",57,0.591,0.454,7,-8.851,1,0.0317,0.636,0.0,0.0793,0.198,123.379,392800,4,blues
0CuXzMEgFzuQhLEYQHYas4,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,This Too Shall Last,58,Anderson East,Encore,https://i.scdn.co/image/ab67616d0000b273a7589e24689ba791bc2346bd,['modern blues'],50,0.503,0.49,4,-8.553,1,0.0279,0.323,0.799,0.0873,0.68,148.884,222400,4,blues
0lEWIegMNMQ7W1ooB1zWT2,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Sure Don't Miss You,58,The Dip,The Dip Delivers,https://i.scdn.co/image/ab67616d0000b27348c1b7a2695f7edd25fe3443,"['funk', 'retro soul']",53,0.667,0.586,4,-7.985,0,0.0283,0.334,2.96e-06,0.16,0.727,102.988,174520,4,blues
26HaY4D7AV0gVxmkz11bIz,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Sound & Color,57,Alabama Shakes,Sound & Color (Deluxe),https://i.scdn.co/image/ab67616d0000b27332c3af4422e6186f3939653f,"['alabama indie', 'modern blues rock', 'rock']",60,0.547,0.43,2,-7.393,1,0.0667,0.848,0.615,0.0825,0.175,114.732,182467,4,blues
2R4O7MgIrN35QXnyLKMFVl,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Mrs.,55,Leon Bridges,Good Thing,https://i.scdn.co/image/ab67616d0000b273a47ee7a49c53ccdcb38dc874,['modern blues'],71,0.706,0.354,6,-9.592,1,0.29,0.479,0.0,0.0734,0.376,119.793,242520,3,blues
4fwCa8XejynU81AhXovR9r,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,CRY,52,Jon Batiste,WE ARE,https://i.scdn.co/image/ab67616d0000b273185c1d65f3b51465282c1a68,['new orleans jazz'],57,0.738,0.507,9,-6.991,0,0.0272,0.231,0.0014,0.0722,0.699,80.026,237244,4,blues
7t7VTdIZS01AfR2w2SHb17,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Good To You,52,Jonny P,Good To You,https://i.scdn.co/image/ab67616d0000b273c14b78fea2ec7070c8216ae7,['retro soul'],35,0.789,0.38,1,-10.662,1,0.0362,0.358,0.0207,0.0928,0.702,92.028,158855,4,blues
0f2zcrhhHT59aIGQvRlTZ1,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,One More Night,59,Michael Kiwanuka,Love & Hate,https://i.scdn.co/image/ab67616d0000b2731070095e88dce90a090171b5,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",64,0.684,0.764,6,-5.342,0,0.0254,0.0129,0.000171,0.141,0.944,107.806,233413,4,blues
2a5qaGUrVHWAIrh0xmTADM,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,neve give up,53,Son Little,aloha,https://i.scdn.co/image/ab67616d0000b2730d830a3889104c583daff2e4,"['funk', 'indie soul', 'soul']",53,0.573,0.494,7,-8.938,0,0.0735,0.48,0.0259,0.121,0.762,149.883,221476,4,blues
0Sox7tv3MK5h6AkFLUPHtY,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Mistakes,51,Lake Street Dive,Side Pony,https://i.scdn.co/image/ab67616d0000b27358b484b3fe39baaa3681a559,"['boston rock', 'indie folk', 'new americana']",61,0.753,0.39,6,-7.294,0,0.0403,0.371,0.000815,0.125,0.374,136.747,248387,4,blues
5fp7TUlIjOMdhNMkJJIvgx,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Malibu Man,50,Dan Auerbach,Waiting on a Song,https://i.scdn.co/image/ab67616d0000b273b2d7362dc639856d9d046205,"['garage rock', 'indie folk', 'modern blues rock', 'modern rock', 'rock', 'roots rock', 'stomp and holler']",55,0.615,0.782,9,-4.683,1,0.0346,0.127,0.00165,0.078,0.902,105.736,216107,4,blues
7ITdt0me2VEjKchX3iPzKp,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Souled Out On You,49,Robert Finley,Sharecropper's Son,https://i.scdn.co/image/ab67616d0000b273351803c56558c8921f73cfd1,['black americana'],39,0.392,0.519,2,-7.438,0,0.031,0.526,0.000502,0.283,0.403,174.22,213093,3,blues
749IyqWQSErX4dT4pmcDOH,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Eastham Prison Farm Blues - Stripped Back,49,Liam St. John,stripped back (Stripped Back),https://i.scdn.co/image/ab67616d0000b2735ece682eb1216d36bce468cb,[],46,0.817,0.202,2,-10.484,0,0.103,0.485,0.0,0.076,0.689,122.573,180500,4,blues
2iYYrWUWbIeRDFhywfvKLr,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,In The Night Time,49,The Cold Stares,Heavy Shoes,https://i.scdn.co/image/ab67616d0000b273c74c70f3fae90b1b5c575662,"['modern alternative rock', 'modern blues', 'modern blues rock', 'modern hard rock']",44,0.679,0.728,2,-9.478,1,0.0325,0.0795,0.0127,0.151,0.748,120.014,188142,4,blues
0h04eWLXS72ITUgN4PKnLg,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Light - Edit,49,Michael Kiwanuka,Light (Edit),https://i.scdn.co/image/ab67616d0000b273ca5f6c2a347dd7e4bd0e28ba,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",64,0.285,0.613,5,-8.934,1,0.0328,0.113,0.0809,0.103,0.456,161.775,185373,4,blues
0hK8IwYBQwGbTgd7C5XyRZ,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Diving Duck Blues,48,Taj Mahal,TajMo,https://i.scdn.co/image/ab67616d0000b273ac9aeba6b1c9fbbd95a958ea,"['acoustic blues', 'blues', 'blues rock', 'classic rock', 'country blues', 'country rock', 'folk', 'folk rock', 'harmonica blues', 'jazz blues', 'modern blues', 'roots rock', 'soul', 'traditional blues']",54,0.603,0.265,8,-11.627,1,0.0372,0.806,1.65e-06,0.12,0.71,131.188,268347,4,blues
1b44sEBiYyl35EbYDgNGfk,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Step In,48,Cedric Burnside,I Be Trying,https://i.scdn.co/image/ab67616d0000b273181c0999d0e1ed5038347b5c,"['black americana', 'memphis americana', 'modern blues', 'modern blues rock']",38,0.739,0.79,2,-4.503,0,0.0658,0.567,0.000322,0.1,0.492,117.394,155027,4,blues
2rNVmfuyXAfmvZfg8O9D92,https://open.spotify.com/playlist/37i9dQZF1DXcFk5r8uS3l2?si=ab07bbfeed5b4e6d,Blues Roots,Grass Is Greener,48,St. Paul & The Broken Bones,Half The City,https://i.scdn.co/image/ab67616d0000b273793d44aad3d0c0158d517c15,"['funk', 'retro soul', 'roots rock']",54,0.34,0.491,7,-7.0,1,0.0322,0.428,0.0397,0.226,0.248,176.309,254333,3,blues
