,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2ai9vtLxBecBwYcBRGJXwo,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Mystery Train,35,Junior Parker,Little Junior Parker: Mr. Blues,https://i.scdn.co/image/ab67616d0000b273c01cc252e0aa18fd2ef83ce5,"['memphis blues', 'soul blues']",29,0.472,0.365,2,-10.217,1,0.031,0.927,0.00573,0.108,0.571,96.787,144747,4,blues
2Mr1bGI2E10K7Mt1UJZ6Mw,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Boom Boom,63,John Lee Hooker,Burnin',https://i.scdn.co/image/ab67616d0000b273a359e57b14e2961fd4b9764c,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",57,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152351,4,blues
4KMXlzvtC8xjLseDqDjpeU,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,My Babe,59,Little Walter,The Essential Little Walter,https://i.scdn.co/image/ab67616d0000b27320f3de1822791b066e563a2d,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rock-and-roll', 'traditional blues']",46,0.676,0.334,5,-10.572,1,0.0508,0.862,0.0,0.32,0.867,158.0,162040,4,blues
5bC6ONDsL88snGN6QasjZH,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Help Me,59,Sonny Boy Williamson II,More Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b48c81a7d103f5aedd0b8cb2,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",46,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,188200,4,blues
3ocm1Cf1Dk1ODrdBdybh82,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Born Under A Bad Sign - Mono Mix,58,Albert King,Born Under A Bad Sign (Mono),https://i.scdn.co/image/ab67616d0000b27353d060bca8e1bfe646f09ef7,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues']",49,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,169998,4,blues
6PUabSMXmPnZna361Wwmf7,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Crossroads - Live,57,Cream,Wheels Of Fire,https://i.scdn.co/image/ab67616d0000b2735c7731f5acdcb2d02d78b7ee,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']",61,0.391,0.756,7,-11.317,1,0.0648,0.413,0.0418,0.879,0.839,131.648,258467,4,blues
3KSchPNSklO5McIqRH3qYX,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,I'm Your Hoochie Coochie Man,54,Muddy Waters,King Of The Electric Blues,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238533,3,blues
1a8vVeidOsauNu6rQmHBRS,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Killing Floor,51,Howlin' Wolf,The Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b35e834af126be64d5be7f07,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",52,0.721,0.62,9,-9.775,1,0.0326,0.379,4.31e-05,0.344,0.644,118.696,172827,4,blues
1cRTAPP2FG9h2WiYMOIVIK,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,The Sky Is Crying,50,Elmore James,Shake Your Money Maker: The Best Of The Fire Sessions,https://i.scdn.co/image/ab67616d0000b2739edadae1fa36bbcfe53430fb,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",44,0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,166400,3,blues
4kyKnNbxFe86MMeV4xpDL8,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,The Thrill Is Gone,50,B.B. King,B.B. King & Friends - 80,https://i.scdn.co/image/ab67616d0000b273292095f19ce3f6e84a0688f4,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.561,0.681,9,-7.633,0,0.0299,0.16,0.0132,0.106,0.62,87.262,301453,4,blues
5yMRZqh2HCo5NFbLNt6sD1,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Nobody Knows You When You're Down And Out,49,Nina Simone,Pastel Blues,https://i.scdn.co/image/ab67616d0000b273fda3269eebbf31611d10bda6,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",67,0.482,0.328,9,-12.076,1,0.0401,0.89,0.0,0.0827,0.436,116.687,158200,1,blues
2CU9pGd7lq4fSHiFwjs842,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Catfish Blues - Live,47,Gary Clark Jr.,Gary Clark Jr. Live,https://i.scdn.co/image/ab67616d0000b27343d079274c5ea12ff1d0ba47,"['blues rock', 'electric blues', 'modern blues rock', 'rock', 'soul blues', 'texas blues']",59,0.311,0.67,9,-5.074,1,0.0368,0.353,0.22,0.14,0.289,127.818,480133,4,blues
2bV2rAslNR4CjjG8CuEQhZ,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Hide Away,47,Freddie King,Texas Sensation,https://i.scdn.co/image/ab67616d0000b2736de50d59e8c6f58e4ec2be14,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'texas blues', 'traditional blues']",51,0.637,0.657,9,-10.615,1,0.0286,0.155,0.202,0.143,0.863,133.973,157400,4,blues
5Mpt8MfB3OUJIERUnjOGum,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,That's All Right - 1950 Single Version,47,Jimmy Rogers,Chicago Bound,https://i.scdn.co/image/ab67616d0000b273ab76e532fa011e617a8f29fe,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'traditional blues']",40,0.508,0.248,4,-13.409,1,0.0348,0.642,4.49e-05,0.291,0.497,74.283,170373,4,blues
1jyznfH2Lp3TrIHx5cFQwv,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,"Baby, Please Don't Go",45,AC/DC,'74 Jailbreak,https://i.scdn.co/image/ab67616d0000b27310bf017ea10a0887469e2763,"['australian rock', 'hard rock', 'rock']",80,0.582,0.851,0,-5.637,1,0.0784,0.00014,0.338,0.23,0.663,120.707,300013,4,blues
0fM0mFxHP1R4KPX1PB8tWU,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Dust My Broom,42,Elmore James,Shake Your Money Maker: The Best Of The Fire Sessions,https://i.scdn.co/image/ab67616d0000b2739edadae1fa36bbcfe53430fb,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",44,0.507,0.66,2,-4.957,1,0.0306,0.0115,0.336,0.322,0.696,100.783,175040,4,blues
2Ihc193y6t3DNixXjQWTZD,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,Rollin' And Tumblin',41,Canned Heat,Canned Heat,https://i.scdn.co/image/ab67616d0000b2733c7447393b256d2e4eda93fe,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']",57,0.682,0.573,7,-12.5,1,0.0303,0.0299,0.000246,0.108,0.97,126.58,191093,4,blues
1qHFxjvmKpmwZUcXckLkYc,https://open.spotify.com/playlist/37i9dQZF1DXcu3QLJudo4X?si=58a4768c9e8a4d81,Blues Standards,How Long Blues,41,T-Bone Walker,T-Bone Blues,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'jazz blues', 'texas blues', 'traditional blues']",44,0.5,0.246,10,-14.924,1,0.0455,0.699,0.0314,0.131,0.35,70.561,319333,4,blues
