,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0ftAOThcYwpSDapJhDOy7o,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",53,Wolfgang Amadeus Mozart,"Mozart: Piano Sonatas K.309, K.332 & K.570",https://i.scdn.co/image/ab67616d0000b273ab34ec04dd3073df6d8caef8,"['classical', 'classical era']",73,0.522,0.0308,5,-26.86,1,0.0641,0.995,0.915,0.0805,0.313,72.551,284000,4,classical
5NGtFXVpXSvwunEIGeviY3,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,Gymnopédie No. 1,68,Erik Satie,Erik Satie & Friends,https://i.scdn.co/image/ab67616d0000b273fa24c97b4c8aaf5ccdcccf08,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",65,0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,205867,3,classical
3U8Fx7zNTQrctytkj6Gqgd,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,Carnival of the Animals: The Swan,61,Camille Saint-Saëns,Saint-Saëns: Carnival of the Animals: The Swan,https://i.scdn.co/image/ab67616d0000b2730f554ebde761482faecb143a,"['classical', 'french romanticism', 'late romantic era']",63,0.213,0.0656,7,-24.81,1,0.0467,0.992,0.969,0.0699,0.0384,65.023,150147,3,classical
5s8B58Hj2GlkAoo5V658bU,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez),54,Franz Schubert,Schubert: Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez),https://i.scdn.co/image/ab67616d0000b273482eabb5465f8c6636f0ce39,"['classical', 'classical era', 'early romantic era']",63,0.163,0.0366,7,-27.021,1,0.0451,0.98,0.912,0.0908,0.17,84.642,143267,3,classical
3xt4M4CIIyXs4qDrDPVVAQ,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,"Bach - 3 chorales, P. 167: No. 3. Andante (after J.S. Bach's Wachet auf ruft uns die Stimme, BWV 645)",52,Ottorino Respighi,Bach: Orchestral transcriptions by Respighi & Elgar,https://i.scdn.co/image/ab67616d0000b273dac7aec44f97ddfc1968d1af,"['classical', 'impressionism', 'italian romanticism', 'neoclassicism', 'post-romantic era']",52,0.162,0.012,3,-31.823,1,0.0427,0.924,0.835,0.0905,0.0923,110.305,308440,4,classical
0RPconiPxIzgQy7no9vvil,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,"Rinaldo, HWV 7a, Act II, Scene 4: Lascia ch'io pianga - Arr. for French Horn",49,George Frideric Handel,Baroque Arias for Horn (Beyond Words),https://i.scdn.co/image/ab67616d0000b273b211b986534499fc28b95448,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",63,0.128,0.0209,11,-26.683,1,0.0437,0.989,0.374,0.0818,0.0598,96.923,300000,3,classical
3hCPh4oVVjaM8tv9sFH8cx,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,"Suite bergamasque, L. 75: III. Clair de lune",58,Claude Debussy,Nightfall,https://i.scdn.co/image/ab67616d0000b2731c77de02f671a90a480f3b97,"['classical', 'impressionism', 'post-romantic era']",68,0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,294960,5,classical
1YC73UseIZ9AjZ3bkh7YoM,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,Homebound,43,Ola Gjeilo,DAWN,https://i.scdn.co/image/ab67616d0000b2735f17863476e7e946d11669ab,"['21st century classical', 'nordic contemporary classical']",54,0.385,0.0584,7,-23.304,1,0.0685,0.996,0.965,0.0908,0.363,65.661,122440,3,classical
4BWs1bcs60wjW56SyoHjQi,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,"Violin Concerto in D Major, Op. 61: II. Larghetto",49,Ludwig van Beethoven,"Violin Concerto in D Major, Op. 61: II. Larghetto",https://i.scdn.co/image/ab67616d0000b27394429f62267c8ebc68ec4d88,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.209,0.0402,7,-27.175,1,0.047,0.931,0.0588,0.0869,0.0514,95.939,486000,4,classical
7ci2JgRHMiVIAueWOiWMye,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW?si=b9a26c587b2c4aaf,Chilled Classical,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,50,Johann Pachelbel,"Pachelbel: Canon - Albinoni: Adagio - Bach, Bonporti, Molter: Works",https://i.scdn.co/image/ab67616d0000b2732e77061de33d08eb92cd23d0,"['baroque', 'classical', 'german baroque']",57,0.145,0.14,2,-19.633,1,0.0385,0.817,0.438,0.112,0.288,152.918,377227,4,classical
