,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0DnGfA1r8pAssJCuq4ojla,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,Still Got The Blues,68,Gary Moore,Still Got The Blues,https://i.scdn.co/image/ab67616d0000b273b586fc87d8bde3ba953f233a,"['album rock', 'blues rock', 'british blues', 'electric blues', 'hard rock', 'rock']",59,0.189,0.39,9,-14.497,0,0.0353,0.257,0.000152,0.122,0.32,169.563,370867,3,blues
1a2iF9XymafjRk56q7oCxo,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,Pride and Joy,66,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'rock', 'texas blues']",61,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,4,blues
4NQfrmGs9iQXVQI9IpRhjM,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,The Thrill Is Gone,61,B.B. King,Completely Well,https://i.scdn.co/image/ab67616d0000b2731a04649cc2ddb348a9e08f23,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,324733,4,blues
3XxBSvDZKH5YvZZjTpn6eR,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,Red House,58,Jimi Hendrix,Are You Experienced,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",70,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,230360,4,blues
6PUabSMXmPnZna361Wwmf7,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,Crossroads - Live,57,Cream,Wheels Of Fire,https://i.scdn.co/image/ab67616d0000b2735c7731f5acdcb2d02d78b7ee,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']",61,0.391,0.756,7,-11.317,1,0.0648,0.413,0.0418,0.879,0.839,131.648,258467,4,blues
3KSchPNSklO5McIqRH3qYX,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,I'm Your Hoochie Coochie Man,54,Muddy Waters,King Of The Electric Blues,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238533,3,blues
2Qj1FilGsXITZbFVmVeoLy,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,I'm Tore Down,53,Freddie King,Getting Ready... (World),https://i.scdn.co/image/ab67616d0000b273be4c277f6b8f6bedf7135496,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'texas blues', 'traditional blues']",51,0.64,0.496,2,-11.124,1,0.0413,0.616,4.63e-05,0.183,0.954,116.632,253333,4,blues
5x7Oxaa9EEIx9nw17CC5yW,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,Chains And Things,57,B.B. King,Indianola Mississippi Seeds,https://i.scdn.co/image/ab67616d0000b273dac4fc8f79d08515f048ddc7,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.56,0.241,4,-15.385,0,0.0314,0.593,0.195,0.122,0.341,79.537,293733,4,blues
0h4jHdNzUrV9eGR2PT5R8c,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,Lenny,55,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'rock', 'texas blues']",61,0.513,0.171,8,-17.904,1,0.0422,0.775,0.458,0.139,0.321,118.461,297373,4,blues
3YGsgJqtIWKjMjZtKLk11Z,https://open.spotify.com/playlist/37i9dQZF1DWWhiW4fdIska?si=a175be8c330448dc,Classic Blues Guitar,Be Careful With a Fool,53,Johnny Winter,Johnny Winter,https://i.scdn.co/image/ab67616d0000b27305e6346e31e001003b24cb21,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'modern blues', 'texas blues', 'traditional blues']",45,0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,314880,3,blues
