,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2xizRhme7pYeITbH1NLLGt,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",64,Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,https://i.scdn.co/image/ab67616d0000b2731d9c6602aa95abd8c5b146da,"['classical', 'late romantic era', 'russian romanticism']",66,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,166867,4,classical
6mmbWSbU5FElQOocyktyUZ,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,La Gioconda / Act 3: Dance Of The Hours,48,Amilcare Ponchielli,"Ballet Highlights - The Nutcracker, Romeo & Juliet, Swan Lake",https://i.scdn.co/image/ab67616d0000b273d889047614950160a1bb3ce4,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",44,0.554,0.00763,4,-30.566,1,0.0502,0.915,0.00097,0.221,0.156,119.502,162613,4,classical
2tLEaS1u9MHIzZ5jqv0R2Y,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,"The Sleeping Beauty, Op. 66, TH 13 / Act 1: 6. Valse",39,Pyotr Ilyich Tchaikovsky,Tchaikovsky: The Sleeping Beauty,https://i.scdn.co/image/ab67616d0000b273dac7f337d449b5216892a9b5,"['classical', 'late romantic era', 'russian romanticism']",66,0.272,0.153,10,-20.058,1,0.0364,0.95,0.892,0.312,0.471,101.712,279507,4,classical
6uDx7Xrj965lwegMxQ4l3t,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,La fille mal gardée / Act 1: 17a. Clog Dance,38,Ferdinand Hérold,"Ballet Highlights - The Nutcracker, Romeo & Juliet, Swan Lake",https://i.scdn.co/image/ab67616d0000b273d889047614950160a1bb3ce4,"['early romantic era', 'french opera', 'french romanticism']",27,0.43,0.103,7,-20.725,0,0.0446,0.916,0.901,0.156,0.346,130.132,135573,4,classical
0CJuLeZpCdqrqoCMXWZw8k,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",56,Pyotr Ilyich Tchaikovsky,Tchaikovsky: The Nutcracker,https://i.scdn.co/image/ab67616d0000b273f1972145094112a1268035f1,"['classical', 'late romantic era', 'russian romanticism']",66,0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,415813,3,classical
33xx3BaaO1PZeASUDIbzys,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,"Sylvia, Suite: 3. Pizzicati",34,Léo Delibes,"Ballet Highlights - The Nutcracker, Romeo & Juliet, Swan Lake",https://i.scdn.co/image/ab67616d0000b273d889047614950160a1bb3ce4,"['classical', 'french opera', 'french romanticism', 'late romantic era']",50,0.365,0.0392,3,-32.927,1,0.0509,0.936,0.909,0.113,0.185,141.479,128213,4,classical
3m3sGx5h2FG461vLt0WYzV,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,"Coppélia: Coppélia, Act I: Valse Lente",32,Léo Delibes,Delibes: Coppelia (Highlights),https://i.scdn.co/image/ab67616d0000b273241f12007de7b32b638c68d1,"['classical', 'french opera', 'french romanticism', 'late romantic era']",50,0.178,0.0863,3,-19.786,1,0.0547,0.941,0.867,0.0793,0.195,72.466,127027,5,classical
0BGJjuvUKA1UqlfADE6Lyx,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,La Vierge / Scene 4: The Assumption: Le dernier sommeil de la Vièrge (The Last Sleep of the Virgin),55,Jules Massenet,Clair de Lune - Orchestral Favourites; Waldteufel - Waltzes,https://i.scdn.co/image/ab67616d0000b27365f06641e94fca6f46c42269,"['classical', 'french opera', 'french romanticism', 'post-romantic era']",51,0.162,0.0888,7,-26.139,1,0.0358,0.866,0.378,0.115,0.0391,81.612,302467,4,classical
3kGME37l1qfGcaSZjkG6x7,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,Giselle / Act 2: Grand pas de deux: Adage,35,Adolphe Adam,Adam: Giselle,https://i.scdn.co/image/ab67616d0000b273b9cf667a7a8f4fba75c3f70b,"['early romantic era', 'french opera', 'french romanticism']",39,0.259,0.0319,3,-29.98,1,0.0413,0.923,0.73,0.0722,0.101,73.022,389040,3,classical
50UL5E858wIanQTiXlR9ym,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,Gaîté parisienne: Barcarolle,34,Jacques Offenbach,Offenbach: Overtures,https://i.scdn.co/image/ab67616d0000b273e7dcf9364d9399767b6835c6,"['classical', 'french opera', 'french romanticism', 'german romanticism', 'late romantic era', 'operetta']",50,0.147,0.0176,2,-30.68,1,0.0363,0.954,0.514,0.166,0.0382,81.999,217933,4,classical
4n6mxWdhDavqpH1L7jm5ze,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,Masquerade - Ballet Suite: 1. Waltz,40,Aram Khachaturian,"Khachaturian: Piano Concerto/Violin Concerto, etc.",https://i.scdn.co/image/ab67616d0000b273f08d41c4858b269bb036e460,"['caucasian classical', 'classical', 'early modern classical', 'russian modern classical']",50,0.258,0.286,0,-15.406,1,0.0326,0.743,0.932,0.164,0.308,100.664,246733,3,classical
0AyNC0zlef2QbJ01Xfq8Wf,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,"The Nutcracker, Op. 71, TH.14 / Act 2: No. 12b Coffee (Arabian Dance)",44,Pyotr Ilyich Tchaikovsky,Tchaikovsky: The Nutcracker,https://i.scdn.co/image/ab67616d0000b2737948ea30f39ad0a53f947751,"['classical', 'late romantic era', 'russian romanticism']",66,0.156,0.00709,7,-34.153,0,0.0382,0.941,0.799,0.0986,0.041,97.925,191160,3,classical
0J6itzTcqu5pIPFS7fXbzy,https://open.spotify.com/playlist/37i9dQZF1DXabrEiRjQMgs?si=bbb78992d0a045c0,Classical Ballet,Spartacus (1968 Bolshoi version) (arr. Y. Grigorovich): Act III: Adagio of Spartacus and Phrygia,39,Yuri Grigorovich,"Khachaturian, A.I.: Spartacus [Ballet]",https://i.scdn.co/image/ab67616d0000b27337519b38e23bcd75f01b4d82,[],23,0.117,0.0788,6,-21.479,0,0.0392,0.945,0.874,0.105,0.0301,81.932,563693,3,classical
