,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
61dYvvfIRtIDFuqZypPAta,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",63,Johann Sebastian Bach,Bach: Unaccompanied Cello Suites (Remastered),https://i.scdn.co/image/ab67616d0000b273261feb89ee859b598bd34a97,"['baroque', 'classical', 'early music', 'german baroque']",75,0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,151480,4,classical
4SFBV7SRNG2e2kyL1F6kjU,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,"The Well-Tempered Clavier: Book 1, BWV 846-869: I. Prelude in C Major, BWV 846",61,Johann Sebastian Bach,Piano Book (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273bf4b533ee6e9634a6fcd8882,"['baroque', 'classical', 'early music', 'german baroque']",75,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,139307,4,classical
3zLTPuucd3e6TxZnu2dlVS,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",61,Ludwig van Beethoven,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",https://i.scdn.co/image/ab67616d0000b27351898cf04bc3f84976d8d948,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,212067,3,classical
0DqFXzLtKkj9JO421NJpl1,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,"Suite No. 3 in D Major, BWV 1068: II. Air",47,Johann Sebastian Bach,Born in the 1600s: Bach,https://i.scdn.co/image/ab67616d0000b2737ac1605692de2a6b2fe063a2,"['baroque', 'classical', 'early music', 'german baroque']",75,0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,363253,4,classical
1Mse9NKBbEASi50CQ4aYhr,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,56,Johann Pachelbel,Mozart: Eine Kleine Nachtmusik etc.,https://i.scdn.co/image/ab67616d0000b27350f0e9f3fe510cfe42f5f2d9,"['baroque', 'classical', 'german baroque']",57,0.128,0.132,2,-17.67,1,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,4,classical
1upQiytDIEZfl9ItruoXuC,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",64,George Frideric Handel,Handel Sarabande,https://i.scdn.co/image/ab67616d0000b2733bf6b8e862d572064e3c1e0b,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",63,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,classical
5fdp9rXfEixCGLM1Og4EN1,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,Gnossienne No. 1,64,Erik Satie,Gnossienne No. 1,https://i.scdn.co/image/ab67616d0000b273644e2da6c39885f8eac4e535,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",65,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4,classical
0jOnZhF75V68VsBObWx2XO,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",68,Camille Saint-Saëns,Songs from the Arc of Life,https://i.scdn.co/image/ab67616d0000b273cdf367607728e48fc580a6f9,"['classical', 'french romanticism', 'late romantic era']",63,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3,classical
1cmigB9I6IRpFqjIbzvSQB,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,"Suite bergamasque, L. 75: III. Clair de lune",66,Claude Debussy,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",https://i.scdn.co/image/ab67616d0000b2731277085743389aa91af6f39b,"['classical', 'impressionism', 'post-romantic era']",68,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,294960,3,classical
0XfFRLi9G87t57kqZAzeef,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=fd8d4a95ee344924&nd=1,Classical Essentials,Meditation: Méditation from Thaïs,55,Jules Massenet,Szymanowski: Violin Concerto No.1,https://i.scdn.co/image/ab67616d0000b273d0a7690f757a1a9e808a7ee2,"['classical', 'french opera', 'french romanticism', 'post-romantic era']",51,0.114,0.0701,4,-23.417,0,0.0445,0.87,0.431,0.0916,0.0371,89.33,331933,1,classical
