,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3aOT5GxCXzMTJU6UPrip6T,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Suite bergamasque, L. 75: Clair de lune",53,Claude Debussy,Alexis Weissenberg plays Debussy,https://i.scdn.co/image/ab67616d0000b273909d196836b4b21cd3ae7748,"['classical', 'impressionism', 'post-romantic era']",68,0.339,0.00597,3,-27.888,0,0.0509,0.994,0.926,0.0695,0.0353,102.801,346347,4,classical
5u5aVJKjSMJr4zesMPz7bL,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Clair de Lune, L. 32",67,Claude Debussy,Debussy: Clair De Lune and Other Piano Favourites,https://i.scdn.co/image/ab67616d0000b2736e7bb273ff9cb1de1e1d4d0a,"['classical', 'impressionism', 'post-romantic era']",68,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,268000,4,classical
3p02ss31ywBaZcqh7Vq9sx,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,Time To Say Goodbye,0,Sarah Brightman,Diva: The Singles Collection,https://i.scdn.co/image/ab67616d0000b27335614b49763a0c9713bc1161,['operatic pop'],55,0.248,0.439,7,-6.745,1,0.0316,0.907,0.00187,0.101,0.435,105.406,246480,4,classical
0nrCOJpS3gpwLvoANVZEeJ,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Prelude & Fughetta in G Major, BWV 902: I. Prelude",47,Johann Sebastian Bach,Johann Sebastian Bach,https://i.scdn.co/image/ab67616d0000b273369f6761d1cccba9a34f05cf,"['baroque', 'classical', 'early music', 'german baroque']",75,0.38,0.254,2,-24.967,1,0.0365,0.992,0.926,0.117,0.805,101.1,206427,4,classical
5X598CAzX6fs0m3KoY2QXV,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Flute Quartet in A Major, K. 298: I. Theme (Andante) and Variations",39,Wolfgang Amadeus Mozart,Mozart Chamber Music for Winds and Strings,https://i.scdn.co/image/ab67616d0000b27363d7ea65310b99499ebfe18d,"['classical', 'classical era']",73,0.197,0.0869,9,-23.889,1,0.0467,0.981,0.549,0.0894,0.385,170.577,388893,4,classical
5ZiyLuFvDbFwskqHpJ8E3X,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Sinfonia for Strings in G major, RV 149: I. Allegro molto",41,Karoly Botvay,"Vivaldi, A.: The 4 Seasons / Sinfonias, Rv 112, 132, 149 and 169",https://i.scdn.co/image/ab67616d0000b273d342334578bc993287d687d5,['hungarian classical performance'],46,0.444,0.228,2,-21.46,1,0.0386,0.894,0.966,0.136,0.93,125.209,110800,4,classical
5X4QnmLUFC7AWsxG4tteAm,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Symphony No. 5 in C Minor, Op. 67 ""Fate"": Allegro con brio",46,Ludwig van Beethoven,The 50 Greatest Pieces of Classical Music,https://i.scdn.co/image/ab67616d0000b27376206bd8de3a477aafd7ba83,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.319,0.315,0,-13.957,0,0.0487,0.98,0.916,0.129,0.165,93.658,448187,4,classical
7aRET8mgvTgAdL2LyT5LVN,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Violin Partita No. 3 in E Major, BWV 1006: III. Gavotte en rondeau (Arr. J. Milone for Violin & Orchestra)",40,Johann Sebastian Bach,Bach: Works for Violin,https://i.scdn.co/image/ab67616d0000b27336105110a5c957602ca181db,"['baroque', 'classical', 'early music', 'german baroque']",75,0.55,0.199,4,-13.468,1,0.0761,0.855,0.0,0.116,0.838,75.473,169720,4,classical
0whTDu3Nes1AFl2m0KTtmw,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,"Keyboard Concerto in F Major, Hob.XVIII:3: II. Largo cantabile",36,Joseph Haydn,"Haydn: Piano Concertos, Hob.Xviii:3,4,9,11",https://i.scdn.co/image/ab67616d0000b2731f4bbc6b3cfd238a196d423f,"['classical', 'classical era']",55,0.227,0.00792,0,-34.323,1,0.0448,0.978,0.56,0.131,0.117,76.051,388120,4,classical
6cDytuMZ5Z4iMEhK65HiHL,https://open.spotify.com/playlist/37i9dQZF1EQn1VBR3CMMWb?si=2f03890f707241f9,Classical Mix,Nocturne No. 2 in C Minor,55,John Field,"Field: Piano Music, Vol. 1",https://i.scdn.co/image/ab67616d0000b273771718f0d66a2f0524911398,"['early romantic era', 'irish classical']",48,0.351,0.00622,0,-33.286,0,0.0388,0.994,0.943,0.115,0.0794,66.921,223067,4,classical
