,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6ziKeu4VLfcf4rhLBC0SPG,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,Second livre de pièces de clavecin / Sixième ordre: V. Les baricades mistérieuses (Arr. Fougeray for Guitar),26,François Couperin,Couperin: Second livre de pièces de clavecin / Sixième ordre: V. Les baricades mistérieuses (Arr. Fougeray for Guitar),https://i.scdn.co/image/ab67616d0000b2737e36809a3a5f182791d12438,"['baroque', 'classical', 'early music', 'french baroque']",44,0.31,0.136,2,-23.145,1,0.0489,0.993,0.952,0.0949,0.136,126.257,192920,4,classical
7Il5v7dknoshlFkQRpIqxm,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,"Savior of the Nations, Come, BWV 659 (Arr. for 4 Cellos)",30,Johann Sebastian Bach,Song,https://i.scdn.co/image/ab67616d0000b273289290c7ffeb3b22d3a3c01a,"['baroque', 'classical', 'early music', 'german baroque']",75,0.186,0.0808,7,-22.665,0,0.048,0.97,0.733,0.131,0.0462,130.949,279840,3,classical
3J3B7fvatmaDTGU5vvyMNi,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,Melodies of the Moments - Cycle III: II. Barcarole,26,Valentin Silvestrov,Silvestrov: Melodies of the Moments - Cycle III: II. Barcarole,https://i.scdn.co/image/ab67616d0000b273099121c41b82ca6de747647d,"['ukrainian classical', 'ukrainian classical piano']",50,0.125,0.0406,2,-26.621,0,0.0455,0.975,0.8,0.1,0.0599,167.498,168960,3,classical
3OqFVW82OYx3AvC2hO4Orz,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,"4 Piano Pieces, Op. 119: I. Intermezzo. Adagio - Musical Moments",24,Johannes Brahms,"Brahms: 4 Piano Pieces, Op. 119: I. Intermezzo. Adagio (Musical Moments)",https://i.scdn.co/image/ab67616d0000b273150b00fb7326e5b0d58eaa41,"['classical', 'german romanticism', 'late romantic era']",64,0.446,0.00402,11,-28.9,0,0.0477,0.995,0.882,0.0789,0.092,66.094,245840,3,classical
2VYwaSyVVTLcRZV5Mwof8m,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,Rêverie,25,Angela Morley,Rêverie,https://i.scdn.co/image/ab67616d0000b27393cc62b826c5165d6ddb4b5d,['light music'],15,0.128,0.26,0,-15.315,1,0.0449,0.57,0.0294,0.31,0.0604,79.674,193685,4,classical
22O2MEvTDmsVdbbn5J6jYT,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,"Symphony No. 1 in B Flat Major, Op. 38 ""Spring"": III. Scherzo. Molto vivace",31,Robert Schumann,"Schumann: Symphony No. 1 in B Flat Major, Op. 38 ""Spring"": III. Scherzo. Molto vivace",https://i.scdn.co/image/ab67616d0000b273bbbecee5c6eb09a57695fa2c,"['classical', 'early romantic era', 'german romanticism']",62,0.392,0.164,2,-18.637,0,0.041,0.987,0.895,0.112,0.201,127.801,353000,4,classical
2g8J31ZSDiHfpbj4SDiwMD,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,Deux valses pour deux pianos: I. Valse lente (arr. for Solo Piano),25,Germaine Tailleferre,Deux valses pour deux pianos: I. Valse lente (arr. for Solo Piano),https://i.scdn.co/image/ab67616d0000b27313f97fd783ea4ed323df20c1,"['early modern classical', 'impressionism']",35,0.467,0.0225,1,-26.673,0,0.0519,0.995,0.848,0.0889,0.0343,81.375,102093,4,classical
0sWyCJaN0oVk0KRNanIgIb,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,Amazing Grace,25,Anonymous,Sensations - Amazing Grace,https://i.scdn.co/image/ab67616d0000b273ca8ca9ebacefe9fe1c90e67f,[],53,0.0907,0.0812,9,-20.569,1,0.0453,0.975,0.772,0.157,0.0359,84.822,256627,3,classical
1gbI7NTfAbYIqEkOdjI3Yo,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,Papillon - Solo Piano Version,34,Alexis Ffrench,Papillon (Solo Piano Version),https://i.scdn.co/image/ab67616d0000b2736c5b97311e7cf314ea5f1618,"['compositional ambient', 'neo-classical']",60,0.282,0.063,0,-26.185,1,0.0377,0.991,0.905,0.131,0.102,128.534,176458,1,classical
4FI6V2T3HbE8IIYWZn6kq3,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,"Six Épigraphes Antiques, L. 131: I. Pour invoquer Pan, dieu du vent d'été",21,Claude Debussy,Debussy: Piano Duets,https://i.scdn.co/image/ab67616d0000b2738aa916fdf65221ad83a67a1d,"['classical', 'impressionism', 'post-romantic era']",68,0.283,0.00222,2,-42.254,0,0.0373,0.985,0.771,0.091,0.351,83.219,154280,3,classical
5ppkIsSbPxRLb8h8dPo7Ru,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,"Legends, Op. 59, B. 122: VI. Allegro con moto",20,Antonín Dvořák,"Dvořák: Legends Op. 59, Czech Suite Op. 39",https://i.scdn.co/image/ab67616d0000b273ca4a9bdbf60def287ff4d625,"['classical', 'czech classical', 'late romantic era']",58,0.132,0.0101,8,-31.513,1,0.0436,0.929,0.275,0.124,0.0376,99.218,347030,4,classical
5chV0LTIw124IZHLCkrAU0,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,"Symphony No. 8 in F Major, Op. 93: I. Allegro vivace e con brio",22,Ludwig van Beethoven,Beethoven: Symphonies Nos. 4 & 8 - Méhul: Symphony No. 1 - Cherubini: Lodoïska Overture,https://i.scdn.co/image/ab67616d0000b273ad4206ffad1ff1503c59dd2a,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.238,0.102,0,-20.175,1,0.0395,0.946,0.917,0.118,0.136,170.068,514813,3,classical
0EzIbhccwqHhyHz8h03B1T,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=d03677d4c2964785,Classical New Releases,"Divertimento in B-Flat Major, K. 196f: I. Allegro",22,Wolfgang Amadeus Mozart,Mozart: Complete Wind Music,https://i.scdn.co/image/ab67616d0000b2737b5602accd343cafb7c4e199,"['classical', 'classical era']",73,0.519,0.375,10,-13.797,1,0.0601,0.992,0.9,0.131,0.818,175.303,135520,3,classical
