,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4ExtqIKNZLLmatRTVzlzFu,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Consolations, S. 172: No. 3, Lento placido",51,Franz Liszt,Labyrinth,https://i.scdn.co/image/ab67616d0000b273474aaf6e12e6f3242a5330b7,"['classical', 'late romantic era']",60,0.269,0.00229,1,-39.158,1,0.0372,0.986,0.868,0.174,0.0882,69.659,312813,3,classical
5oc54CC6nWMJPmzsgLvYnR,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Bach, JS: Goldberg Variations, BWV 988: Aria",51,Johann Sebastian Bach,"Bach, JS: Goldberg Variations",https://i.scdn.co/image/ab67616d0000b2733aa1ef56f0526be1cc24d759,"['baroque', 'classical', 'early music', 'german baroque']",75,0.277,0.0099,7,-31.727,1,0.0447,0.995,0.908,0.0608,0.189,75.941,312253,4,classical
76wV53YHl0tGEvT3L0QzvK,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Lyric Pieces, Book 1, Op. 12: I. Arietta",58,Edvard Grieg,Grieg: Piano Concerto; Lyric Pieces,https://i.scdn.co/image/ab67616d0000b27308797612fc49078eaab38e77,"['classical', 'late romantic era', 'norwegian classical']",61,0.328,0.00278,10,-38.801,1,0.0566,0.995,0.868,0.105,0.194,75.387,85907,1,classical
7kTVe6XhIveidvkt8nb7jK,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,3 Gymnopédies: No. 1 Lent et douloureux,56,Erik Satie,Satie: The Magic of Satie,https://i.scdn.co/image/ab67616d0000b273275a5d1aac45b9c57b88c1d2,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",65,0.59,0.00399,7,-36.497,1,0.242,0.996,0.946,0.0683,0.182,74.381,219760,3,classical
3DNRdudZ2SstnDCVKFdXxG,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",68,Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",https://i.scdn.co/image/ab67616d0000b2735fbde95caaf1018f9af50f71,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,classical
2EAgTVB2EdsMdqaqOk062L,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,Frühlingsglaube (Arr. Franz Liszt),60,Franz Schubert,Tchaikovsky: Piano Concerto No. 1,https://i.scdn.co/image/ab67616d0000b273f97275d50bfe242402d1a7ad,"['classical', 'classical era', 'early romantic era']",63,0.227,0.00482,8,-36.351,1,0.036,0.993,0.912,0.157,0.0731,70.684,216284,5,classical
3aflqY3isjShFUHoiS1QbR,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Suite bergamasque, L. 75: III. Clair de lune",51,Claude Debussy,Debussy,https://i.scdn.co/image/ab67616d0000b273f1a7e86865d1440fc5786ca7,"['classical', 'impressionism', 'post-romantic era']",68,0.371,0.00593,1,-32.075,1,0.0469,0.993,0.911,0.0699,0.0384,135.297,330840,3,classical
24cgBBhZD1cWekUqaYuqTB,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Orfeo ed Euridice, Wq. 30 (Arranged by Sgambati): Melodie dell'Orfeo",57,Christoph Willibald Gluck,Fantasia,https://i.scdn.co/image/ab67616d0000b2732aa849218866ec7455d5e647,"['classical', 'classical era', 'early music', 'galante era']",51,0.279,0.00461,2,-36.886,0,0.0439,0.989,0.982,0.0638,0.039,69.813,181547,5,classical
5rTOQ1I0Ig9CglsssseeYe,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Janáček: On an Overgrown Path, Book I: No. 7, Good Night!",48,Leoš Janáček,Good Night!,https://i.scdn.co/image/ab67616d0000b273eff8c4c886045bec9baa4a92,"['czech classical', 'early modern classical', 'post-romantic era']",40,0.335,0.0146,4,-23.818,0,0.0441,0.995,0.883,0.0838,0.0754,73.152,199375,4,classical
2mNQl3DEWtkrwKllwYpxi0,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Pavane, Op. 50 (Version for Piano)",54,Gabriel Fauré,The French Album,https://i.scdn.co/image/ab67616d0000b2732d9fe7374a905b9f395b0647,"['classical', 'post-romantic era']",60,0.392,0.0152,6,-30.684,0,0.0424,0.996,0.885,0.081,0.12,74.963,359464,4,classical
1Oo7XEqkrwifJn17aA0ocF,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",63,Johannes Brahms,Volodos Plays Brahms,https://i.scdn.co/image/ab67616d0000b273ce67b9a7547bce54f986a6b0,"['classical', 'german romanticism', 'late romantic era']",64,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,378733,4,classical
069SOoG7uHJ2JY1QHpQFJR,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"24 Preludes & Fugues, Op. 87: Prelude no.13 in F sharp minor. Moderato con moto",47,Dmitri Shostakovich,Shostakovich: 24 Preludes & Fugues,https://i.scdn.co/image/ab67616d0000b2730b88a4d06f61ac0770bca974,"['classical', 'compositional ambient', 'russian modern classical']",56,0.217,0.0027,6,-38.644,1,0.0492,0.995,0.907,0.0956,0.229,72.034,147960,4,classical
5nFCdayR5pAEVvQw7ZAIuQ,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"Siciliano (After ""Erbarme dich"" from Matthäus-Passion, BWV 244, No. 39)",54,Johann Sebastian Bach,Piano Songbook,https://i.scdn.co/image/ab67616d0000b273bcf214e7c792bf4a72775e91,"['baroque', 'classical', 'early music', 'german baroque']",75,0.296,0.0644,7,-22.715,0,0.0405,0.994,0.879,0.0748,0.354,79.031,125200,4,classical
4ObQ0m7VUtrgdEwpFeCKua,https://open.spotify.com/playlist/37i9dQZF1DWUqIzZNMSCv3?si=704745cd72f94ae2,Classical Piano,"12 Songs, Op. 21: V. Lilacs (Transcr. Rachmaninoff for Solo Piano)",57,Sergei Rachmaninoff,Rachmaninoff: Préludes; Études-Tableaux; Moments musicaux,https://i.scdn.co/image/ab67616d0000b27307ec93581ad7b16b666165b6,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",61,0.168,0.00571,8,-36.245,1,0.0404,0.995,0.92,0.068,0.0705,78.043,181693,3,classical
