,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4ksxLnn1ymLGRKnwhba45Y,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",50,Johann Sebastian Bach,Gran Turismo 5 (Original Game Soundtrack),https://i.scdn.co/image/ab67616d0000b27318b9afc962978bce3c7b4e1d,"['baroque', 'classical', 'early music', 'german baroque']",75,0.5,0.0104,2,-26.764,1,0.0622,0.996,0.949,0.0573,0.133,114.76,327080,4,classical
6N7JzrteJv8lsr1GWYyu0b,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)",57,Claude Debussy,"Debussy: Children's Corner, Suite bergamasque, Images",https://i.scdn.co/image/ab67616d0000b273cd9397c67cc31889d52b1bc1,"['classical', 'impressionism', 'post-romantic era']",68,0.36,0.0249,1,-27.017,1,0.0463,0.993,0.932,0.0454,0.0396,133.024,279160,5,classical
5oc54CC6nWMJPmzsgLvYnR,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Bach, JS: Goldberg Variations, BWV 988: Aria",51,Johann Sebastian Bach,"Bach, JS: Goldberg Variations",https://i.scdn.co/image/ab67616d0000b2733aa1ef56f0526be1cc24d759,"['baroque', 'classical', 'early music', 'german baroque']",75,0.277,0.0099,7,-31.727,1,0.0447,0.995,0.908,0.0608,0.189,75.941,312253,4,classical
1L4NadMj3Jj7YgGaikyhfr,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",60,Franz Liszt,Liszt: Dreams of Love; Consolations; Sonnets of Petrarca; Rigoletto Paraphrase,https://i.scdn.co/image/ab67616d0000b2734225ac52872a6804485d4def,"['classical', 'late romantic era']",60,0.368,0.00363,1,-36.759,1,0.035,0.993,0.922,0.137,0.085,69.363,254000,3,classical
7pN1FnWdKOx3GAciqfVVf7,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Les berceaux, Op. 23, No. 1",44,Gabriel Fauré,Romantic Vol.2,https://i.scdn.co/image/ab67616d0000b2737498f482d95d5072f0446aba,"['classical', 'post-romantic era']",60,0.179,0.0431,0,-23.664,0,0.0465,0.987,0.856,0.0785,0.0381,85.303,187507,1,classical
1Fye8VOMOlXxtBo02TpNWD,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Ständchen (From Schwanengesang, D957)",46,Franz Liszt,Kissin Plays Liszt,https://i.scdn.co/image/ab67616d0000b27342cccb6cb01c744cfc920a14,"['classical', 'late romantic era']",60,0.311,0.0075,2,-30.619,1,0.0397,0.994,0.943,0.0877,0.0387,68.138,375920,3,classical
6aD8MeXrjHNz7YgrTLHhyA,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Serenade for Strings in E Minor, Op. 20: II. Larghetto",40,Edward Elgar,Idylle,https://i.scdn.co/image/ab67616d0000b273dc6390bc4ed728795adc4469,"['british modern classical', 'classical', 'late romantic era', 'victorian britain']",55,0.428,0.003,0,-31.005,1,0.0709,0.995,0.924,0.0889,0.0934,69.108,407947,3,classical
3JdD9wqvohYMjK6BmEHtTP,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,Satie / Orch. Ducros: Gymnopédie No. 1,63,Erik Satie,Emotions,https://i.scdn.co/image/ab67616d0000b2734fc04a4cbdc924b27561460d,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",65,0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979,172120,3,classical
7MjEk3ha3TdVVfeYryOIAq,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Pavane pour une infante défunte, M. 19",42,Maurice Ravel,Ravel: Intégrale de l'œuvre pour piano,https://i.scdn.co/image/ab67616d0000b27359e4a9baf600462ce6e7aa9e,"['classical', 'early modern classical', 'impressionism', 'neoclassicism', 'post-romantic era']",58,0.342,0.00369,7,-32.61,1,0.0509,0.994,0.918,0.0631,0.179,62.464,342667,4,classical
56uWqDzSqIMbdi3ItnG481,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO?si=061043dbf6404d23,Classical Romance,"Vocalise, Op. 34, No. 14",41,Sergei Rachmaninoff,Bravo! Virtuoso And Romantic Encores For Violin,https://i.scdn.co/image/ab67616d0000b2730fe2d789fa28872ca17ffab3,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",61,0.168,0.0613,4,-24.987,0,0.0481,0.974,0.246,0.0836,0.0399,102.674,290040,4,classical
