,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0CJuLeZpCdqrqoCMXWZw8k,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",56,Pyotr Ilyich Tchaikovsky,Tchaikovsky: The Nutcracker,https://i.scdn.co/image/ab67616d0000b273f1972145094112a1268035f1,"['classical', 'late romantic era', 'russian romanticism']",66,0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,415813,3,classical
0WlaCTAy4ZrWC3wJbz52z7,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Violin Concerto No. 2 in B Minor, Op. 7, ""La campanella"": III. Rondo",45,Niccolò Paganini,Paganini: Violin Concerto's Nos. 1 & 2,https://i.scdn.co/image/ab67616d0000b273a066968e6106549440cca6c5,"['classical', 'early romantic era', 'italian romanticism']",51,0.468,0.177,11,-23.55,0,0.0765,0.517,0.307,0.367,0.241,104.939,523427,4,classical
5PAdbw7X61H3fQ8OwaTuBO,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,Gaîté parisienne: Barcarolle,49,Jacques Offenbach,"Ballet Highlights - The Nutcracker, Romeo & Juliet, Swan Lake",https://i.scdn.co/image/ab67616d0000b273d889047614950160a1bb3ce4,"['classical', 'french opera', 'french romanticism', 'german romanticism', 'late romantic era', 'operetta']",50,0.103,0.0725,2,-23.629,1,0.0375,0.96,0.694,0.378,0.0747,77.356,227973,4,classical
5dPApg9xrW2thg0RuFABwt,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"24 Préludes, Op. 28: No. 1 in C Major",22,Frédéric Chopin,Chopin: 26 Preludes,https://i.scdn.co/image/ab67616d0000b273618115e13576d6bb16089c51,"['classical', 'early romantic era', 'polish classical']",72,0.292,0.178,0,-22.226,1,0.0353,0.992,0.897,0.126,0.124,91.098,31907,4,classical
6cUCckpdlqHJ5Ascf2uH2A,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",62,Ludwig van Beethoven,Beethoven: Symphonies Nos.5 & 7,https://i.scdn.co/image/ab67616d0000b2733f26be8a62aa6532c2ed93f2,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,442000,4,classical
2Z4aQJh0kesRMookvtfR4y,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",50,Edvard Grieg,Grieg: Piano Concerto; Lyric Pieces,https://i.scdn.co/image/ab67616d0000b27308797612fc49078eaab38e77,"['classical', 'late romantic era', 'norwegian classical']",61,0.302,0.119,9,-18.059,0,0.0386,0.975,0.887,0.11,0.0381,94.4,820853,4,classical
2oLjhx7w8Hyd3gry9cCXr7,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",59,Johannes Brahms,Brahms: 21 Hungarian Dances,https://i.scdn.co/image/ab67616d0000b273502c913f7496cd482eebcdd4,"['classical', 'german romanticism', 'late romantic era']",64,0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,4,classical
4Au6Z1lmjAJR9Tuh9fiKG2,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,Piano Quintet in C Minor: I. Andante,39,Alexander Borodin,Borodin: Piano Quintet / String Quintet,https://i.scdn.co/image/ab67616d0000b2737b47bde73e909b390fc48677,"['classical', 'late romantic era', 'russian romanticism']",48,0.238,0.0566,0,-23.192,0,0.0393,0.975,0.867,0.178,0.0908,67.758,267000,3,classical
7ENBSfclYzkHgUNdhWfTTv,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Piano Trio No.2 in E flat, Op.100 D.929: 2. Andante con moto",35,Franz Schubert,"Schubert: Trio in Es-Dur, Notturno",https://i.scdn.co/image/ab67616d0000b273db2e5abe21f5b2303b63e45b,"['classical', 'classical era', 'early romantic era']",63,0.321,0.0214,0,-23.252,0,0.0329,0.975,0.381,0.0906,0.0928,95.781,552000,4,classical
086sjLPEqdKBgTxbTeCLCv,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Rêverie, L. 68",60,Claude Debussy,Debussy: Estampes; Pour le piano; 6 épigraphes antiques,https://i.scdn.co/image/ab67616d0000b273a13a0c0653e92e6ac7509294,"['classical', 'impressionism', 'post-romantic era']",68,0.25,0.00904,5,-31.617,1,0.041,0.995,0.922,0.0779,0.083,62.541,233400,4,classical
3MRQn2RYo2VLYMoStnLRxu,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Ravel: Pavane pour une infante défunte, M. 19",60,Maurice Ravel,Ravel: Complete Works for Solo Piano,https://i.scdn.co/image/ab67616d0000b273717e9f36e9548b4e112a0860,"['classical', 'early modern classical', 'impressionism', 'neoclassicism', 'post-romantic era']",58,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587,3,classical
0EdSVxuQ0aPhTl2Y5uRIB0,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 3. Allegro con fuoco - Live",23,Pyotr Ilyich Tchaikovsky,Tchaikovsky: Piano Concerto No.1; The Nutcracker Suite,https://i.scdn.co/image/ab67616d0000b2733cddc353fdf1cf03276fdc18,"['classical', 'late romantic era', 'russian romanticism']",66,0.365,0.218,10,-16.451,1,0.0384,0.945,0.918,0.128,0.533,147.825,378000,3,classical
1L4NadMj3Jj7YgGaikyhfr,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",60,Franz Liszt,Liszt: Dreams of Love; Consolations; Sonnets of Petrarca; Rigoletto Paraphrase,https://i.scdn.co/image/ab67616d0000b2734225ac52872a6804485d4def,"['classical', 'late romantic era']",60,0.368,0.00363,1,-36.759,1,0.035,0.993,0.922,0.137,0.085,69.363,254000,3,classical
2idvFSH2im8mdSaMiE81vn,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Overture to ""A Midsummer Night's Dream"", Op. 21: Tempo primo",35,Felix Mendelssohn,Mendelssohn: A Midsummer Night's Dream,https://i.scdn.co/image/ab67616d0000b273c385dbfabcec21279dcea0b5,"['classical', 'early romantic era', 'german romanticism']",58,0.24,0.0373,4,-23.062,1,0.0436,0.942,0.692,0.0675,0.0519,140.454,354428,4,classical
2d6ml9Qkx8r4EjuUyrdpRV,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Nocturne No. 1 In B Flat Minor, Op. 9 No. 1",61,Frédéric Chopin,Chopin: Nocturnes,https://i.scdn.co/image/ab67616d0000b2731ac7945379c88fb7f5844b59,"['classical', 'early romantic era', 'polish classical']",72,0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,286987,4,classical
3DNRdudZ2SstnDCVKFdXxG,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",68,Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",https://i.scdn.co/image/ab67616d0000b2735fbde95caaf1018f9af50f71,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,classical
5P5LGCJrCByuqgj9djXqa4,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Lyric Pieces, Book 9, Op. 68: Badnlat (Cradle Song)",58,Edvard Grieg,"Grieg: Lyric Pieces, Books 8 - 10, Opp. 65, 68, and 71",https://i.scdn.co/image/ab67616d0000b273e9fae6a048104de68fa574d0,"['classical', 'late romantic era', 'norwegian classical']",61,0.376,0.0192,4,-35.626,1,0.0394,0.995,0.874,0.0778,0.197,111.591,131667,3,classical
1Oo7XEqkrwifJn17aA0ocF,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",63,Johannes Brahms,Volodos Plays Brahms,https://i.scdn.co/image/ab67616d0000b273ce67b9a7547bce54f986a6b0,"['classical', 'german romanticism', 'late romantic era']",64,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,378733,4,classical
5Mdz067OVfcjWGgz2tKDdu,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,The Tale of Tsar Saltan: The Tale of Tsar Saltan: Flight of the Bumblebee,47,Nikolai Rimsky-Korsakov,Rimsky-Korsakov: Scheherazade,https://i.scdn.co/image/ab67616d0000b2734c7de36dc75a56e86c2ee42b,"['avant-garde', 'classical', 'late romantic era', 'russian romanticism']",49,0.429,0.0786,7,-27.644,1,0.0418,0.949,0.958,0.347,0.241,79.931,90013,4,classical
3bxUPzZWfWeX7vIB55wqo2,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Tritsch-Tratsch-Polka, Op. 214",28,Johann Strauss II,J. Strauss Jr.: Wiener Walzer,https://i.scdn.co/image/ab67616d0000b2730dea9538e68aab93c4b7b5dd,"['classical', 'late romantic era', 'operetta']",54,0.634,0.43,9,-15.843,1,0.0496,0.891,0.0879,0.163,0.753,82.551,154507,4,classical
2LiWNkeUOAeibGxJKxmjsD,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Romeo and Juliet, Op. 64 / Act 1: Dance Of The Knights",53,Sergei Prokofiev,Prokofiev: Romeo & Juliet,https://i.scdn.co/image/ab67616d0000b2738af0e6e8cd90c28749ccbcd9,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']",54,0.199,0.0677,0,-20.879,1,0.039,0.786,0.738,0.225,0.145,78.866,307827,3,classical
03HJfQjXtsap4GexCJ87Rz,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,Swan Lake Ballet Music Op.20: Szene,37,London Concert Orchestra,The Best Of Tchaikovsky,https://i.scdn.co/image/ab67616d0000b27367b908f10f23f8eea5a190be,[],26,0.107,0.115,4,-21.187,0,0.0401,0.919,0.895,0.089,0.0388,85.6,196133,3,classical
4LmIhDgZFnXlgK5t0qwBpw,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Swan Lake, Op. 20, TH 12, Act IV, No. 29: Scène finale (Andante - Allegro agitato )",28,Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,https://i.scdn.co/image/ab67616d0000b273fd4e51fa78820473da655cc3,"['classical', 'late romantic era', 'russian romanticism']",66,0.176,0.242,11,-20.008,1,0.0405,0.762,0.937,0.28,0.0847,86.99,386070,4,classical
6Y2ID5LrizFmT8FL0BQEgG,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"3 Études de Concert, S. 144: No. 3 in D-Flat Major ""Un sospiro""",41,Franz Liszt,"Transcendental - Daniil Trifonov Plays Franz Liszt (Etudes S. 139, S. 141, S. 144, S. 145)",https://i.scdn.co/image/ab67616d0000b273561243d79e3b5b05d15a4da5,"['classical', 'late romantic era']",60,0.152,0.0568,1,-26.529,1,0.0412,0.984,0.91,0.0953,0.0335,76.486,319347,4,classical
7eITzwuOcf14wfeg0mP1HX,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Midsummer Night's Dream, Incidental Music, Op. 61, MWV M 13: No. 9 Wedding March",33,Felix Mendelssohn,Mendelssohn: A Midsummer Night's Dream,https://i.scdn.co/image/ab67616d0000b27373160981058baf442d61dced,"['classical', 'early romantic era', 'german romanticism']",58,0.334,0.232,0,-11.967,1,0.034,0.964,0.938,0.0644,0.109,73.931,306933,4,classical
7n92QzQomRCLlciO14X0kd,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",58,Frédéric Chopin,"Chopin: Nocturnes, Vol. 1",https://i.scdn.co/image/ab67616d0000b27318bccd55ef4b1c50dac2f2bc,"['classical', 'early romantic era', 'polish classical']",72,0.427,0.0451,3,-24.698,1,0.041,0.99,0.913,0.112,0.0707,119.78,268427,3,classical
3IjkKx4Jcun93Iw5dpKFUC,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Fidelio, Op. 72: Overture",42,Ludwig van Beethoven,Beethoven: Fidelio,https://i.scdn.co/image/ab67616d0000b273263098534f05bd8a76d2c290,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.223,0.137,4,-17.526,1,0.0401,0.963,0.879,0.131,0.101,61.585,383840,4,classical
3gCYBFexR8dQZWeu4F15eu,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",58,Edvard Grieg,"Wonderland - Edvard Grieg: Piano Concerto, Lyric Pieces",https://i.scdn.co/image/ab67616d0000b2732c0d0a5eb3480987f14eeded,"['classical', 'late romantic era', 'norwegian classical']",61,0.172,0.014,1,-27.988,1,0.0424,0.981,0.902,0.0735,0.0348,144.414,398240,3,classical
6mClSrzoDMpCnadkfaSf4O,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 1 in G Minor (orch. J. Brahms)",29,Johannes Brahms,Brahms: Symphony No. 2 / Hungarian Dances,https://i.scdn.co/image/ab67616d0000b273220b2a2fe01d37b5d941837a,"['classical', 'german romanticism', 'late romantic era']",64,0.269,0.219,7,-18.219,0,0.0358,0.871,0.627,0.0784,0.488,113.777,196520,4,classical
2mDEaxFxyzecnvTvrxxM1h,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Papillons, Op. 2: No. 11",33,Robert Schumann,Nelson Freire: Schumann Recital,https://i.scdn.co/image/ab67616d0000b273ac3b3a6ebb92942b39d08dfd,"['classical', 'early romantic era', 'german romanticism']",62,0.456,0.124,2,-22.018,1,0.0491,0.99,0.893,0.176,0.127,119.946,144627,3,classical
23uRvZTOEGp8Bh2bEve2qu,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Parsifal, WWV 111: Prelude",17,Richard Wagner,Wagner: Parsifal,https://i.scdn.co/image/ab67616d0000b2735f45a2141df829f47cb8da97,"['classical', 'german opera', 'german romanticism', 'late romantic era']",53,0.171,0.0509,8,-24.581,1,0.0428,0.987,0.908,0.0697,0.0288,115.251,627333,4,classical
3YJrnXT1UNpRgnc7lcgXSF,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Rêverie, L. 68: Rêverie",51,Claude Debussy,"Debussy: Complete Works for Solo Piano, Vol.1",https://i.scdn.co/image/ab67616d0000b273735a91c9c4cef92e888068c8,"['classical', 'impressionism', 'post-romantic era']",68,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0825,0.0673,69.432,256000,3,classical
0P3TUNfXfhdJ4rgdZAUL6i,https://open.spotify.com/playlist/37i9dQZF1EIfViN2xkSgS5?si=1c94bcbe0b344245,Classical Romantic Era Mix,"Má vlast (My Country): No. 2, Vltava [Moldau]",45,Bedřich Smetana,Smetana: Ma Vlast (My Country),https://i.scdn.co/image/ab67616d0000b273847b3da3c0a2b31b89413500,"['classical', 'czech classical', 'late romantic era']",45,0.138,0.114,7,-21.041,1,0.0347,0.931,0.909,0.0431,0.0387,148.02,794000,4,classical
