,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6F7UOC6fPWOkPqybOWBHSv,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,If I Was a Cowboy,74,Miranda Lambert,If I Was a Cowboy,https://i.scdn.co/image/ab67616d0000b2737cd3984de0c6da4e63384610,"['contemporary country', 'country', 'country dawn', 'country road']",72,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07,195013,4,country
5uU1uuyaUIBOiiUSQG7Wl3,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,You Proof,85,Morgan Wallen,You Proof,https://i.scdn.co/image/ab67616d0000b273c4680d109471da6809bbc79f,"['contemporary country', 'country']",84,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,157478,4,country
200x8ONbPfFzByUr3fVz46,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,She Had Me At Heads Carolina,82,Cole Swindell,Stereotype,https://i.scdn.co/image/ab67616d0000b27392264c5483fa95ddf7df26e0,"['contemporary country', 'country', 'country road', 'modern country rock']",69,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,206107,4,country
28n8z9IQKyjMPxmvYMBqZa,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,The Kind of Love We Make,81,Luke Combs,The Kind of Love We Make,https://i.scdn.co/image/ab67616d0000b273390865a50e24d8763b57d58e,"['contemporary country', 'country', 'country road']",81,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,4,country
69AIpwGNLxr4qS1X5ynx60,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,Buy Dirt,79,Jordan Davis,Buy Dirt,https://i.scdn.co/image/ab67616d0000b273dfdefe159fd457b152e9d367,"['contemporary country', 'country', 'country road']",71,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,167480,4,country
6AqwH2Y9FJwhUE2dCSkw1u,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,5 Foot 9,79,Tyler Hubbard,5 Foot 9,https://i.scdn.co/image/ab67616d0000b273e4839d119b585260eb4121d9,['contemporary country'],65,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,189780,4,country
3hLuHKzG1cmlRpq53ZVWd8,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,The Good Ones,73,Gabby Barrett,Goldmine,https://i.scdn.co/image/ab67616d0000b27366ffb23d13b04824e04f30d2,"['contemporary country', 'country', 'country pop']",65,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,215141,4,country
58UKC45GPNTflCN6nwCUeF,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,Fancy Like,78,Walker Hayes,Country Stuff The Album,https://i.scdn.co/image/ab67616d0000b273cc1ed62132516aabf6ef8751,"['contemporary country', 'country', 'country road', 'modern country rock']",67,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994,161853,4,country
1mMLMZYXkMueg65jRRWG1l,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,When It Rains It Pours,79,Luke Combs,This One's for You,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298,"['contemporary country', 'country', 'country road']",81,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4,country
13G5xv1wUKvJYbK0wYmioN,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB?si=e11af4082cde407b,Country Drive,Circles Around This Town,62,Maren Morris,Circles Around This Town,https://i.scdn.co/image/ab67616d0000b273d27150040a8c7eb9ff0d1af9,"['contemporary country', 'country', 'neo mellow', 'pop', 'texas country']",73,0.591,0.814,4,-4.986,1,0.0468,0.015,0.0,0.117,0.815,149.9,195760,4,country
