,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1UOLcw0uOTOMNLugxtJzeH,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Mr. Saturday Night,63,Jon Pardi,Mr. Saturday Night,https://i.scdn.co/image/ab67616d0000b273b373f47e1ac568fedcc666d1,"['contemporary country', 'country', 'country road', 'modern country rock']",73,0.289,0.693,2,-5.781,1,0.0319,0.0487,0.0,0.243,0.347,72.007,186549,3,country
3WMj8moIAXJhHsyLaqIIHI,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Something in the Orange,84,Zach Bryan,Something in the Orange,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,['oklahoma country'],79,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,country
2ixkIrn45mNfdLDLHuyfRt,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,23,73,Chayce Beckham,23,https://i.scdn.co/image/ab67616d0000b2735de6bc066ec7ab42359bde57,['contemporary country'],59,0.626,0.583,0,-7.346,0,0.0318,0.276,0.0,0.141,0.428,87.977,228145,4,country
3cBsEDNhFI9E82vPj3kvi3,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Wasted On You,82,Morgan Wallen,Dangerous: The Double Album,https://i.scdn.co/image/ab67616d0000b2737d6813fd233f3bc4977cceca,"['contemporary country', 'country']",84,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3,country
3vCUelLOtiuNF78p9LNWZF,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Soul,77,Lee Brice,Hey World,https://i.scdn.co/image/ab67616d0000b273fc27d74c91d8fa9e528b288c,"['contemporary country', 'country', 'country road']",71,0.789,0.642,11,-8.304,1,0.0352,0.357,0.0,0.0985,0.755,121.003,167680,4,country
69AIpwGNLxr4qS1X5ynx60,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Buy Dirt,79,Jordan Davis,Buy Dirt,https://i.scdn.co/image/ab67616d0000b273dfdefe159fd457b152e9d367,"['contemporary country', 'country', 'country road']",71,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,167480,4,country
6AqwH2Y9FJwhUE2dCSkw1u,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,5 Foot 9,79,Tyler Hubbard,5 Foot 9,https://i.scdn.co/image/ab67616d0000b273e4839d119b585260eb4121d9,['contemporary country'],65,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,189780,4,country
4wBjKhJx6JnGoNJfJs24pd,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Thinking 'Bout You (feat. MacKenzie Porter),73,Dustin Lynch,Blue In The Sky,https://i.scdn.co/image/ab67616d0000b273f5480c38fb95acec9102a6bf,"['contemporary country', 'country', 'country road', 'modern country rock']",67,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,170560,4,country
3SeeaIXnrCfT88vHVCRWHl,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Last Night Lonely,78,Jon Pardi,Last Night Lonely,https://i.scdn.co/image/ab67616d0000b273eb29d3666205d96501040002,"['contemporary country', 'country', 'country road', 'modern country rock']",73,0.646,0.816,6,-2.65,1,0.0269,0.00496,0.0,0.179,0.865,102.972,181991,4,country
6IBcOGPsniK3Pso1wHIhew,https://open.spotify.com/playlist/37i9dQZF1DX13ZzXoot6Jc?si=507bbe6d5374464a,Country Favourites,Forever After All,78,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273433fa8ed8901569b606a715e,"['contemporary country', 'country', 'country road']",81,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,country
