,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
28cnXtME493VX9NOw9cIUh,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,Hurt,74,Johnny Cash,American IV: The Man Comes Around,https://i.scdn.co/image/ab67616d0000b2736f4f62da3d811b6501a69ffa,"['arkansas country', 'outlaw country']",73,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,4,country
59kHPbwyyCApYA8RQQEuXm,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,Chattahoochee,72,Alan Jackson,A Lot About Livin' (And A Little 'Bout Love),https://i.scdn.co/image/ab67616d0000b273933cf67cacfab71afa20c6c4,"['contemporary country', 'country', 'country road']",72,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,148160,4,country
3X7H1FAiWAW937WvsFeMhe,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,One Too Many,63,Keith Urban,THE SPEED OF NOW Part 1,https://i.scdn.co/image/ab67616d0000b27320e1f9d26567e0fbb562a6a5,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",70,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,203893,4,country
03fT3OHB9KyMtGMt2zwqCT,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,Play It Again,75,Luke Bryan,Crash My Party,https://i.scdn.co/image/ab67616d0000b27316fce2616744168b30462991,"['contemporary country', 'country', 'country road']",76,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,4,country
7GQjJEwqlp6m5HNWVQd6OR,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,Good Directions,72,Billy Currington,Doin' Somethin' Right,https://i.scdn.co/image/ab67616d0000b2735ca80b7dafc3dcf967431b54,"['contemporary country', 'country', 'country road']",66,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512,215853,4,country
3xdjjKMcMOFgo1eQrfbogM,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,Wagon Wheel,78,Darius Rucker,True Believers,https://i.scdn.co/image/ab67616d0000b2733c814f8afa852904e9db8a9f,"['black americana', 'contemporary country', 'country', 'country road']",67,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,298373,4,country
4TCeFZNjGNQIpCuZmJkkE2,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,God's Country,66,Blake Shelton,Fully Loaded: God's Country,https://i.scdn.co/image/ab67616d0000b273acf99661b45380007ad598cb,"['contemporary country', 'country', 'country road', 'oklahoma country']",70,0.536,0.754,10,-5.102,1,0.0399,0.0597,4.92e-06,0.118,0.212,139.988,204800,4,country
7puxIVNdj5nsBJk43zM3bH,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,Carrying Your Love With Me,69,George Strait,Carrying Your Love With Me,https://i.scdn.co/image/ab67616d0000b273d8cc8031949336177c74989a,"['contemporary country', 'country', 'country road', 'country rock']",71,0.629,0.479,10,-10.608,1,0.0271,0.22,0.0,0.0587,0.345,138.231,232427,4,country
6xHI9KjUjYT0FPtGO8Mxa1,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,Hurricane,75,Luke Combs,This One's for You,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298,"['contemporary country', 'country', 'country road']",81,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,222533,4,country
5JnLiuMgRAWoHYOhatFP3s,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=0e0c868af8ab4b62,Country Mix,People Are Crazy,68,Billy Currington,Little Bit Of Everything,https://i.scdn.co/image/ab67616d0000b273f357eae842d763f318e5d76c,"['contemporary country', 'country', 'country road']",66,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,231360,4,country
