,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4yugZvBYaoREkJKtbG08Qr,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Take It Easy - 2013 Remaster,77,Eagles,Eagles (2013 Remaster),https://i.scdn.co/image/ab67616d0000b273c13acd642ba9f6f5f127aa1b,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",75,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578,4,country
5VSAonaAPhhGn0G7hMYwWK,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Sister Golden Hair,69,America,Hearts,https://i.scdn.co/image/ab67616d0000b273697a6ee736a3c36177c4557d,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",65,0.441,0.547,4,-12.222,1,0.0337,0.13,0.000143,0.109,0.716,134.753,199573,4,country
6aqm56xP40foYBBtAWWrnY,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Running on Empty,65,Jackson Browne,Running on Empty / Nothing but Time (Digital 45),https://i.scdn.co/image/ab67616d0000b2738d6479b1461b26b8b6603935,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",62,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,291893,4,country
3RTUfvRgq3pYTf7XY0FIcS,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Lookin' Out My Back Door,64,Creedence Clearwater Revival,Cosmo's Factory (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27361834aa14b97a7d9c693134f,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",77,0.745,0.656,10,-6.393,1,0.0405,0.188,0.00337,0.0941,0.858,105.318,152453,4,country
5jPPjNMIi1rD6BvQqxhJh5,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,When Will I Be Loved,63,Linda Ronstadt,Heart Like A Wheel,https://i.scdn.co/image/ab67616d0000b273b67a2ac6906ba70b8af718a1,"['adult standards', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']",62,0.513,0.573,9,-10.023,1,0.0337,0.186,0.000958,0.0878,0.621,132.607,124867,4,country
29HaKOpeLSYvqdFyEQSRdj,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Teach Your Children,63,"Crosby, Stills, Nash & Young",Deja Vu,https://i.scdn.co/image/ab67616d0000b27306e00756085191abc01e4cf0,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'supergroup']",57,0.497,0.285,2,-14.537,1,0.0264,0.643,1.69e-05,0.389,0.667,154.707,173467,4,country
2PuUFT13yCzUOZun94WOXv,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Suite: Judy Blue Eyes - 2005 Remaster,61,"Crosby, Stills & Nash","Crosby, Stills & Nash",https://i.scdn.co/image/ab67616d0000b273a32339b8818323380682a889,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",59,0.458,0.364,9,-13.126,1,0.0431,0.467,0.0,0.197,0.3,154.215,444053,4,country
5lQKRR3MdJLtAwNBiT8Cq0,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Lyin' Eyes - 2013 Remaster,66,Eagles,One of These Nights (2013 Remaster),https://i.scdn.co/image/ab67616d0000b2735d0a8e54aba5181c79593b94,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",75,0.669,0.673,7,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,381999,4,country
3cq6mwsjgygbwRIi9wVPGv,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Mr. Bojangles - Remastered 2001,60,Nitty Gritty Dirt Band,Certified Hits (Remastered),https://i.scdn.co/image/ab67616d0000b2736b83cabfed67cdd0016b0191,"['country', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",60,0.444,0.757,11,-6.884,0,0.0541,0.699,0.0,0.329,0.554,154.26,215400,3,country
6kPxXhjSvy8RsmZBAJUiFs,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,You Ain't Goin' Nowhere,57,The Byrds,Sweetheart Of The Rodeo,https://i.scdn.co/image/ab67616d0000b2730412a1a5731436dcad75a770,"['album rock', 'art rock', 'beatlesque', 'blues rock', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",57,0.512,0.426,7,-14.081,1,0.0449,0.109,0.00225,0.764,0.7,132.495,153467,4,country
1Gxaks4MTbjMCAQ20rx4Iy,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Shame On The Moon,55,Bob Seger,The Distance,https://i.scdn.co/image/ab67616d0000b273910ed361d2c1703fd579542f,"['album rock', 'classic rock', 'country rock', 'detroit rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",67,0.615,0.563,9,-7.585,1,0.0254,0.283,0.00118,0.117,0.547,105.772,295053,4,country
7J5tyfg3OYVNR97KH66ovw,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Garden Party,55,Ricky Nelson,Garden Party,https://i.scdn.co/image/ab67616d0000b273a03dddeb460e37ecc8abe718,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'rock-and-roll', 'rockabilly']",57,0.774,0.247,2,-21.657,1,0.0779,0.786,0.0186,0.116,0.803,143.955,229800,4,country
7HblJM23la7H8kXeBwlkzN,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Willin',55,Linda Ronstadt,Heart Like A Wheel,https://i.scdn.co/image/ab67616d0000b273b67a2ac6906ba70b8af718a1,"['adult standards', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']",62,0.518,0.436,4,-10.805,1,0.0362,0.0684,1.02e-05,0.143,0.521,141.374,182040,4,country
436yrzQWA32vb1sTZKXg9r,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Witchy Woman - 2013 Remaster,60,Eagles,Eagles (2013 Remaster),https://i.scdn.co/image/ab67616d0000b273c13acd642ba9f6f5f127aa1b,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",75,0.555,0.568,2,-12.205,0,0.0341,0.364,0.00167,0.116,0.583,98.507,250889,4,country
6fNID7koTl1dZBCs6FmK4E,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Heart Of The Night,54,Poco,Legend,https://i.scdn.co/image/ab67616d0000b273289cf5582672b67f33a0413c,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'soft rock']",48,0.639,0.417,6,-15.345,1,0.0265,0.0029,0.000218,0.0821,0.778,98.818,294533,4,country
1mqydO6xMtyTPa8yo1SdVr,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Amie,54,Pure Prairie League,Greatest Hits,https://i.scdn.co/image/ab67616d0000b273db6261d8f2a721efb34c1c35,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'soft rock']",50,0.553,0.449,9,-11.722,1,0.0292,0.567,0.0,0.0892,0.423,88.788,260933,4,country
0qzEkwri1hE0rgxVqdOBAf,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,You're Only Lonely,52,JD Souther,You're Only Lonely,https://i.scdn.co/image/ab67616d0000b2732f99de6e2bfd6d6aaec707eb,"['country rock', 'folk rock', 'mellow gold', 'soft rock']",41,0.591,0.514,9,-10.183,1,0.0256,0.263,7.8e-06,0.0797,0.658,108.975,228000,4,country
4RZCoFsZHw9XvDZdv2jtkK,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Good Year For The Roses,50,Elvis Costello & The Attractions,Almost Blue,https://i.scdn.co/image/ab67616d0000b27369ac21a9efdbe7ed187ca666,"['art rock', 'folk rock', 'mellow gold', 'new wave', 'new wave pop', 'power pop', 'pub rock', 'rock', 'roots rock']",54,0.507,0.395,9,-10.955,1,0.0371,0.249,0.000619,0.147,0.457,97.272,188920,4,country
6nwlPs3mgpHYUJJ0ETPIXP,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Cinderella,50,Firefall,Firefall,https://i.scdn.co/image/ab67616d0000b273112140abdfd9531b15944c09,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'soft rock']",45,0.558,0.542,7,-11.512,1,0.0329,0.605,1.4e-06,0.153,0.557,147.029,216067,4,country
0diAR6QUxrDiEBjRZSfweR,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,This Ol' Cowboy,49,The Marshall Tucker Band,Greatest Hits,https://i.scdn.co/image/ab67616d0000b273e3932a4bba9677bd944ca290,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",58,0.439,0.746,2,-5.78,1,0.0469,0.193,3.05e-05,0.173,0.817,109.309,219347,4,country
0Ov9Hh2ygoGCkwTXMRYRcp,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Just Can't Be,49,The Flying Burrito Brothers,The Flying Burrito Brothers,https://i.scdn.co/image/ab67616d0000b27317ae9a89af00eb9f456217be,"['alternative country', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'roots rock']",44,0.541,0.361,2,-12.248,1,0.0246,0.29,0.38,0.0651,0.491,94.683,298893,4,country
5ro7xAxDVbtabTl8t3MzHz,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Train Leaves Here This Morning - 2013 Remaster,49,Eagles,Eagles (2013 Remaster),https://i.scdn.co/image/ab67616d0000b273c13acd642ba9f6f5f127aa1b,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",75,0.628,0.32,4,-16.01,1,0.0301,0.818,0.000351,0.249,0.545,114.526,250457,4,country
2XIZRY7dQtyUhFngzHeEUu,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Morning Sun,47,Jesse Colin Young,Song for Juli,https://i.scdn.co/image/ab67616d0000b273b405cad625ea11217871a720,"['country rock', 'folk', 'folk rock', 'mellow gold', 'roots rock', 'soft rock']",36,0.683,0.665,11,-6.112,1,0.0312,0.528,0.0269,0.0734,0.957,125.572,244133,4,country
6vOV8fmbk16LYgL2CQ64ih,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Lonesome L.A. Cowboy,47,New Riders of the Purple Sage,The Adventures Of Panama Red,https://i.scdn.co/image/ab67616d0000b273c07e8fac7d80170dc416668b,"['blues rock', 'cosmic american', 'country rock', 'folk rock', 'jam band', 'psychedelic rock', 'roots rock', 'southern rock']",38,0.643,0.638,9,-13.745,1,0.033,0.52,0.0,0.101,0.74,123.705,243000,4,country
1PsDNPG1j7ySpFpxjHB5xb,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Don't Let Me Down,46,Dillard & Clark,"Through The Morning, Through The Night",https://i.scdn.co/image/ab67616d0000b273fb30ef03cc2fee16cd2b8918,"['british folk', 'country rock', 'folk', 'folk rock']",34,0.536,0.409,11,-13.016,1,0.0273,0.368,0.0231,0.0751,0.632,74.409,232400,4,country
6VyuVYEJnZmlEQ5GT9LQvT,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Colorado,46,Stephen Stills,Manassas,https://i.scdn.co/image/ab67616d0000b273275252a088621af48de4da72,"['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'roots rock', 'singer-songwriter', 'soft rock']",50,0.553,0.768,7,-9.877,1,0.031,0.188,0.00368,0.403,0.685,80.514,172533,4,country
7vOYp7KJ8gVmVbcatSVf9J,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Return of the Grievous Angel - 2006 Remaster,46,Gram Parsons,Grievous Angel,https://i.scdn.co/image/ab67616d0000b2734c5fedbe6cf1a65f70d5c30e,"['alternative country', 'cosmic american', 'country rock', 'folk', 'folk rock', 'roots rock', 'singer-songwriter']",43,0.632,0.565,10,-8.669,1,0.027,0.486,0.0,0.3,0.616,128.821,266227,4,country
5HZchgrpAreegk6UGs0zHr,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Still Right Here In My Heart,46,Pure Prairie League,Something In The Night,https://i.scdn.co/image/ab67616d0000b273592317a310e9c6fa83b1cc44,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'soft rock']",50,0.59,0.479,9,-12.167,1,0.0278,0.561,3.22e-06,0.0889,0.709,115.474,176640,4,country
5IhIK4GJFA7mNuT6aP6WNl,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Cadillac Ranch,45,Nitty Gritty Dirt Band,More Great Dirt: The Best of the Nitty Gritty Dirt Band,https://i.scdn.co/image/ab67616d0000b273a1b330ff81a5bbe2aa35d30a,"['country', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",60,0.655,0.502,4,-14.476,1,0.0294,0.0244,4.72e-05,0.287,0.897,134.825,222120,4,country
2Zq979VWE5SG5WIcd396Ay,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Miller's Cave,44,The International Submarine Band,Safe at Home,https://i.scdn.co/image/ab67616d0000b27334da026b9e23f10edbed695d,"['cosmic american', 'country rock', 'folk', 'folk rock', 'roots rock']",35,0.514,0.43,5,-12.36,1,0.0308,0.225,5.31e-06,0.159,0.8,77.086,169133,4,country
3fRwEtPmL2hFClf6Ph6l4O,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Sutter's Mill,42,Dan Fogelberg,High Country Snows,https://i.scdn.co/image/ab67616d0000b273a4231d1c92853b2691c822a5,"['adult standards', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",54,0.647,0.362,3,-13.579,1,0.0258,0.546,2.12e-06,0.314,0.607,134.099,391000,4,country
3T0HWZFYwE5iPXTIHJ1MMS,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,New Kid in Town - 2013 Remaster,40,Eagles,Hotel California (40th Anniversary Expanded Edition),https://i.scdn.co/image/ab67616d0000b273d666181ad183bf7efc7f4105,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",75,0.649,0.425,4,-9.811,1,0.0267,0.378,0.0013,0.108,0.651,107.383,304926,4,country
5z3kHR2Gh892XGcYuln1Gf,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,White Line Fever,40,The Flying Burrito Brothers,The Flying Burrito Brothers,https://i.scdn.co/image/ab67616d0000b27317ae9a89af00eb9f456217be,"['alternative country', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'roots rock']",44,0.571,0.563,2,-12.04,1,0.0295,0.118,0.524,0.346,0.877,125.715,196800,4,country
3PqhliKIHScPgJgse7KHTq,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Mama Nantucket,39,Michael Nesmith,Magnetic South (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2732579cc0a4b7d66089904e42b,"['classic uk pop', 'country rock', 'folk rock']",34,0.373,0.824,6,-9.383,1,0.0572,0.76,0.0249,0.256,0.868,157.376,159133,4,country
3QakrNWYNgZ89by21ImeBN,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Train Leaves Here This Mornin,40,Dillard & Clark,The Fantastic Expedition Of Dillard & Clark,https://i.scdn.co/image/ab67616d0000b2737e8410feb77bebe9be8b2890,"['british folk', 'country rock', 'folk', 'folk rock']",34,0.585,0.336,11,-13.619,1,0.0316,0.484,0.0,0.216,0.53,121.766,228493,4,country
3vvceIDWVANlLWKoJUzBn6,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Cosmic Cowboy,38,Michael Martin Murphey,Austinology - Alleys of Austin,https://i.scdn.co/image/ab67616d0000b27376aef469a73ad0b7061ccc70,"['country rock', 'cowboy western', 'new mexico music', 'outlaw country', 'soft rock']",44,0.721,0.562,4,-7.763,1,0.0271,0.157,0.000184,0.187,0.481,119.999,256107,4,country
7kJpAkJSFMCkM6T4plsRLd,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Ooh Las Vegas (feat. Emmylou Harris) - 2007 Remaster,45,Gram Parsons,Grievous Angel,https://i.scdn.co/image/ab67616d0000b2734c5fedbe6cf1a65f70d5c30e,"['alternative country', 'cosmic american', 'country rock', 'folk', 'folk rock', 'roots rock', 'singer-songwriter']",43,0.559,0.863,9,-5.412,1,0.0333,0.269,7.9e-05,0.17,0.91,126.472,212893,4,country
0tcq9tNIw5JHUywymB07OA,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Two Lane Highway,38,Pure Prairie League,Greatest Hits,https://i.scdn.co/image/ab67616d0000b273db6261d8f2a721efb34c1c35,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'soft rock']",50,0.549,0.589,9,-10.033,1,0.0355,0.161,0.000482,0.104,0.628,146.781,246693,4,country
0ORYA6kaMWPKtHDPcea16a,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Strength of Strings,38,Gene Clark,No Other,https://i.scdn.co/image/ab67616d0000b273e967d13b932b4bdf321655da,"['baroque pop', 'cosmic american', 'country rock', 'folk', 'folk rock', 'psychedelic rock', 'pub rock', 'roots rock', 'singer-songwriter']",39,0.339,0.309,11,-13.419,0,0.0325,0.33,0.0151,0.117,0.181,131.846,391773,4,country
69WQgn5cXFhtwbDGBHOzxS,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Luxury Liner,42,The International Submarine Band,Safe at Home,https://i.scdn.co/image/ab67616d0000b27334da026b9e23f10edbed695d,"['cosmic american', 'country rock', 'folk', 'folk rock', 'roots rock']",35,0.562,0.579,2,-11.563,1,0.0284,0.0562,0.0,0.139,0.809,102.811,175240,4,country
10JSZpgIr0NZb3JqP0lT3K,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Willin',38,Commander Cody and His Lost Planet Airmen,Commander Cody & His Lost Planet Airmen,https://i.scdn.co/image/ab67616d0000b2736bb661f74a1c0de41945326b,['country rock'],37,0.554,0.643,7,-7.697,1,0.0482,0.0615,9.65e-05,0.0413,0.42,76.401,218493,4,country
0DrhNB3j0VKTBPoN2J5jbT,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Morning Sky,37,Dan Fogelberg,Souvenirs,https://i.scdn.co/image/ab67616d0000b2730045aafc8d8cc6669acea2d6,"['adult standards', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",54,0.652,0.786,7,-12.919,1,0.0296,0.248,0.00045,0.0805,0.968,124.826,168252,4,country
4v4ssibf1FAkxisrqeMPhh,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Tried So Hard,37,The Flying Burrito Brothers,The Flying Burrito Brothers,https://i.scdn.co/image/ab67616d0000b27317ae9a89af00eb9f456217be,"['alternative country', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'roots rock']",44,0.495,0.672,2,-11.794,1,0.0309,0.0575,0.0342,0.48,0.719,93.719,188707,4,country
65J216Pxb4JOdiYVFIpLx7,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Feelin' Single - Seein' Double - 2003 Remaster,37,Emmylou Harris,Elite Hotel (Expanded & Remastered),https://i.scdn.co/image/ab67616d0000b273707a145dd892693d2e66698b,"['country rock', 'folk', 'folk rock', 'lilith', 'melancholia', 'mellow gold', 'roots rock', 'singer-songwriter']",58,0.562,0.718,3,-7.941,1,0.0466,0.521,1.96e-05,0.128,0.941,166.444,146987,4,country
4FLUda3tCvPWBCvUeyiivd,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Silver Threads And Golden Needles,37,Linda Ronstadt,Hand Sown...Home Grown,https://i.scdn.co/image/ab67616d0000b273a621b176813a64a76fe40564,"['adult standards', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']",62,0.464,0.741,10,-5.192,1,0.0466,0.603,0.0,0.0896,0.947,151.72,141160,4,country
2jigzHqXdUlpAlmSeaVSeU,https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom?si=7731c9ce1a694f68,Country Rock Classics,Down Along The Cove,37,Johnny Jenkins,Ton-Ton Macoute!,https://i.scdn.co/image/ab67616d0000b273927b8f03a01a55e1b1255785,[],27,0.642,0.653,0,-8.613,1,0.0289,0.514,0.0268,0.371,0.926,97.37,205093,4,country
