,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6j92VOeYfbdPHAfKLiDYRz,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Don't Tell Me How to Drink (feat. Chris Stapleton),55,Kendell Marvel,Don't Tell Me How to Drink (feat. Chris Stapleton),https://i.scdn.co/image/ab67616d0000b273061dad82bc18f37448e33ee3,['roots americana'],42,0.502,0.698,4,-7.57,1,0.0382,0.166,0.000107,0.094,0.298,140.084,195387,4,country
5gVCfYmQRPy1QJifP8f5gg,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Fall In Love,78,Bailey Zimmerman,Fall In Love,https://i.scdn.co/image/ab67616d0000b2735933f866f476745a144740c4,['contemporary country'],72,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,232059,4,country
2ixkIrn45mNfdLDLHuyfRt,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,23,73,Chayce Beckham,23,https://i.scdn.co/image/ab67616d0000b2735de6bc066ec7ab42359bde57,['contemporary country'],59,0.626,0.583,0,-7.346,0,0.0318,0.276,0.0,0.141,0.428,87.977,228145,4,country
0F7Kxrd27Q1jYhnKVoWnUa,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Your Momma Still Does,54,Ashland Craft,Travelin' Kind,https://i.scdn.co/image/ab67616d0000b2733a7f2932b066828f9432f101,"['contemporary country', 'country pop']",45,0.538,0.869,8,-5.369,1,0.044,0.0637,0.0,0.0775,0.522,143.984,157290,4,country
2Q9oePSJXYu74fE3ZUR5XX,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Lone Wolf,58,Eric Church,&,https://i.scdn.co/image/ab67616d0000b273a416cfd0ca61b79fb93d789b,"['contemporary country', 'country', 'country road']",71,0.588,0.499,1,-8.433,1,0.0332,0.343,4.13e-06,0.11,0.132,69.984,220373,4,country
2bVeUlOC5JjTpkQXuUUoYm,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,GIVE HEAVEN SOME HELL,73,HARDY,A ROCK,https://i.scdn.co/image/ab67616d0000b273941d3c46adb0d80b18596606,"['contemporary country', 'country', 'country road']",70,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047,217802,4,country
1JTQG8J8jN8tjDTyUWnaRe,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Ride the Lightning - 717 Tapes,70,Warren Zeiders,Ride the Lightning (717 Tapes),https://i.scdn.co/image/ab67616d0000b273b91b7735d32ff4223acf2c46,[],64,0.576,0.474,1,-6.342,1,0.0331,0.75,8.74e-05,0.0944,0.4,77.834,186459,4,country
2gMaUDwmEVQe5lJqXCR0zU,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,When I Hear Your Name,43,A Thousand Horses,Broken Heartland,https://i.scdn.co/image/ab67616d0000b27357d8f2914a7dab346c14f7ba,"['contemporary country', 'country pop', 'modern country rock']",43,0.559,0.889,7,-4.6,0,0.0394,0.000297,0.0,0.119,0.365,126.998,210667,4,country
1vscizuuPwkwC1cc5N5KQV,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Don’t Come Lookin’,70,Jackson Dean,Jackson Dean,https://i.scdn.co/image/ab67616d0000b273b8aea967f04d4c6f6cf81285,[],56,0.529,0.858,9,-6.015,1,0.0536,0.0115,2.91e-05,0.345,0.676,156.129,187957,4,country
5TWjVCYuNan6k0X6oFZgkM,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Are We On Fire,54,Kolby Cooper,Boy From Anderson County To The Moon,https://i.scdn.co/image/ab67616d0000b27373b7020d9b09fa80cf99e7e9,[],56,0.573,0.654,1,-7.602,1,0.0343,0.0496,0.0,0.145,0.35,109.99,217993,4,country
5TzoqLAFczwhUMrjNlWITI,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,"Country Boy (feat. Charlie Daniels, Chris Young, & George Jones)",65,Aaron Lewis,Town Line,https://i.scdn.co/image/ab67616d0000b27392aaf9ddb7bb636da8aa821e,"['contemporary country', 'country', 'country road', 'outlaw country']",61,0.595,0.667,6,-6.442,1,0.034,0.296,0.0,0.109,0.275,121.943,283347,4,country
5EdBMq8ChkcIhegMPzVWCT,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Poor Everybody Else,50,Carrie Underwood,Denim & Rhinestones,https://i.scdn.co/image/ab67616d0000b2738914f87657120bdba8c56358,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country']",72,0.376,0.977,11,-2.867,0,0.454,0.000611,0.0,0.393,0.42,168.022,225613,4,country
3I56OBwJkDAyt9L00c8ois,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,SOLD OUT,69,HARDY,SOLD OUT,https://i.scdn.co/image/ab67616d0000b2734159ff7add42d4adf06b605b,"['contemporary country', 'country', 'country road']",70,0.504,0.893,9,-4.801,1,0.0488,0.00556,1.83e-05,0.34,0.333,145.005,202912,4,country
5GqFHxvAVUmZPdAFj6THjD,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Change,67,Bailey Zimmerman,Change,https://i.scdn.co/image/ab67616d0000b2735f4a17f07c58fa5d02e66fb7,['contemporary country'],72,0.437,0.902,0,-4.915,1,0.0372,0.0374,0.0,0.089,0.564,150.017,188255,4,country
1ONzSL8Plw5xoFmmDPl0zA,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Up To No Good,66,Warren Zeiders,Up To No Good,https://i.scdn.co/image/ab67616d0000b27340cc494eff5589bec1540bf0,[],64,0.516,0.873,8,-4.605,1,0.0451,0.0897,0.000352,0.127,0.751,156.133,133629,4,country
5pwDpOxc2zs0XbgZJ0CyRn,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Hold My Horses,51,Madeline Edwards,Madeline Edwards,https://i.scdn.co/image/ab67616d0000b27397c5f0ea9331f803476030f7,[],40,0.482,0.701,0,-4.719,1,0.0325,0.028,0.0,0.0455,0.385,75.589,180137,4,country
4NJjWHBLbon4OjbCfVMWkh,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Outlaws & Outsiders,64,Cory Marks,Who I Am,https://i.scdn.co/image/ab67616d0000b2734bcce4fd4ce15824453277ce,[],51,0.5,0.866,9,-4.338,1,0.0443,0.0575,0.0,0.129,0.631,176.187,197235,4,country
5KcBudCONtFGSI4c9YAH5u,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Better Off,64,Hayden Coffman,Better Off,https://i.scdn.co/image/ab67616d0000b2733dce3dd8aef3f0e72250e115,[],50,0.552,0.886,0,-4.906,1,0.031,0.000892,0.0,0.14,0.62,142.048,198113,4,country
0S2e09dlc561hiVKan4sgY,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Jesus and Joan Jett,45,Kasey Tyndall,Jesus and Joan Jett,https://i.scdn.co/image/ab67616d0000b27339462985ca5e7968b0b5cfd3,['country pop'],30,0.479,0.97,0,-2.651,1,0.0725,0.0312,0.0,0.0719,0.76,152.051,181507,4,country
3olGkpomYOWwRZsbFTZqiX,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Devil Always Made Me Think Twice,64,Chris Stapleton,Starting Over,https://i.scdn.co/image/ab67616d0000b2739408342067e2ff50d69a3c98,"['contemporary country', 'outlaw country']",76,0.729,0.685,7,-7.547,1,0.03,0.358,0.0102,0.111,0.56,122.284,231720,4,country
0ysCB1Jg4hli0XlEWlipo7,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Heart On Fire,63,Eric Church,Heart,https://i.scdn.co/image/ab67616d0000b2737ee4bb9ae4754402256e24ec,"['contemporary country', 'country', 'country road']",71,0.653,0.927,8,-4.699,1,0.0289,0.0352,4.47e-05,0.0966,0.894,119.97,258800,4,country
5ImqyYZ3zgraskdflX6Cdc,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Blacked Out,48,Katie Noel,Blacked Out,https://i.scdn.co/image/ab67616d0000b273c86c064d93bc3412698b0050,"['country rap', 'redneck']",49,0.583,0.582,11,-8.601,1,0.0308,0.00117,0.0,0.236,0.291,118.04,208241,4,country
40OAMuxuJPssTKQ4gdU1JA,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma?si=9015d63a5d524da3,Country Rocks,Sleeve,63,Nate Smith,Sleeve,https://i.scdn.co/image/ab67616d0000b2738dd33dd9ebfaa69ccdf361d4,"['contemporary country', 'country']",64,0.698,0.796,0,-5.542,1,0.0335,0.0218,0.0,0.165,0.299,125.981,261359,4,country
