,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6nRvgo4ySezQKD1D7NIqAu,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,I Will Always Love You,61,Dolly Parton,Jolene,https://i.scdn.co/image/ab67616d0000b27326399936751b54c7e9782324,"['classic country pop', 'country', 'country dawn']",70,0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724,176093,4,country
6foY66mWZN0pSRjZ408c00,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Whiskey Glasses,81,Morgan Wallen,If I Know Me,https://i.scdn.co/image/ab67616d0000b273f9f2dda2df2a695b9bad3440,"['contemporary country', 'country']",84,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4,country
6iy4PoAuZBMvtrlDX4VxC7,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Check Yes Or No,71,George Strait,Strait Out Of The Box,https://i.scdn.co/image/ab67616d0000b273ad861e10437aa5311df8b187,"['contemporary country', 'country', 'country road', 'country rock']",71,0.708,0.524,5,-12.644,1,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,200667,4,country
6sxptembJVty4sNtcPMAVz,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Man! I Feel Like A Woman!,78,Shania Twain,Come On Over,https://i.scdn.co/image/ab67616d0000b273aaf012d56b8c72658da6c45f,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",73,0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,234493,4,country
5KqldkCunQ2rWxruMEtGh0,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,The Gambler,75,Kenny Rogers,The Gambler,https://i.scdn.co/image/ab67616d0000b273c289ed4316aaab5a5b7376c1,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']",67,0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04,214880,4,country
1zJRHhb8yN2LyVfNhmlhH0,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,It Wasn't God Who Made Honky Tonk Angels - 1952 Single Version,51,Kitty Wells,The Country Music Hall Of Fame,https://i.scdn.co/image/ab67616d0000b273d93c05fe3430589e59f147b6,"['classic country pop', 'nashville sound', 'traditional country']",42,0.624,0.191,9,-11.072,1,0.0301,0.719,0.0,0.358,0.726,137.276,153867,4,country
0ZUo4YjG4saFnEJhdWp9Bt,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Before He Cheats,78,Carrie Underwood,Some Hearts,https://i.scdn.co/image/ab67616d0000b273724bd326692d222c5906b0b0,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country']",72,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,199947,4,country
6xHI9KjUjYT0FPtGO8Mxa1,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Hurricane,75,Luke Combs,This One's for You,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298,"['contemporary country', 'country', 'country road']",81,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,222533,4,country
1wb4P4F0sxAQ2KXrRvsx6n,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,You're Still The One,77,Shania Twain,Come On Over,https://i.scdn.co/image/ab67616d0000b273aaf012d56b8c72658da6c45f,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",73,0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,212200,4,country
23T0OX7QOiIUFShSzbJ5Uo,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,I Hope,74,Gabby Barrett,Goldmine,https://i.scdn.co/image/ab67616d0000b27366ffb23d13b04824e04f30d2,"['contemporary country', 'country', 'country pop']",65,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,210773,4,country
7nVQ8mo77KaUvhUQzh4vMy,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Mammas Don't Let Your Babies Grow up to Be Cowboys,65,Waylon Jennings,Waylon & Willie,https://i.scdn.co/image/ab67616d0000b27303acdaed9bd25f06785c0719,"['country', 'country rock', 'outlaw country', 'texas country']",66,0.363,0.361,9,-14.398,1,0.0499,0.623,0.00119,0.154,0.612,187.711,152867,3,country
6BkK5Dsu1kTne7Cn6EyYex,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Why Not Me,62,The Judds,Why Not Me,https://i.scdn.co/image/ab67616d0000b273c89dc1a71f8f28baf4c503fd,"['country', 'country dawn', 'country rock']",56,0.732,0.667,10,-9.278,1,0.0278,0.502,4.07e-06,0.0524,0.727,125.6,211267,4,country
0i5el041vd6nxrGEU8QRxy,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Cruise,73,Florida Georgia Line,Here's To The Good Times,https://i.scdn.co/image/ab67616d0000b273f5601676db551cb2a09e70a0,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",76,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4,country
2SpEHTbUuebeLkgs9QB7Ue,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=856611b1cdc84c45,Country's Greatest Hits,Jolene,73,Dolly Parton,Jolene,https://i.scdn.co/image/ab67616d0000b27326399936751b54c7e9782324,"['classic country pop', 'country', 'country dawn']",70,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,161533,4,country
