,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2MSgFefjK0T7Iwjvr3OKqV,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",64,Frédéric Chopin,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",https://i.scdn.co/image/ab67616d0000b273770d36e4d25f5ff57a215958,"['classical', 'early romantic era', 'polish classical']",72,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,4,classical
3DNRdudZ2SstnDCVKFdXxG,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",68,Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",https://i.scdn.co/image/ab67616d0000b2735fbde95caaf1018f9af50f71,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,classical
5fdp9rXfEixCGLM1Og4EN1,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,Gnossienne No. 1,64,Erik Satie,Gnossienne No. 1,https://i.scdn.co/image/ab67616d0000b273644e2da6c39885f8eac4e535,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",65,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4,classical
123zFAGx0F5ScgrLrCWGDX,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante",55,Pyotr Ilyich Tchaikovsky,Elgar: Cello Concerto / Tchaikovsky: Rococo Variations / Dvořák: Silent Woods; Rondo,https://i.scdn.co/image/ab67616d0000b27310465033d7df136f40d70d40,"['classical', 'late romantic era', 'russian romanticism']",66,0.119,0.031,2,-31.179,1,0.0483,0.964,0.165,0.111,0.0388,88.858,156573,4,classical
2u9VGZmVz7Rm01SfDgzcfA,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",59,Franz Liszt,Liszt - My Piano Hero,https://i.scdn.co/image/ab67616d0000b273dc7e831d880de1c90d621379,"['classical', 'late romantic era']",60,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,293147,3,classical
4b59u2E74KcDuyHCRBkf5v,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)",57,Franz Schubert,Schubert,https://i.scdn.co/image/ab67616d0000b273acefb30d0e24d67c03141eed,"['classical', 'classical era', 'early romantic era']",63,0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,442172,3,classical
1ThKqYwGxzcxIrYsjfVr85,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,Sonata No. 42 in D Minor (Arr. Ólafsson),51,Domenico Cimarosa,Cimarosa: Sonata No. 42 in D Minor (Arr. Ólafsson),https://i.scdn.co/image/ab67616d0000b27324560dbaf424c12756426d7c,['classical era'],45,0.33,0.00274,2,-37.342,0,0.0617,0.992,0.908,0.0668,0.188,61.088,143532,4,classical
5nFCdayR5pAEVvQw7ZAIuQ,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Siciliano (After ""Erbarme dich"" from Matthäus-Passion, BWV 244, No. 39)",54,Johann Sebastian Bach,Piano Songbook,https://i.scdn.co/image/ab67616d0000b273bcf214e7c792bf4a72775e91,"['baroque', 'classical', 'early music', 'german baroque']",75,0.296,0.0644,7,-22.715,0,0.0405,0.994,0.879,0.0748,0.354,79.031,125200,4,classical
1upQiytDIEZfl9ItruoXuC,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",64,George Frideric Handel,Handel Sarabande,https://i.scdn.co/image/ab67616d0000b2733bf6b8e862d572064e3c1e0b,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']",63,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,classical
7bAN5DH2H17rt4x3dTid0R,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,7 Peces de joventut (Youthful Pieces): Record,51,Manuel Blancafort,"Blancafort, M.: Piano Music, Vol. 1 - Peces De Joventut / Cancons De Muntanya / Notes D'Antany",https://i.scdn.co/image/ab67616d0000b273c7c1341230b78f87c4084804,[],33,0.458,0.00493,11,-32.958,1,0.0498,0.995,0.965,0.0674,0.0717,136.549,146880,1,classical
1v3gGmcneK1QzYyBFiBXG0,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Montero: Adagio (After Bach's Violin Concerto No. 2, BWV 1042)",60,Johann Sebastian Bach,Bach and Beyond,https://i.scdn.co/image/ab67616d0000b2731846ccc02683742c2faddaed,"['baroque', 'classical', 'early music', 'german baroque']",75,0.36,0.00301,6,-35.441,0,0.0444,0.994,0.897,0.0557,0.18,72.892,301400,4,classical
1BbQIyPnuhVIlJEqPcY3Ug,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,"Six Pieces, Op. 51, TH 143: VI. Valse sentimentale. Tempo di Valse",56,Pyotr Ilyich Tchaikovsky,None but the Lonely Heart,https://i.scdn.co/image/ab67616d0000b2738fcc0b8cb82eb9477888d1a8,"['classical', 'late romantic era', 'russian romanticism']",66,0.252,0.0578,1,-26.184,1,0.0518,0.953,0.0163,0.0721,0.0391,108.013,141707,4,classical
5a0nC0tGDJBpGMZu3PeekY,https://open.spotify.com/playlist/37i9dQZF1DX17GkScaAekA?si=e82d8aa02bab448d,Dark Academia Classical,3 Pieces for cello and piano: No. 1. Modere,49,Nadia Boulanger,"Altstaedt, Nicolas - French Cello Sonatas",https://i.scdn.co/image/ab67616d0000b2731e57631262f38f3db8d81e58,"['early modern classical', 'neoclassicism']",32,0.164,0.0185,3,-30.778,0,0.0412,0.988,0.888,0.0801,0.078,86.65,157067,4,classical
