,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2HQ1XA5iHCpnTJlVaqJ4iN,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Ya Kidding - Solardo Remix,37,FISHER,Ya Kidding,https://i.scdn.co/image/49d7730287c82f765809797b96957d585e4d7442,['australian house'],68,0.804,0.927,1,-6.676,1,0.0498,0.000452,0.733,0.336,0.749,125.972,428726,4,techhouse
3U3XlR0IBPw2kI3j4fTQDr,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Mama Drama - Original Mix,20,CAAL,Mama Drama,https://i.scdn.co/image/ab67616d0000b273baec06b30161dc722fdfd27e,[],12,0.81,0.894,4,-7.355,0,0.0626,0.000637,0.852,0.048,0.935,126.007,354292,4,techhouse
4jIaYv7MiKIRydjMbUbYt2,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Strung Out,0,Eli Brown,Kingston Crunch EP,https://i.scdn.co/image/ab67616d0000b273f52bb48a8a61fcb80f923e94,"['bass house', 'house']",53,0.785,0.905,11,-6.71,1,0.049,0.000852,0.797,0.0923,0.659,125.009,238080,4,techhouse
6KteefoBH4bLWYEpyBU52o,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Chance,36,Shiba San,Fearless EP,https://i.scdn.co/image/ab67616d0000b273471085fa269a966e732b60bd,"['bass house', 'deep groove house', 'electro house', 'french tech house', 'house']",44,0.807,0.889,0,-6.392,0,0.0439,0.0157,0.897,0.1,0.366,125.01,253452,4,techhouse
7gVBHLfhOacNfcSya2aHYB,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,My Life - Kyle Watson Remix,31,ZHU,My Life (Kyle Watson Remix),https://i.scdn.co/image/ab67616d0000b273b398841f3d0943ed81275566,"['edm', 'electro house']",65,0.843,0.57,5,-9.29,0,0.0985,0.000433,0.789,0.139,0.396,123.018,343803,4,techhouse
6MN6eoEsqkGZHaLQSZDwk7,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Grenade,25,Claude VonStroke,Grenade,https://i.scdn.co/image/6292bd71c3febe36479dbef4ceaf23a70ef84e01,"['bass house', 'house', 'microhouse', 'minimal techno']",44,0.717,0.999,4,-5.623,0,0.0763,0.0463,0.934,0.0583,0.0769,125.999,430476,4,techhouse
1pAse8XvdfaYrleXSy6krt,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,With You - Eli Brown Remix,1,DUSK,With You (Remixes),https://i.scdn.co/image/ab67616d0000b2732de4328867291c307214857a,['uk pop'],25,0.746,0.874,1,-7.512,1,0.0493,0.00135,0.776,0.0509,0.523,124.993,445467,4,techhouse
0QCl9rZxNa6wJDAcLawmy9,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Mind Yo Bizness - Original Mix,33,Get Real,Mind Yo Bizness / Snuffaluffagus,https://i.scdn.co/image/ab67616d0000b2735587058d8ce94b2a03b28c8d,[],27,0.805,0.655,7,-7.797,0,0.0564,0.000194,0.725,0.0718,0.607,122.026,331554,4,techhouse
6AWQoBfrxHaYA7oiq9Y63c,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,The Rain Break,30,Claude VonStroke,The Rain Break,https://i.scdn.co/image/ab67616d0000b273a841bc1382c80a248fad424e,"['bass house', 'house', 'microhouse', 'minimal techno']",44,0.808,0.958,9,-7.546,0,0.0513,0.00013,0.81,0.0507,0.47,120.017,389578,4,techhouse
4qetR2UUyBeUrJ9DbYrpVQ,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Stop It,68,FISHER,Oi Oi,https://i.scdn.co/image/fcfe6087e2f67937a0c2e5471e6e95c55fbe77ef,['australian house'],68,0.86,0.824,8,-7.207,1,0.0518,0.024,0.657,0.205,0.87,124.016,163790,4,techhouse
7bFOkwjxOcGaw6ZULE58Mh,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Make A Cake - Original Mix,36,Claude VonStroke,Barrump,https://i.scdn.co/image/ab67616d0000b273cd55cff5c0be07f33e5631cb,"['bass house', 'house', 'microhouse', 'minimal techno']",44,0.826,0.65,1,-10.252,1,0.0579,0.00117,0.807,0.0439,0.402,123.993,383953,4,techhouse
7ruylcpwEbeCl3HfB9SSyM,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Crowd Control,55,FISHER,Crowd Control,https://i.scdn.co/image/ab67616d0000b273a8df59fa282841495cc12547,['australian house'],68,0.87,0.664,9,-7.878,1,0.062,0.00753,0.341,0.0514,0.854,125.029,231360,4,techhouse
4skEZYlTvkvTjONutvucWn,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Sumatra,27,Eli Brown,Sumatra EP,https://i.scdn.co/image/ab67616d0000b273eab323d690035d04f019fd0a,"['bass house', 'house']",53,0.787,0.94,1,-4.912,1,0.212,0.00123,0.862,0.607,0.277,124.997,224000,4,techhouse
1LQo4UFFuCISnMRaWbO9XO,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Dance with Me,0,Chris Lake,Close Your Eyes - EP,https://i.scdn.co/image/ab67616d0000b273284079eca631fbf20613c87a,"['bass house', 'deep groove house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'progressive house']",61,0.813,0.793,11,-6.528,1,0.0879,0.0359,0.651,0.116,0.844,125.0,263040,4,techhouse
6auJhEHRn0kSNTFArpPRre,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Barrump - Original Mix,34,Claude VonStroke,Barrump,https://i.scdn.co/image/ab67616d0000b273cd55cff5c0be07f33e5631cb,"['bass house', 'house', 'microhouse', 'minimal techno']",44,0.81,0.763,11,-8.662,1,0.0724,4.34e-05,0.933,0.0677,0.391,123.995,362796,4,techhouse
5na0puVyrNoG1gu5gHElVv,https://open.spotify.com/playlist/7AUqarp6W3pf0tVFrRvzZw?si=034a73f02fb8447e,Dirtybird Players,Get Back,0,Pirupa,Get Back,https://i.scdn.co/image/ab67616d0000b273b8f4d8c69e13c9f18097e775,['italian tech house'],21,0.859,0.787,4,-11.973,0,0.0804,0.000256,0.909,0.137,0.233,123.99,438000,4,techhouse
