,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0GjEhVFGZW8afUYGChu3Rr,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Dancing Queen,83,ABBA,Arrival,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,"['europop', 'swedish pop']",80,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,230400,4,disco
2Foc5Q5nqNiosCNqttzHof,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,82,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f,"['electro', 'filter house']",80,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,4,disco
5ubvP9oKmxLUVq506fgLhk,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Stayin Alive,80,Bee Gees,How Can You Mend A Broken Heart,https://i.scdn.co/image/ab67616d0000b273a1f748bf1c1e69b3e36a21ea,"['disco', 'mellow gold', 'soft rock']",75,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,285373,4,disco
6ztstiyZL6FXzh4aG46ZPD,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Boogie Wonderland,76,"Earth, Wind & Fire",I Am,https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",72,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4,disco
2dCmGcEOQrMQhMMS8Vj7Ca,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Super Freak,74,Rick James,Street Songs (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27317f9e7e7784ed40b223e261c,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'synth funk']",60,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,205467,4,disco
3XIEWK1V9n25PS9Vb6axj5,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Born to Be Alive - The Original,72,Patrick Hernandez,Born to Be Alive (The Original),https://i.scdn.co/image/ab67616d0000b273d545b93d95a4305c8ea2e178,"['disco', 'hi-nrg']",55,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,188133,4,disco
28285KFbyCq8sJofn58qlD,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Love Train,70,The O'Jays,Back Stabbers,https://i.scdn.co/image/ab67616d0000b2737bc09ea8d6c7db1993dfb77d,"['classic soul', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'southern soul']",59,0.743,0.572,0,-9.627,1,0.0493,0.186,1.44e-05,0.163,0.675,122.658,178400,4,disco
0B5kY9i9bmP7554oU4jRoO,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Funkytown - Single Version,69,Lipps Inc.,'80s Pop #1's,https://i.scdn.co/image/ab67616d0000b2730225711dc520d382bf0d0b45,"['disco', 'europop', 'minneapolis sound']",59,0.907,0.564,0,-9.29,1,0.0568,0.000928,0.65,0.108,0.229,122.632,245413,4,disco
3mWpUEBYnv9SIFWfixSJFx,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,"Can't Get Enough Of Your Love, Babe",68,Barry White,Can't Get Enough,https://i.scdn.co/image/ab67616d0000b273aa3252b7843a8a3426cc34bf,"['adult standards', 'disco', 'funk', 'quiet storm', 'soul']",64,0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,274000,4,disco
3pbtBomO4Zt5gGiqsYeiBH,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Upside Down,68,Diana Ross,Diana,https://i.scdn.co/image/ab67616d0000b273abc5193decc1a2984a93f31e,"['adult standards', 'disco', 'motown', 'quiet storm', 'soul']",66,0.873,0.855,5,-8.559,0,0.0615,0.179,0.0285,0.0377,0.884,107.868,245600,4,disco
3MFa9idQuY4iJLWsZl3tIQ,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Young Hearts Run Free,67,Candi Staton,Young Hearts Run Free (US Internet Release),https://i.scdn.co/image/ab67616d0000b2732fda39ea1a0524624719d8aa,"['classic soul', 'disco', 'funk', 'quiet storm', 'soul', 'southern soul']",54,0.653,0.652,7,-9.304,0,0.0427,0.13,1.58e-05,0.202,0.846,115.388,248360,4,disco
7Kszjzps0xbQXyo1pO4KfE,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Le Freak - 2018 Remaster,66,CHIC,C'est Chic (2018 Remaster),https://i.scdn.co/image/ab67616d0000b273bc14482fca294d4ac68efb4a,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",60,0.91,0.641,7,-11.316,1,0.0589,0.0258,6.42e-05,0.0642,0.903,118.533,331360,4,disco
7ohR0qPH6f2Vuj2pUNanJG,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Got To Give It Up - Pt. 1,65,Marvin Gaye,Every Great Motown Hit Of Marvin Gaye,https://i.scdn.co/image/ab67616d0000b273b7d69f48b104003377bf6984,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",72,0.855,0.847,2,-9.019,1,0.042,0.234,0.00062,0.345,0.89,122.644,255133,4,disco
5VJjhHyG8NZ5xdgG6uTb3P,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Brick House,64,Commodores,Commodores,https://i.scdn.co/image/ab67616d0000b27340eea368f4fb5f5ee6dcd9a8,"['adult standards', 'disco', 'funk', 'mellow gold', 'quiet storm', 'soft rock', 'soul']",63,0.831,0.782,4,-10.48,0,0.0595,0.0731,0.0171,0.032,0.631,107.877,208893,4,disco
4YOJFyjqh8eAcbKFfv88mV,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Y.M.C.A.,64,Village People,Cruisin',https://i.scdn.co/image/ab67616d0000b2736effa8520bc566806f680860,['disco'],60,0.75,0.785,6,-10.926,1,0.0591,0.0278,0.0,0.0601,0.752,126.361,286667,4,disco
1qiQduM84A0VeH8Y2uAbqi,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,That's the Way (I Like It) - 2004 Remaster,62,KC & The Sunshine Band,KC & the Sunshine Band,https://i.scdn.co/image/ab67616d0000b273777ea94183cc6c14db581da3,"['disco', 'funk', 'quiet storm', 'soft rock', 'soul']",62,0.68,0.877,5,-10.241,0,0.0353,0.191,0.000656,0.349,0.922,108.674,185107,4,disco
7xJHtECUDzwl7m54YJWEFi,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Heaven Must Be Missing an Angel - Radio Edit,58,Tavares,Heaven Must be Missing an Angel / More Than a Woman,https://i.scdn.co/image/ab67616d0000b2731f3404e5093da476179c00dd,"['adult standards', 'classic soul', 'disco', 'quiet storm', 'soft rock', 'soul']",52,0.68,0.576,7,-13.531,1,0.0343,0.00145,0.0765,0.0551,0.893,119.591,233880,4,disco
3pMeuv4OBarYqVR2bqCPVN,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Ladies Night - Single Version,58,Kool & The Gang,Collected,https://i.scdn.co/image/ab67616d0000b2737f29399efc7ee01e8c56936d,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",66,0.651,0.777,11,-7.853,1,0.167,0.186,0.0,0.0474,0.92,111.707,208733,4,disco
2a1MrtxYybqFV1Ow8VJ1dW,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,I Will Survive - Rerecorded,57,Gloria Gaynor,I Will Survive (Rerecorded),https://i.scdn.co/image/ab67616d0000b273793b4236b943cd72d1577ab2,['disco'],62,0.673,0.752,9,-7.978,0,0.0491,0.00309,0.0,0.112,0.576,120.041,265027,4,disco
6lSVidZXCnOnYAWcgIqVDF,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Shake Your Body (Down to the Ground) - Single Edit,56,The Jacksons,The Essential Michael Jackson,https://i.scdn.co/image/ab67616d0000b273ed1c305cd1e673fe925407ce,"['disco', 'funk', 'motown', 'quiet storm', 'soul']",60,0.774,0.803,0,-4.959,1,0.0877,0.0307,0.0,0.347,0.813,117.779,224893,4,disco
4caiYv89C9GZdDD1RzshWd,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,It's Raining Men - Single Version,56,The Weather Girls,Dance Hits - 80s & 90s,https://i.scdn.co/image/ab67616d0000b273b7789200f07b4cd23a69e7eb,"['disco', 'hi-nrg']",56,0.66,0.927,5,-5.867,0,0.156,0.461,5.73e-05,0.699,0.458,136.247,211533,4,disco
2x1LQq8lsUzAA2wNj8yjC9,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Pick Up the Pieces,56,Average White Band,AWB,https://i.scdn.co/image/ab67616d0000b273d4a6817b14d3dea6f23c680c,"['disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm', 'soul']",49,0.768,0.853,10,-5.915,0,0.0427,0.0548,0.13,0.0188,0.889,107.234,239908,4,disco
2yd0XI7g0BhAgY9GkpPClU,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Outstanding,55,The Gap Band,The Gap Band IV,https://i.scdn.co/image/ab67616d0000b2731eeaabd6f72ff29707f0476f,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",54,0.738,0.498,6,-12.091,1,0.0286,0.223,1.57e-05,0.155,0.774,99.084,198800,4,disco
6Llr9PVC1cirKUwu7Fle83,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Street Life - Single Edit,55,The Crusaders,Gold,https://i.scdn.co/image/ab67616d0000b273aa9581deca4c9593c71feb04,"['funk', 'jazz funk', 'jazz fusion', 'smooth jazz']",44,0.505,0.625,5,-8.195,0,0.0686,0.603,3.98e-05,0.0823,0.608,110.791,332133,4,disco
3Swc1delyFn1fwPDkInUhC,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Feels Like I'm in Love,55,Kelly Marie,Feels Like I'm in Love,https://i.scdn.co/image/ab67616d0000b2735fb74ba15895ca007a2b3bb5,"['disco', 'hi-nrg']",38,0.716,0.758,0,-9.395,1,0.0271,0.0569,0.00515,0.353,0.857,120.774,256667,4,disco
352zgXSWzF85TvLhzJ7kkK,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Ain't No Stoppin' Us Now - Single Version,55,McFadden & Whitehead,The Best Of Philadelphia International Records,https://i.scdn.co/image/ab67616d0000b273983a3e68c8d5184f3ce28bcc,"['disco', 'philly soul', 'post-disco', 'quiet storm']",44,0.739,0.7,1,-8.923,1,0.0454,0.0919,0.0,0.148,0.881,112.76,217773,4,disco
7bET0DUAs59D6BsbdTqXuw,https://open.spotify.com/playlist/37i9dQZF1DX2H07nGW2AbS?si=01a20f9684924c6e,Disco,Disco Inferno,55,The Trammps,The Trammps,https://i.scdn.co/image/ab67616d0000b2730f75621bcf28925537d62d28,"['disco', 'philly soul', 'post-disco']",52,0.802,0.85,5,-6.342,1,0.0413,0.126,0.00104,0.113,0.923,128.007,218027,4,disco
