,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7K47w0YoH5wa118Fxhb0JO,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Le Freak,0,CHIC,Café Opera 30th Anniversary,https://i.scdn.co/image/ab67616d0000b2735d5d271430400c3feae4d4a7,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",60,0.869,0.733,7,-7.766,1,0.0465,0.034,0.0,0.142,0.927,118.616,328800,4,disco
0pvPFZg9N0EhnBRCWKrQij,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Don't Stop 'Til You Get Enough - Single Version,0,Michael Jackson,X2 (Off The Wall /Invincible),https://i.scdn.co/image/ab67616d0000b2737578bbaa2cb2ad115592e285,"['pop', 'r&b', 'soul']",81,0.882,0.94,11,-4.235,1,0.0795,0.0675,0.0259,0.115,0.92,119.237,364560,4,disco
57Fb4ssvtUDe00VaxgjhUb,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,YMCA,0,Village People,YMCA,https://i.scdn.co/image/ab67616d0000b273fe25c893f06dffe854813d82,['disco'],60,0.723,0.969,6,-4.516,1,0.142,0.0643,0.0,0.115,0.728,126.653,286800,4,disco
3XIEWK1V9n25PS9Vb6axj5,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Born to Be Alive - The Original,72,Patrick Hernandez,Born to Be Alive (The Original),https://i.scdn.co/image/ab67616d0000b273d545b93d95a4305c8ea2e178,"['disco', 'hi-nrg']",55,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,188133,4,disco
6pc8xULSlsMdFB3OrqbvZ4,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Celebration - Single Version,0,Kool & The Gang,Celebration / Morning Star,https://i.scdn.co/image/ab67616d0000b273c9ed11f8e6d80e57ee4d349e,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",66,0.843,0.656,1,-11.184,1,0.0595,0.0466,0.0187,0.169,0.931,121.112,215653,4,disco
2nKtRwLpfWGFAlqW4R5eGX,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Is It Too Late,39,Delight,Is It Too Late / Do It Right,https://i.scdn.co/image/ab67616d0000b273ee10538b3d0cd9eb41407eb7,[],23,0.631,0.829,4,-7.724,1,0.0745,0.354,1.03e-05,0.353,0.96,110.603,217277,4,disco
3WMbD1OyfKuwWDWMNbPQ4g,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Daddy Cool,71,Boney M.,Take The Heat Off Me,https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691,"['disco', 'europop']",70,0.763,0.777,5,-6.932,0,0.0364,0.281,0.79,0.134,0.929,124.431,208600,4,disco
0bfmfUQQ291rU0BUxc33u0,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Blame It on the Boogie,47,The Jacksons,70s 100 Hits,https://i.scdn.co/image/ab67616d0000b273871ab8561721e8967eda8269,"['disco', 'funk', 'motown', 'quiet storm', 'soul']",60,0.775,0.647,8,-10.832,1,0.0952,0.0836,0.0,0.0791,0.888,113.297,214200,4,disco
2rgqPSIRAfaO2MGo9smdSX,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,Dancing Queen,0,ABBA,ABBA Gold,https://i.scdn.co/image/ab67616d0000b2733bb42ae6247b62167d71256d,"['europop', 'swedish pop']",80,0.512,0.933,9,-4.343,1,0.0504,0.177,0.00129,0.573,0.71,100.543,231093,4,disco
2M55R2A9IAhLdsCGFj8r8k,https://open.spotify.com/playlist/0aSvbpDVaEBTv9dPiXrndk?si=6b4350e2a9d5418e,Disco 80 & 90,I'm Every Woman,55,Chaka Khan,"Epiphany: The Best of Chaka Khan, Vol. 1",https://i.scdn.co/image/ab67616d0000b2734c5fac07f80bad278dfbad1e,"['disco', 'funk', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",62,0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,249600,4,disco
