,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
5rc28C9Ym7zIAypx3QGcnv,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,And the Beat Goes On,57,The Whispers,The Whispers / Happy Holidays to You,https://i.scdn.co/image/ab67616d0000b273408c6751331cf3f40efb0c05,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",52,0.8,0.608,11,-9.777,0,0.111,0.0711,0.000361,0.0466,0.842,113.196,296027,4,disco
0XYm6E59GxzX2kc5RrhjcY,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,"Good Times - Original 12"" Mix; 2006 Remaster",34,CHIC,"The 12"" Singles Collection",https://i.scdn.co/image/ab67616d0000b273b609105da62f246a40932f2e,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",60,0.865,0.653,2,-7.278,1,0.0525,0.101,0.00671,0.0484,0.867,111.565,490040,4,disco
70LT549DSUQcwZN4ugwXmY,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,"Disco Inferno - LP/12"" Version",0,The Trammps,"12"" Disco",https://i.scdn.co/image/ab67616d0000b27334dc74a40c052aeb8829bfb7,"['disco', 'philly soul', 'post-disco']",52,0.798,0.746,10,-8.639,1,0.0313,0.0304,0.361,0.0703,0.965,128.553,655213,4,disco
5XL6YKK0oLZFVyRZM0V5QM,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,"Bad Girls - 12"" Version",0,Donna Summer,70's Pop,https://i.scdn.co/image/ab67616d0000b2732d1187935ce188b1be849292,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,0.86,0.873,2,-7.922,0,0.0374,0.0162,0.0094,0.319,0.971,120.403,296000,4,disco
6t5aJntgUU6BR7qnZxFOq6,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,"He's the Greatest Dancer - 12"" Mix",32,Sister Sledge,We Are Family - The Essential Sister Sledge,https://i.scdn.co/image/ab67616d0000b273be872a319d8f50d03930a6cb,"['dance pop', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul']",59,0.701,0.81,5,-9.945,0,0.043,0.000964,0.00109,0.195,0.832,113.308,366413,4,disco
4OmDRl8nlE1IkWkwS82nY3,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,Love Sensation,48,Loleatta Holloway,Love Sensation,https://i.scdn.co/image/ab67616d0000b273736ef4460ed484486a2ede51,"['disco', 'diva house', 'philly soul', 'post-disco', 'vocal house']",47,0.703,0.755,5,-9.337,1,0.0749,0.00947,0.02,0.17,0.731,117.128,366200,4,disco
5Vs0jtRmnbJikhUAZzOREi,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,"Use It Up and Wear It Out - 12"" Single Edit",34,Odyssey,"DISCO - 100 Hit's - Dance floor fillers from the 70s and 80s inc. The Jacksons, Boney M & Earth Wind & Fire",https://i.scdn.co/image/ab67616d0000b27317f2b062fbbcfe6e2831c4d5,"['classic uk pop', 'disco', 'hammond organ', 'post-disco', 'quiet storm']",47,0.74,0.914,7,-6.903,1,0.0938,0.296,0.0326,0.113,0.709,127.589,297147,4,disco
7qQzkUWsbvoTDbNpW3FHQu,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,Heaven Must Be Missing An Angel - Pt. 1,56,Tavares,It Only Takes a Minute: A Lifetime with Tavares,https://i.scdn.co/image/ab67616d0000b273f75e38ab7455e79f976d2127,"['adult standards', 'classic soul', 'disco', 'quiet storm', 'soft rock', 'soul']",52,0.605,0.881,9,-4.891,0,0.0462,0.0266,3.28e-06,0.81,0.965,117.178,389760,4,disco
265638nD7nlh7Rduh1LkLG,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,"Hot Stuff - 12"" Version",0,Donna Summer,Bad Girls [Deluxe Edition (US Version)],https://i.scdn.co/image/ab67616d0000b273d34c48bb87b48f74e76f1bf3,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,0.796,0.892,0,-8.31,1,0.0333,0.00475,0.0187,0.0717,0.965,120.4,407053,4,disco
0bpPCsE36K3nnPnaU5azqv,https://open.spotify.com/playlist/2iUm4Ez2UGUpdN4KuBtAu0?si=5f69b78a9f094555,Disco Classics 70s & 80s,"A Night to Remember - 12"" Mix - Bonus Track",0,Shalamar,Friends / Go For It,https://i.scdn.co/image/ab67616d0000b2730684b4bbc7d8844c6e103fe1,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",51,0.857,0.66,10,-9.611,0,0.0462,0.0501,0.0299,0.0629,0.818,108.526,331867,4,disco
