,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2grjqo0Frpf2okIBiifQKs,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,September,82,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",72,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4,disco
4YOJFyjqh8eAcbKFfv88mV,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Y.M.C.A.,64,Village People,Cruisin',https://i.scdn.co/image/ab67616d0000b2736effa8520bc566806f680860,['disco'],60,0.75,0.785,6,-10.926,1,0.0591,0.0278,0.0,0.0601,0.752,126.361,286667,4,disco
3XIEWK1V9n25PS9Vb6axj5,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Born to Be Alive - The Original,72,Patrick Hernandez,Born to Be Alive (The Original),https://i.scdn.co/image/ab67616d0000b273d545b93d95a4305c8ea2e178,"['disco', 'hi-nrg']",55,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,188133,4,disco
5ubvP9oKmxLUVq506fgLhk,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Stayin Alive,80,Bee Gees,How Can You Mend A Broken Heart,https://i.scdn.co/image/ab67616d0000b273a1f748bf1c1e69b3e36a21ea,"['disco', 'mellow gold', 'soft rock']",75,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,285373,4,disco
7GK2KVYH8FrTC9zehmjVMd,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Ring My Bell,61,Anita Ward,Ring My Bell,https://i.scdn.co/image/ab67616d0000b2733b0e0d19618f2dec4531f368,['disco'],45,0.781,0.556,5,-13.067,0,0.0611,0.0661,0.0907,0.0339,0.968,125.999,491933,4,disco
6NSqiyQWIyZLouviktad9X,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Last Night a D.J. Saved My Life,54,Indeep,The Collection,https://i.scdn.co/image/ab67616d0000b27374ff7584f39381e1e9e1639d,"['disco', 'post-disco']",47,0.968,0.345,11,-14.17,1,0.151,0.154,0.00344,0.0425,0.954,109.803,341427,4,disco
2IvetNzSZMH5gwjInoyr18,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,It's Raining Men,62,The Weather Girls,Success,https://i.scdn.co/image/ab67616d0000b273ce5da542e3aec8325e844311,"['disco', 'hi-nrg']",56,0.69,0.744,1,-12.721,1,0.0613,0.034,0.598,0.453,0.56,136.918,324754,4,disco
0GjEhVFGZW8afUYGChu3Rr,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Dancing Queen,83,ABBA,Arrival,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,"['europop', 'swedish pop']",80,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,230400,4,disco
23ITHe1yTMZyDEq323xClf,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Cette année-là,41,Claude François,French Disco Icon,https://i.scdn.co/image/ab67616d0000b27398a40b094a0ab70a9a3eef2b,"['chanson', 'francoton', 'french pop', 'ye ye']",50,0.656,0.78,10,-5.812,1,0.0818,0.214,0.0,0.0419,0.922,109.783,192507,4,disco
4mhJ5UY7hlpFZm6RtELDm1,https://open.spotify.com/playlist/37i9dQZF1DWTZQgENtHuxI?si=710d9a5ea11b458f,Disco Club,Kung Fu Fighting,61,Carl Douglas,Kung Fu Fighter,https://i.scdn.co/image/ab67616d0000b273bac55ac99816eb20fa2b3b4a,['disco'],52,0.621,0.764,2,-8.702,1,0.0578,0.146,4.97e-05,0.161,0.745,102.288,197936,4,disco
