,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2Vnw8zKmjhr1jczUeaqiQg,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,"Hot Stuff - 12"" Version",64,Donna Summer,Bad Girls (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2734863c8620f7c3fa135068768,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,0.796,0.892,0,-8.31,1,0.0333,0.00475,0.0187,0.0717,0.965,120.4,407053,4,disco
6Zlfef97wSpjcitqPXZWcj,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,"Boogie Wonderland (with The Emotions) - 12"" Version",46,"Earth, Wind & Fire",The Essential Emotions - The Columbia Years,https://i.scdn.co/image/ab67616d0000b273daf64505e5d6dc4d4c1e5a08,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",72,0.766,0.857,2,-8.647,0,0.03,0.0414,0.366,0.0288,0.967,131.982,495773,4,disco
2a1MrtxYybqFV1Ow8VJ1dW,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,I Will Survive - Rerecorded,57,Gloria Gaynor,I Will Survive (Rerecorded),https://i.scdn.co/image/ab67616d0000b273793b4236b943cd72d1577ab2,['disco'],62,0.673,0.752,9,-7.978,0,0.0491,0.00309,0.0,0.112,0.576,120.041,265027,4,disco
0qemIQjSxcKyf42VPfZnfa,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,"Night Fever - From ""Saturday Night Fever"" Soundtrack",72,Bee Gees,How Can You Mend A Broken Heart,https://i.scdn.co/image/ab67616d0000b273a1f748bf1c1e69b3e36a21ea,"['disco', 'mellow gold', 'soft rock']",75,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,212800,4,disco
3SnGymj6ijE2iuUfWxLo1q,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,I'm Coming Out,70,Diana Ross,Diana,https://i.scdn.co/image/ab67616d0000b273abc5193decc1a2984a93f31e,"['adult standards', 'disco', 'motown', 'quiet storm', 'soul']",66,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,323347,4,disco
76709jfVPvKWp7ChPQjCk7,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,"Yes Sir, I Can Boogie",51,Baccara,More Monty,https://i.scdn.co/image/ab67616d0000b273c6c0aab777bdccc396baebad,"['classic uk pop', 'disco', 'europop', 'italian disco']",50,0.452,0.755,2,-8.344,1,0.0747,0.113,0.0,0.151,0.508,122.501,272000,4,disco
7GK2KVYH8FrTC9zehmjVMd,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,Ring My Bell,61,Anita Ward,Ring My Bell,https://i.scdn.co/image/ab67616d0000b2733b0e0d19618f2dec4531f368,['disco'],45,0.781,0.556,5,-13.067,0,0.0611,0.0661,0.0907,0.0339,0.968,125.999,491933,4,disco
7Kszjzps0xbQXyo1pO4KfE,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,Le Freak - 2018 Remaster,66,CHIC,C'est Chic (2018 Remaster),https://i.scdn.co/image/ab67616d0000b273bc14482fca294d4ac68efb4a,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",60,0.91,0.641,7,-11.316,1,0.0589,0.0258,6.42e-05,0.0642,0.903,118.533,331360,4,disco
4caiYv89C9GZdDD1RzshWd,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,It's Raining Men - Single Version,56,The Weather Girls,Dance Hits - 80s & 90s,https://i.scdn.co/image/ab67616d0000b273b7789200f07b4cd23a69e7eb,"['disco', 'hi-nrg']",56,0.66,0.927,5,-5.867,0,0.156,0.461,5.73e-05,0.699,0.458,136.247,211533,4,disco
1ibRqifchaAfeNdQGpbRVW,https://open.spotify.com/playlist/37i9dQZF1DX2GKumqRIZ7g?si=a332005597ad44b3,Disco Fever,Bad Girls,61,Donna Summer,Bad Girls,https://i.scdn.co/image/ab67616d0000b27331f6567831ff929fdea02074,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,0.857,0.7,2,-14.506,0,0.0358,0.00387,0.0164,0.411,0.973,120.529,295107,4,disco
