,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2zMJN9JvDlvGP4jB03l1Bz,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Hot Stuff,66,Donna Summer,Bad Girls,https://i.scdn.co/image/ab67616d0000b27331f6567831ff929fdea02074,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,0.823,0.743,0,-13.98,1,0.0316,0.00559,0.0306,0.0707,0.966,120.471,314760,4,disco
0GjEhVFGZW8afUYGChu3Rr,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Dancing Queen,83,ABBA,Arrival,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,"['europop', 'swedish pop']",80,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,230400,4,disco
6ztstiyZL6FXzh4aG46ZPD,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Boogie Wonderland,76,"Earth, Wind & Fire",I Am,https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",72,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4,disco
7z3aH1QV2zwMKXxShBNOGe,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Le Freak,52,CHIC,Le Freak / Savior Faire,https://i.scdn.co/image/ab67616d0000b273e8a200d59f1d21d8320213f1,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",60,0.847,0.491,7,-15.707,1,0.054,0.0363,0.000687,0.186,0.875,119.873,210247,4,disco
46eu3SBuFCXWsPT39Yg3tJ,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Don't Stop 'Til You Get Enough,75,Michael Jackson,Off the Wall,https://i.scdn.co/image/ab67616d0000b2737027294551db4fda68b5ddac,"['pop', 'r&b', 'soul']",81,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,365467,4,disco
4UDmDIqJIbrW0hMBQMFOsM,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Stayin' Alive,72,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b27355fb38fda5321a8923911ff9,"['disco', 'mellow gold', 'soft rock']",75,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644,92867,4,disco
3K7Q9PHUWPTaknlbFPThn2,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Celebration,72,Kool & The Gang,Celebrate!,https://i.scdn.co/image/ab67616d0000b273887b7c596249f628db6c6473,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']",66,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867,4,disco
1ot6jEe4w4hYnsOPjd3xKQ,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,I'm So Excited,71,The Pointer Sisters,So Excited! (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2734650ca0a8f88129d4667acc5,"['disco', 'girl group', 'hi-nrg', 'mellow gold', 'new wave pop', 'soft rock']",62,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,230640,4,disco
5BckPAYcKEJuYs1eV1BHHe,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,Take A Chance On Me,74,ABBA,The Album,https://i.scdn.co/image/ab67616d0000b2736f705bef76c1d861c4d51d8c,"['europop', 'swedish pop']",80,0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064,243933,4,disco
5IKLwqBQG6KU6MP2zP80Nu,https://open.spotify.com/playlist/37i9dQZF1DX1MUPbVKMgJE?si=d44f7cdb6df041f6,Disco Forever,We Are Family - 1995 Remaster,71,Sister Sledge,We Are Family (1995 Remaster),https://i.scdn.co/image/ab67616d0000b2739c6d5c505e6197defb750428,"['dance pop', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul']",59,0.784,0.893,7,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,216733,4,disco
