,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2QfiRTz5Yc8DdShCxG1tB2,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Johnny B. Goode,75,Chuck Berry,Berry Is On Top,https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly']",64,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560,4,blues
4fQMGlCawbTkH9yPPZ49kP,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Green Onions,69,Booker T. & the M.G.'s,Green Onions,https://i.scdn.co/image/ab67616d0000b27346007ceff2f1c33c9b9ec19c,"['classic soul', 'funk', 'instrumental funk', 'instrumental soul', 'memphis soul', 'soul', 'southern soul']",55,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,176333,4,blues
1a2iF9XymafjRk56q7oCxo,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Pride and Joy,66,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'rock', 'texas blues']",61,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,4,blues
58PSYdY0GFg0LFb2PxYk4T,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Mannish Boy,62,Muddy Waters,King Of The Electric Blues,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",55,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,3,blues
4NQfrmGs9iQXVQI9IpRhjM,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,The Thrill Is Gone,61,B.B. King,Completely Well,https://i.scdn.co/image/ab67616d0000b2731a04649cc2ddb348a9e08f23,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,324733,4,blues
2HUZVffVPXvqnrml0gXggp,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Smokestack Lightnin',61,Howlin' Wolf,Moanin' In The Moonlight,https://i.scdn.co/image/ab67616d0000b2736181b1ed45a906d5b2c89af3,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",52,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,188400,4,blues
4uIHPormmUH31qyjP7CU4d,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Statesboro Blues,58,Taj Mahal,Taj Mahal,https://i.scdn.co/image/ab67616d0000b273cc837c65adffa13659a3bafe,"['acoustic blues', 'blues', 'blues rock', 'classic rock', 'country blues', 'country rock', 'folk', 'folk rock', 'harmonica blues', 'jazz blues', 'modern blues', 'roots rock', 'soul', 'traditional blues']",54,0.673,0.481,9,-9.88,1,0.0488,0.0764,4e-05,0.127,0.767,117.087,178973,4,blues
3ocm1Cf1Dk1ODrdBdybh82,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Born Under A Bad Sign - Mono Mix,58,Albert King,Born Under A Bad Sign (Mono),https://i.scdn.co/image/ab67616d0000b27353d060bca8e1bfe646f09ef7,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues']",49,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,169998,4,blues
1yKah8BCP3Vgq2tPBOLKL0,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,All Your Love - Stereo,57,John Mayall & The Bluesbreakers,Bluesbreakers,https://i.scdn.co/image/ab67616d0000b273c40ff56a16cebb8f30af1f66,"['blues', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'traditional blues']",48,0.321,0.625,2,-5.219,0,0.0302,0.491,5.08e-05,0.345,0.777,107.338,212600,4,blues
5MtN38MGEWJt60LwtBmFNP,https://open.spotify.com/playlist/37i9dQZF1DX9GnjlK17CLK?si=696f483cdf5b4a6b,Electric Blues Classics,Texas Flood,58,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'rock', 'texas blues']",61,0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,320907,3,blues
