,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3Gz8ExGcRpnu8BSDzepQhy,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,"The Four Seasons - Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",41,Antonio Vivaldi,Vivaldi: The Four Seasons,https://i.scdn.co/image/ab67616d0000b273310ab274e47cbc0d152d53ad,"['baroque', 'classical', 'early music', 'italian baroque']",68,0.377,0.351,7,-16.348,1,0.0406,0.901,0.852,0.202,0.399,152.483,161107,3,classical
6xez71zpAqQ6N5i8E1jHlD,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,Carmina Burana: O Fortuna,48,Carl Orff,Orff: Carmina Burana,https://i.scdn.co/image/ab67616d0000b2733686b13292710df04021acaa,"['classical', 'early modern classical']",49,0.287,0.158,10,-19.478,1,0.0325,0.525,0.344,0.232,0.363,148.645,144360,3,classical
7HSs4srn1qnZhh7WRWBVOk,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",56,Sergei Prokofiev,Prokofiev: Romeo and Juliet,https://i.scdn.co/image/ab67616d0000b273887c1acfc59249f75742d3fa,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']",54,0.21,0.101,0,-19.383,1,0.0403,0.927,0.902,0.0776,0.153,86.314,341693,4,classical
0dXrZ47LxK2PHm4mjSlwgt,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,"The Planets, Op. 32: 1. Mars, the Bringer of War",45,Gustav Holst,"Holst: The Planets / John Williams: Star Wars Suite / Strauss, R.: Also sprach Zarathustra",https://i.scdn.co/image/ab67616d0000b2733097506b1a6180aba5409e9a,"['british modern classical', 'classical', 'post-romantic era']",51,0.293,0.317,7,-14.707,1,0.0336,0.689,0.923,0.121,0.0859,76.749,429600,3,classical
4FycxLfl7H5CQnqw9J6LXZ,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,Palladio: 1. Allegretto (arr. for Strings Orchestra),49,Karl Jenkins,Quirk,https://i.scdn.co/image/ab67616d0000b273a7e29cfbdd5933673270b1d7,['choral'],57,0.53,0.339,2,-16.973,0,0.0419,0.567,0.874,0.102,0.0719,90.041,226880,4,classical
0N1nVucqKLpIQVuVZyi8t8,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato - Live",37,Edvard Grieg,"Wonderland - Edvard Grieg: Piano Concerto, Lyric Pieces",https://i.scdn.co/image/ab67616d0000b2732c0d0a5eb3480987f14eeded,"['classical', 'late romantic era', 'norwegian classical']",61,0.331,0.0896,9,-21.395,0,0.0409,0.98,0.896,0.117,0.0375,120.037,793480,4,classical
3By9jCy6b4dv5XnlhvIWwx,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,Dies Irae,54,Giuseppe Verdi,Verdi Requiem,https://i.scdn.co/image/ab67616d0000b2735abdabd1eeb2bdd287ad8ce9,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",60,0.272,0.346,0,-14.01,0,0.0317,0.926,0.931,0.0772,0.24,79.773,134747,4,classical
6nqHzwOdGIaX57U6VU6kMO,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": 4. Allegro con fuoco",52,Antonín Dvořák,"Dvorák: Symphony No.9 , Op.95, B. 178 ""From the New World"" / Smetana: The Moldau",https://i.scdn.co/image/ab67616d0000b273753a25c2cf1be4e0ac045a00,"['classical', 'czech classical', 'late romantic era']",58,0.249,0.163,4,-15.638,0,0.0351,0.901,0.741,0.124,0.112,136.037,685000,4,classical
2oLjhx7w8Hyd3gry9cCXr7,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",59,Johannes Brahms,Brahms: 21 Hungarian Dances,https://i.scdn.co/image/ab67616d0000b273502c913f7496cd482eebcdd4,"['classical', 'german romanticism', 'late romantic era']",64,0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,4,classical
4Qt8ZMOkXzQ5dvvVrd3si5,https://open.spotify.com/playlist/37i9dQZF1DX9G9wwzwWL2k?si=fb23af15cbc54907,Epic Classical,"Die Walkure, Act III: Ride of the Valkyries",34,Richard Wagner,Bleeding Chunks of Wagner,https://i.scdn.co/image/ab67616d0000b273cef9999864a7d1cf244418a7,"['classical', 'german opera', 'german romanticism', 'late romantic era']",53,0.201,0.198,7,-16.966,1,0.0325,0.963,0.933,0.0783,0.0482,91.042,329000,3,classical
