,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0QCa6CGQJvYs5190mDePQP,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,Just No Getting Over You (Dream Cruise),31,Joanne Shaw Taylor,Just No Getting Over You (Dream Cruise),https://i.scdn.co/image/ab67616d0000b273998ceee8a421afa2c3e1a57b,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock']",42,0.722,0.92,9,-1.773,1,0.04,0.465,0.00336,0.088,0.931,116.058,280987,4,blues
3BPogMgZeF4e3l71x2ax4w,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,We Go Back (feat. Mavis Staples),43,Buddy Guy,We Go Back (feat. Mavis Staples),https://i.scdn.co/image/ab67616d0000b2730162026bcb659fe37f83372d,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",53,0.658,0.456,9,-6.643,0,0.0602,0.859,1.03e-06,0.101,0.286,91.027,279840,4,blues
3wgjaBZogGtRyVI6Picwd3,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,Pink Turns To Red,36,Shemekia Copeland,Done Come Too Far,https://i.scdn.co/image/ab67616d0000b273d8aefe46bb8cd23870f79c96,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock', 'soul blues']",39,0.633,0.866,8,-5.032,0,0.0353,0.0198,0.0,0.23,0.893,123.959,208416,4,blues
3yrV9iFHJYULuE8jogoPec,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,High Is Low,36,Walter Trout,Ride,https://i.scdn.co/image/ab67616d0000b2730a008d1acbc82bfd04595c98,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock']",40,0.371,0.906,2,-4.887,1,0.0834,0.0512,0.828,0.276,0.479,135.069,259307,3,blues
2IwhGWbdmfMZMZ9JE4GiDN,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,End Of The Line,46,Dr. John,End Of The Line [Feat. Aaron Neville],https://i.scdn.co/image/ab67616d0000b2733414ce39b9310763a1b70df2,"['blues', 'blues rock', 'country rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'roots rock', 'soul']",53,0.689,0.633,5,-8.08,1,0.038,0.421,5.76e-06,0.0969,0.729,139.959,252533,4,blues
6YqNOEJY1xQw1Zbgxa10Bu,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,Blue Blue Water,11,Bob Corritore,Bob Corritore & Friends: You Shocked Me,https://i.scdn.co/image/ab67616d0000b27379ba7317c3128d62c5563e35,"['electric blues', 'harmonica blues']",28,0.309,0.423,9,-4.14,1,0.0287,0.798,0.000377,0.106,0.285,173.474,197389,3,blues
6ehBcXu26w7KT5ZMUHnEBj,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,Two Steps From The Blues,22,Angela Strehli,Two Steps From The Blues,https://i.scdn.co/image/ab67616d0000b2739010ecc57954d67d8e681efb,['texas blues'],31,0.474,0.502,1,-6.602,1,0.025,0.0872,0.0666,0.0673,0.331,96.268,157853,3,blues
2SSuZ7fCreC6czcTtu2wfu,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,Heartache by the Pound,30,Kirk Fletcher,Heartache by the Pound,https://i.scdn.co/image/ab67616d0000b273dc4f6fb175885c4867b5c114,"['electric blues', 'modern blues', 'modern blues rock', 'power blues-rock']",33,0.742,0.702,6,-6.646,0,0.0416,0.217,4.66e-05,0.126,0.615,90.946,189400,4,blues
419eddgUScgFJRyqwUV8mZ,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,Dry Run,42,GA-20,Dry Run,https://i.scdn.co/image/ab67616d0000b273700c971cbdd15ae1ed444a18,[],34,0.67,0.438,9,-7.748,1,0.0294,0.159,3.73e-05,0.085,0.308,84.954,196939,4,blues
3DSBR09kCm9YmwjZ2p2HSd,https://open.spotify.com/playlist/37i9dQZF1DX0QNpebF7rcL?si=201465403da94ab3,Got Blues,Break on Free (Radio Edit),26,St. Paul Peterson,Break on Free (Radio Edit),https://i.scdn.co/image/ab67616d0000b273998c7da5ba1d7252fbe8a7fc,[],21,0.689,0.822,1,-8.526,1,0.0417,0.00339,0.00355,0.203,0.961,131.977,226768,4,blues
