,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6nUIuLITcryRxnLQ74YBeQ,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,I Know I've Been Changed,36,The Staple Singers,Faith And Grace: A Family Journey 1953-1976,https://i.scdn.co/image/ab67616d0000b27365c140ee7ae83785e29ef253,"['chicago soul', 'classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'southern soul']",56,0.61,0.202,10,-13.432,1,0.0323,0.732,0.0,0.418,0.482,110.627,157640,3,blues
09PAOMUiAjZho9HVkd5umo,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Reap What You Sow,39,Otis Rush,Mourning In The Morning,https://i.scdn.co/image/ab67616d0000b273fea221fa82df5694437b3c10,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",41,0.427,0.377,0,-12.516,0,0.038,0.293,0.000203,0.239,0.404,145.068,295667,3,blues
1KQEzCaNkk8ioBMbBeSYLw,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,I'd Rather Go Blind,46,Koko Taylor,From The Heart Of A Woman,https://i.scdn.co/image/ab67616d0000b273cfc4fdb8fd4fd866f434a46c,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",43,0.527,0.167,8,-16.77,1,0.0374,0.473,0.000843,0.0896,0.458,129.981,300467,3,blues
1wZpmkvPVQXdBLc6MnIpJi,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Married To The Blues,41,Shemekia Copeland,Turn The Heat Up!,https://i.scdn.co/image/ab67616d0000b2731218a467afae88501f9a7852,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock', 'soul blues']",39,0.572,0.248,11,-10.86,0,0.0337,0.291,0.0444,0.0813,0.302,127.564,432200,3,blues
32BTFbqhSvYKftE0e8a8d4,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,I Shall Be Released,50,Nina Simone,To Love Somebody (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273d443fe6c1b51189c885c8bb8,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",67,0.374,0.344,9,-10.654,1,0.0344,0.377,3.5e-05,0.0534,0.549,169.868,233000,3,blues
4fwCa8XejynU81AhXovR9r,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,CRY,52,Jon Batiste,WE ARE,https://i.scdn.co/image/ab67616d0000b273185c1d65f3b51465282c1a68,['new orleans jazz'],57,0.738,0.507,9,-6.991,0,0.0272,0.231,0.0014,0.0722,0.699,80.026,237244,4,blues
5AguTIx7t7HqEJHjlizHHs,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Ain't Nobody's Business,29,Otis Spann,The Biggest Thing Since Colossus,https://i.scdn.co/image/ab67616d0000b27321816d558bbe0d9c1906ae3e,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'electric blues', 'jazz blues', 'piano blues', 'traditional blues']",33,0.528,0.105,0,-17.27,1,0.0513,0.276,0.00309,0.0425,0.163,133.226,315373,3,blues
3hhbDnFUb2bicI2df6VurK,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,River,73,Leon Bridges,Coming Home (Deluxe),https://i.scdn.co/image/ab67616d0000b273a8df0c930a741d6f49cc3f8d,['modern blues'],71,0.635,0.184,8,-10.785,1,0.0456,0.665,0.0,0.146,0.177,128.424,240200,4,blues
1yKah8BCP3Vgq2tPBOLKL0,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,All Your Love - Stereo,57,John Mayall & The Bluesbreakers,Bluesbreakers,https://i.scdn.co/image/ab67616d0000b273c40ff56a16cebb8f30af1f66,"['blues', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'traditional blues']",48,0.321,0.625,2,-5.219,0,0.0302,0.491,5.08e-05,0.345,0.777,107.338,212600,4,blues
31GIhpOQpKCzlnuPn03pBQ,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Junker's Blues,52,Champion Jack Dupree,Blues From The Gutter,https://i.scdn.co/image/ab67616d0000b273b1ae21861d1302c0896e81a8,"['acoustic blues', 'barrelhouse piano', 'blues', 'electric blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'rhythm and blues', 'traditional blues']",38,0.779,0.155,5,-21.57,1,0.112,0.856,7.82e-06,0.0974,0.696,103.251,192707,4,blues
3gg0xEc2b4eEbYySLmfFU1,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Mean Old World,51,T-Bone Walker,T-Bone Blues,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'jazz blues', 'texas blues', 'traditional blues']",44,0.73,0.235,0,-15.276,1,0.0355,0.527,0.0112,0.0663,0.624,87.226,247373,4,blues
1cRTAPP2FG9h2WiYMOIVIK,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,The Sky Is Crying,50,Elmore James,Shake Your Money Maker: The Best Of The Fire Sessions,https://i.scdn.co/image/ab67616d0000b2739edadae1fa36bbcfe53430fb,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",44,0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,166400,3,blues
7ITdt0me2VEjKchX3iPzKp,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Souled Out On You,49,Robert Finley,Sharecropper's Son,https://i.scdn.co/image/ab67616d0000b273351803c56558c8921f73cfd1,['black americana'],39,0.392,0.519,2,-7.438,0,0.031,0.526,0.000502,0.283,0.403,174.22,213093,3,blues
4ZSJs1cqeincEi2KjUGmZC,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Lucille,49,B.B. King,Lucille,https://i.scdn.co/image/ab67616d0000b273fcc32ff721fcf492ec000282,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",61,0.6,0.496,3,-9.537,1,0.062,0.759,0.0,0.0564,0.621,114.451,616560,3,blues
65JvAtDMWtNIjDCDOLeJ2A,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Reconsider Baby,47,Lowell Fulson,Hung Down Head,https://i.scdn.co/image/ab67616d0000b273a7ce4bb56cfd88f584109134,"['acoustic blues', 'blues', 'boogie-woogie', 'electric blues', 'jump blues', 'rock-and-roll', 'soul blues', 'texas blues', 'traditional blues']",37,0.693,0.518,0,-10.984,1,0.0534,0.764,0.000782,0.057,0.688,95.258,189467,4,blues
4xu0LW34dFEoHG1x65tQPx,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Lonesome In My Bedroom,47,Luther Johnson,They Call Me the Popcorn Man (France 1975) [Blues Reference],https://i.scdn.co/image/ab67616d0000b273e567999ac091300ab09b78d7,"['chicago blues', 'electric blues']",32,0.676,0.249,0,-13.598,0,0.0349,0.471,0.00712,0.128,0.48,79.828,385600,3,blues
1i7nQGgwloILcp6ZftH2Qa,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Call It Stormy Monday,48,T-Bone Walker,T-Bone Blues,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'jazz blues', 'texas blues', 'traditional blues']",44,0.606,0.301,0,-11.402,1,0.0423,0.545,0.00194,0.0419,0.457,100.979,183027,4,blues
0aIcFRGr88cGtlEJBuDub6,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Do I Move You?,46,Nina Simone,Nina Simone Sings The Blues (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2738c1edace3ab711d2963dfdc8,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",67,0.386,0.511,4,-4.821,0,0.0375,0.802,0.0,0.2,0.548,162.693,164987,3,blues
2lt3INbrnQEZz57tKA05Zy,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Set Sail part I (featuring Lamar Williams Jr.),46,North Mississippi Allstars,Set Sail,https://i.scdn.co/image/ab67616d0000b27342e8c2e540d85f39a5a63273,"['blues rock', 'country rock', 'electric blues', 'funk', 'jam band', 'modern blues', 'modern blues rock', 'new americana', 'rock', 'roots rock', 'southern rock']",46,0.797,0.273,5,-12.929,1,0.126,0.647,3.85e-06,0.101,0.635,88.024,297893,4,blues
1WVh4LQBjRhooTIYmMpAu4,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,Cold Hearted Woman,45,Magic Slim,Tin Pan Alley,https://i.scdn.co/image/ab67616d0000b273fd488a8f4424976a1836d99d,"['blues', 'electric blues']",34,0.488,0.449,7,-10.793,0,0.0438,0.0169,0.019,0.269,0.569,141.897,322027,3,blues
56UsciEGCYrmCTSI3veuvC,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,As The Years Go Passing By,44,Gary Moore,Still Got The Blues,https://i.scdn.co/image/ab67616d0000b273b586fc87d8bde3ba953f233a,"['album rock', 'blues rock', 'british blues', 'electric blues', 'hard rock', 'rock']",59,0.402,0.0982,5,-19.814,0,0.0401,0.356,0.194,0.358,0.191,141.54,464040,3,blues
5vbw9boDHRHLZiv90e2ZVx,https://open.spotify.com/playlist/37i9dQZF1DX1STMhgdmNBY?si=293504000f3d4568,Healin Blues,A Man And The Blues,41,Buddy Guy,A Man And The Blues,https://i.scdn.co/image/ab67616d0000b273cabecde17f4fc5db59d3fd73,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",53,0.504,0.212,0,-16.756,1,0.0408,0.893,0.22,0.0817,0.233,108.629,383200,4,blues
