,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0T5uguWJ4aahe0xPQqPPmD,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Sun Goes Down (BEATSMASH Remix),0,Fabian Mazur,Sun Goes Down (Remixes),https://i.scdn.co/image/ab67616d0000b2731af3f363af09b58e69582427,"['bass trap', 'danish electronic', 'electronic trap', 'traprun']",52,0.472,0.949,8.0,-4.169,1.0,0.088,0.0295,0.0218,0.0633,0.258,149.711,174612.0,4.0,trap
4AReuskFZseMj4RpJk0Zyi,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,The End,16,Noax,The End,https://i.scdn.co/image/ab67616d0000b273d5c5c47b8335999403c2ef9a,"['bass trap', 'traprun']",34,0.541,0.961,1.0,-7.766,1.0,0.0773,0.00362,0.578,0.109,0.276,75.005,140842.0,4.0,trap
65ES1qwOB577ZnTkizMXJJ,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,HUMBLE. - SKRILLEX REMIX,70,Skrillex,HUMBLE. (SKRILLEX REMIX),https://i.scdn.co/image/ab67616d0000b273bd01ceabd584855b2edd838d,"['brostep', 'complextro', 'edm', 'electro']",75,0.901,0.934,11.0,-2.345,1.0,0.273,0.00794,7.68e-05,0.194,0.868,150.037,156800.0,4.0,trap
1UjfulXCFq8o4S4AGulyWD,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Scylla,0,RL Grime,Scylla,https://i.scdn.co/image/ab67616d0000b273c2c3cee3edc597e2964e8fe1,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance', 'vapor twitch']",60,0.618,0.981,8.0,-3.398,0.0,0.064,0.0042,0.83,0.214,0.426,139.993,287143.0,4.0,trap
60E5behybi3XUzcme2uojn,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Tell Me,0,RL Grime,Tell Me,https://i.scdn.co/image/ab67616d0000b273b49583b24d8fc677fc4b33ec,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance', 'vapor twitch']",60,0.593,0.966,5.0,-2.85,0.0,0.0512,0.249,0.489,0.0936,0.274,140.051,281143.0,4.0,trap
2UdXXyVh95zvT1bhq0Ka7T,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Bloodlust,31,Eptic,Bloodlust,https://i.scdn.co/image/ab67616d0000b2739d9f314922f1decc81349d93,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap', 'filthstep', 'melodic dubstep']",50,0.454,0.937,1.0,-3.845,1.0,0.102,0.0146,0.136,0.286,0.133,108.325,244966.0,3.0,trap
3mwbfqOBFShaZnQt0l5iIp,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Árēs,38,BEATSMASH,Árēs,https://i.scdn.co/image/ab67616d0000b2737b0d06809012f214b01ad5ef,"['bass trap', 'traprun']",39,0.397,0.689,11.0,-7.944,1.0,0.0428,0.00341,0.825,0.0728,0.114,150.034,185627.0,4.0,trap
56gJHV1MkyHIS4eDFbzoVa,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Waiting,46,RL Grime,Waiting,https://i.scdn.co/image/ab67616d0000b2735a72ed21005cea3a42bf74d6,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance', 'vapor twitch']",60,0.552,0.915,10.0,-4.421,0.0,0.0616,0.139,0.949,0.146,0.126,160.02,236351.0,4.0,trap
4wfQ0EygzWz2v8kbseZKOZ,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Creed,39,Türküm,Creed,https://i.scdn.co/image/ab67616d0000b2734c4223579744e1ff740eb3ee,"['bass trap', 'electronic trap', 'traprun', 'turkish trap']",39,0.466,0.864,10.0,-5.327,0.0,0.0512,0.000183,0.0,0.0998,0.115,145.116,166552.0,4.0,trap
3o6HLyzdymInopgGXf4a6t,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Kites,10,Parker,Kites,https://i.scdn.co/image/ab67616d0000b273cb7f8b2d862e17e5739d35b4,[],34,0.524,0.98,5.0,-1.774,0.0,0.0611,0.0428,0.15,0.54,0.171,160.103,156000.0,4.0,trap
2YkZS1horquxpVDy4NKdh9,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Savage Cave,4,Trias,Savage Cave,https://i.scdn.co/image/ab67616d0000b27315a00ebd50e61345bb8e13ae,"['bass trap', 'traprun']",42,0.556,0.8,10.0,-6.095,1.0,0.103,0.00713,0.194,0.0897,0.297,150.128,213221.0,4.0,trap
6lwxNGjvD1pFlXyNI2h9aH,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,2 MUCH (feat. 24hrs) (feat. 24hrs),0,Flosstradamus,2 MUCH (feat. 24hrs) (feat. 24hrs),https://i.scdn.co/image/ab67616d0000b273dac4595a3952c930616f3833,"['bass trap', 'edm', 'electro house', 'electronic trap', 'mashup']",47,0.642,0.933,4.0,-2.887,0.0,0.0871,0.0657,1.04e-05,0.087,0.158,150.039,182400.0,4.0,trap
08E0TIudwefGjA27W4zrnf,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Majesty,64,Apashe,Requiem,https://i.scdn.co/image/ab67616d0000b2736e9cba73e17558eabbe6c5b0,['bass trap'],60,0.559,0.805,10.0,-3.54,0.0,0.0703,0.0351,0.00125,0.122,0.286,80.087,267750.0,4.0,trap
30Rxl7mTAUF1fwFfnA26uQ,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Blinq,0,Sweepz,Blinq,https://i.scdn.co/image/ab67616d0000b273c949dffe2bb3e17175a786fb,"['bass trap', 'traprun']",34,0.789,0.958,8.0,-5.546,1.0,0.0761,0.0061,0.902,0.0799,0.356,119.974,146000.0,4.0,trap
3owbWlM89q53TbnMPJTpnh,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,You Owe Me - Nonsens Remix,24,The Chainsmokers,You Owe Me (Remixes),https://i.scdn.co/image/ab67616d0000b27309931795c508cd15812c5c02,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",80,0.547,0.977,2.0,-2.888,1.0,0.0501,0.0603,0.00116,0.279,0.481,159.982,220320.0,4.0,trap
4jCXJyudAZi2PFTRUsRQYX,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Beautiful - ZEKE BEATS Remix,14,What So Not,Beautiful (Remixes),https://i.scdn.co/image/ab67616d0000b273fa855d9cd85e80accfb67d72,"['aussietronica', 'edm', 'electro house', 'electronic trap', 'electropop', 'escape room', 'future bass', 'vapor twitch']",57,0.506,0.589,2.0,-2.16,1.0,0.0683,0.013,0.00115,0.109,0.129,139.582,152571.0,4.0,trap
5GHb72Wb3FiB29SOD4ZfoO,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Head Splitter,46,Getter,Allegiance,https://i.scdn.co/image/ab67616d0000b2734080aaf741cfb94bf7f1fd64,"['brostep', 'dark trap', 'edm', 'electronic trap', 'filthstep']",53,0.739,0.876,11.0,-6.771,1.0,0.0504,0.00599,0.446,0.274,0.479,149.994,214400.0,4.0,trap
7MMpRnF5giPtKmQtJvIsrn,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Burial - Moody Good Remix,0,Yogi,Burial (The Remixes),https://i.scdn.co/image/ab67616d0000b2738185b66ca12cb61790867130,[],38,0.598,0.883,2.0,-3.636,1.0,0.112,0.00146,0.0108,0.199,0.273,147.132,241699.0,4.0,trap
3pe4eISKnnOWoJIc9gaa0z,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Apache,46,BVRNOUT,Apache,https://i.scdn.co/image/ab67616d0000b27332847045828acb4ce3f25369,['electronic trap'],39,0.461,0.806,11.0,-8.024,1.0,0.0436,0.00701,0.806,0.0668,0.199,159.987,234057.0,4.0,trap
0krhPCkS9qtlFCFvgcMZPD,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,SIRI (feat. Elliphant & Pusha T),17,Yogi,SIRI (feat. Elliphant & Pusha T),https://i.scdn.co/image/ab67616d0000b273f4a511b4b88956de172f7e5a,[],38,0.678,0.904,1.0,-6.956,1.0,0.0707,0.0018,0.000181,0.147,0.263,146.019,213698.0,4.0,trap
6JyuJFedEvPmdWQW0PkbGJ,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Purple Lamborghini (with Rick Ross),68,Skrillex,Purple Lamborghini (with Rick Ross),https://i.scdn.co/image/ab67616d0000b273602b6507f5289db71603c2f4,"['brostep', 'complextro', 'edm', 'electro']",75,0.457,0.899,10.0,-2.591,0.0,0.132,0.0019,0.0,0.831,0.298,147.268,215510.0,4.0,trap
4CSTbX2hc4Q28rZzDy67ub,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Battle Royale (Feat. Panther) - Tha Trickaz Remix,19,Apashe,Battle Royale/Black Gold (VIP and Remixes),https://i.scdn.co/image/ab67616d0000b2734b3c4770d07909b6a7800e39,['bass trap'],60,0.605,0.949,7.0,-4.148,1.0,0.254,0.00421,0.0206,0.161,0.282,139.868,250286.0,4.0,trap
47pgDM5iCb9PYyXYpOPFyF,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,WINDOWS FT. RICK RO$$,47,JOYRYDE,WINDOWS FT. RICK RO$$,https://i.scdn.co/image/ab67616d0000b27391012b905c6212296dbc9dfe,"['bass house', 'edm', 'electro house', 'electronic trap']",50,0.691,0.931,11.0,-3.639,1.0,0.354,0.0394,3.07e-06,0.708,0.471,160.158,234750.0,4.0,trap
3cGCvS7Pt3tH5kmm2mhGai,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Akira,28,Ekali,Akira,https://i.scdn.co/image/ab67616d0000b273349a77247c53f4d68bf72a8d,"['canadian electronic', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm', 'vapor twitch']",48,0.576,0.9,8.0,-3.847,1.0,0.085,0.00669,0.666,0.944,0.163,153.975,266494.0,4.0,trap
3JtEYjD09uN9kKFBDw60Wj,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Reims,0,RL Grime,Reims,https://i.scdn.co/image/ab67616d0000b2732b3f8bee392edd57fe7e420e,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance', 'vapor twitch']",60,0.42,0.934,6.0,-4.505,0.0,0.0647,0.0319,0.89,0.0951,0.156,149.991,235066.0,4.0,trap
28QlLenBGFRjxMmKONi9x2,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,U Don't Know - Vincent Remix,38,Alison Wonderland,Run (Deluxe Edition - Remixes),https://i.scdn.co/image/ab67616d0000b2737b84036a7c28fa9d3e49879b,"['aussietronica', 'edm', 'electra', 'electro house', 'electronic trap', 'escape room', 'indietronica']",57,0.414,0.767,2.0,-4.554,0.0,0.065,0.00515,0.0,0.0996,0.21,137.945,217795.0,4.0,trap
4CCUesOHmlajKGEqXPx5P1,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Say Less - Eptic Remix,38,Dillon Francis,Say Less (Remixes),https://i.scdn.co/image/ab67616d0000b273c0883908b4ce7110fc23afd8,"['brostep', 'dance pop', 'edm', 'electro house', 'electronic trap', 'electropop', 'house', 'moombahton', 'pop', 'pop dance', 'slap house', 'tropical house']",65,0.578,0.978,10.0,-1.675,0.0,0.28,0.0451,8.16e-05,0.301,0.656,150.015,230400.0,4.0,trap
60aoHJyDQVrHG5amxKY6hE,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Ultimate,18,Hekler,Ultimate,https://i.scdn.co/image/ab67616d0000b27359a9ec185c7c9e56577fe20a,"['deathstep', 'dubstep', 'electronic trap', 'gaming dubstep']",35,0.41,0.843,1.0,-2.963,0.0,0.438,0.0212,0.41,0.79,0.112,104.869,178286.0,3.0,trap
3PGs6DJ2Q7vZKuRttg30Ww,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Rover,19,TYNAN,Interloper EP,https://i.scdn.co/image/ab67616d0000b27359958c6475dbe6bf574bb56f,"['brostep', 'dubstep', 'electro house', 'electronic trap', 'gaming dubstep', 'melodic dubstep']",38,0.677,0.992,7.0,-2.614,0.0,0.246,0.0734,0.243,0.223,0.343,150.006,218508.0,4.0,trap
2OrPC7fkx0TS0qf4F9mAi0,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Killa,0,Oski,Killa,https://i.scdn.co/image/ab67616d0000b2739f730850b51063acf2373d16,"['bass trap', 'dubstep', 'electro house', 'electronic trap', 'vapor twitch']",42,0.735,0.65,6.0,-5.438,1.0,0.19,0.0182,0.521,0.424,0.329,159.873,194946.0,4.0,trap
2Z6cvDVescESfsoSULwMVv,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Get Down,0,Jauz,Get Down,https://i.scdn.co/image/ab67616d0000b2730a0852974acb403e7734e6bb,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'pop dance']",58,0.469,0.99,5.0,-2.828,0.0,0.121,0.00984,0.000236,0.282,0.0799,127.863,185625.0,4.0,trap
3jfWIwFp7j67W7OyOfvLhE,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Static,9,ZEKE BEATS,Devastate,https://i.scdn.co/image/ab67616d0000b2737da32d594177509250c0b38e,['experimental bass'],32,0.629,0.907,1.0,-5.755,1.0,0.0356,0.00084,0.376,0.0973,0.259,148.006,230155.0,4.0,trap
3u9gYMiWgiEDyarDYiwCHj,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Sing Me to Sleep - KTRL x Birthdayy Partyy Remix,0,LUZCID,Sing Me to Sleep (Remixes),https://i.scdn.co/image/ab67616d0000b273d03dc68bfc2ae0881e5c8980,['experimental bass'],32,0.68,0.872,2.0,-3.313,1.0,0.04,0.00305,0.00585,0.159,0.209,128.073,214000.0,4.0,trap
2uEmlNhzWJPtcbTUdJq2zJ,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,X Up (Trampa Remix),0,Excision,X Up The Remixes,https://i.scdn.co/image/ab67616d0000b273ed9e4f9216d1d8eec4d17ae6,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'melodic dubstep']",60,0.532,0.765,1.0,-5.316,1.0,0.0635,0.00399,2.45e-05,0.11,0.115,144.942,306207.0,4.0,trap
6Ajkwb8glnEKN8ddOBx0Hi,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Lambo,0,QUIX,Lambo,https://i.scdn.co/image/ab67616d0000b27359ada31ca8f2cffd6bb299f1,"['bass trap', 'dubstep', 'electro house', 'electronic trap', 'melodic dubstep', 'vapor twitch']",46,0.673,0.711,1.0,-3.605,1.0,0.149,0.0661,0.25,0.575,0.347,149.989,230400.0,4.0,trap
5Nb5MFx1vzeWESap3oeX0G,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Focused,0,NOIXES,Focused,https://i.scdn.co/image/ab67616d0000b2738045341a396383e9b93875b8,"['bass trap', 'traprun']",45,0.546,0.939,2.0,-5.574,1.0,0.569,0.0236,8.29e-05,0.309,0.162,139.955,188571.0,4.0,trap
71k5Xn5BSv4jBYQtYGjzzA,https://open.spotify.com/playlist/6Sr742m2alGaGfmqf9uweW?si=c0abc3ce4b9645e0,Heavy Hitters,Feel The Volume - Ben Nicky Remix,20,Jauz,Feel The Volume (Ben Nicky Remix),https://i.scdn.co/image/ab67616d0000b2730d32dd68decd180c7847b85b,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'pop dance']",58,0.662,0.941,5.0,-3.527,1.0,0.0551,0.0303,0.489,0.275,0.118,150.007,192000.0,4.0,trap
