,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2e9mDdiPdwkyyTceSiNHbQ,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Grayscale,41,Lamb of God,Grayscale,https://i.scdn.co/image/ab67616d0000b273179e7c554d791e2d34ce7dbc,"['alternative metal', 'groove metal', 'melodic metalcore', 'metal', 'metalcore', 'nu metal', 'virginia metal']",63,0.408,0.992,11,-4.764,1,0.135,0.000919,0.0375,0.354,0.405,175.05,239941,3,metal
54bm2e3tk8cliUz3VSdCPZ,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Master of Puppets (Remastered),78,Metallica,Master of Puppets (Remastered Deluxe Box Set),https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",82,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,515387,4,metal
2HZLXBOnaSRhXStMLrq9fD,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Mary On A Cross,87,Ghost,Seven Inches Of Satanic Panic,https://i.scdn.co/image/ab67616d0000b273bef9b0a348ea8dd18a581025,"['hard rock', 'metal']",76,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,244804,4,metal
1r3PWB1ZzxrPsIj2DNoa10,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Welcome To The Circus,66,Five Finger Death Punch,Welcome To The Circus,https://i.scdn.co/image/ab67616d0000b273f5ee4d47b150dd1b5e003c5f,"['alternative metal', 'groove metal', 'nu metal']",75,0.489,0.987,11,-4.57,0,0.0806,7.62e-05,0.0,0.788,0.297,139.982,256742,4,metal
2DlHlPMa4M17kufBvI2lEN,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Chop Suey!,82,System Of A Down,Toxicity,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,4,metal
4jj9IDO2tCu7OuSop8vTxt,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Soldier On!,57,Megadeth,"The Sick, The Dying… And The Dead!",https://i.scdn.co/image/ab67616d0000b27362c843dbee54435efe80987f,"['album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",71,0.483,0.995,6,-3.781,0,0.106,7.14e-05,0.0225,0.377,0.328,126.298,294427,3,metal
3jagGO7eHHuaD53ibehkux,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Blood and Thunder,65,Mastodon,Leviathan,https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd,"['alternative metal', 'atlanta metal', 'hard rock', 'metal', 'nu metal', 'progressive groove metal', 'progressive sludge', 'rock', 'sludge metal', 'stoner metal']",59,0.364,0.935,2,-6.548,1,0.0724,8.58e-06,0.729,0.0317,0.478,92.717,228587,4,metal
0WSa1sucoNRcEeULlZVQXj,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Can You Feel My Heart,80,Bring Me The Horizon,Sempiternal (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",77,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,228147,5,metal
59WN2psjkt1tyaxjspN8fp,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Killing In The Name,80,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),https://i.scdn.co/image/ab67616d0000b2737676c7bf4e667590e496c2a3,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']",71,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,4,metal
7ACxUo21jtTHzy7ZEV56vU,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=f9603bab9e57440e,Heavy Metal,Crazy Train,78,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),https://i.scdn.co/image/ab67616d0000b273475ca6e5c1ce0ef70740c3c6,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']",71,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4,metal
