,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
7iJHfDv5D3IHMjstog5NNZ,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,Länge Leve Vi,49,23,Selfmade,https://i.scdn.co/image/ab67616d0000b2735c12bd29dd583130bd16a9b4,"['swedish drill', 'swedish hip hop', 'swedish trap pop']",62,0.765,0.401,7,-11.404,0,0.064,0.17,7.37e-05,0.174,0.528,95.005,161684,4,hiphop
6vXi13WQA7ExaAcdTJ26We,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,Source Ft Aden,49,Yasin,98.01.11,https://i.scdn.co/image/ab67616d0000b273660a360926b1be8069fcf93c,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",61,0.821,0.554,7,-8.665,0,0.302,0.305,0.000135,0.164,0.656,100.046,152400,4,hiphop
1jiDCQUaa9LmWpQJRuOWRb,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,Lotta & Sanna,61,Mohelá,Lotta & Sanna,https://i.scdn.co/image/ab67616d0000b27375b36fa40e88a8b258dc5f9d,"['swedish hip hop', 'swedish trap pop']",45,0.869,0.421,5,-9.09,0,0.416,0.255,0.0,0.115,0.667,139.921,135520,4,hiphop
2g8HN35AnVGIk7B8yMucww,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,Big Poppa - 2005 Remaster,78,The Notorious B.I.G.,Ready to Die (The Remaster),https://i.scdn.co/image/ab67616d0000b273db09958534ac66f9a90d3cf7,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",77,0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,252747,4,hiphop
4VQNCzfZ3MdHEwwErNXpBo,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,All Eyez On Me (ft. Big Syke),76,2Pac,All Eyez On Me,https://i.scdn.co/image/ab67616d0000b273073aebff28f79959d2543596,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",79,0.872,0.723,1,-5.968,1,0.247,0.0293,0.0,0.327,0.843,93.279,307773,4,hiphop
23wfXwnsPZYe5A1xXRHb3J,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,The Way I Am,74,Eminem,The Marshall Mathers LP,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,"['detroit hip hop', 'hip hop', 'rap']",90,0.785,0.871,4,-2.692,0,0.265,0.144,0.0,0.309,0.315,87.248,290427,4,hiphop
7nYvUtkQMx1v80S2FH2s9J,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,Regulate,74,Warren G,Regulate… G Funk Era,https://i.scdn.co/image/ab67616d0000b273f6b9b62ea130943d371b69ef,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",62,0.849,0.521,11,-12.999,0,0.216,0.304,1.65e-06,0.115,0.763,95.265,248867,4,hiphop
1Sgj10byiGzPpI2IrXSFEn,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",66,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],https://i.scdn.co/image/ab67616d0000b2735901aaa980d3e714bf01171c,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",67,0.817,0.552,8,-10.8,0,0.385,0.0318,7.01e-06,0.826,0.808,102.011,291067,4,hiphop
2Ih217RCGAmyQR68Nn7Cqo,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,You Know How We Do It,78,Ice Cube,Lethal Injection,https://i.scdn.co/image/ab67616d0000b27368820c2a3865d138ab7daba3,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",74,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,232773,4,hiphop
1AHfovSnGPVYKaahRtA0U6,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,The Message,64,Nas,It Was Written,https://i.scdn.co/image/ab67616d0000b273886d823ecbfcbe661a6b0ab9,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",72,0.614,0.543,5,-7.178,1,0.374,0.00776,3.28e-05,0.383,0.485,178.422,234093,4,hiphop
4woTEX1wYOTGDqNXuavlRC,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,Superman,82,Eminem,The Eminem Show,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,"['detroit hip hop', 'hip hop', 'rap']",90,0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,350320,4,hiphop
7iXF2W9vKmDoGAhlHdpyIa,https://open.spotify.com/playlist/37i9dQZF1EQnqst5TRi17F?si=aa8f0af3ecc54eed,Hip Hop Mix,Forgot About Dre,79,Dr. Dre,2001,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",78,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,222293,4,hiphop
