,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2ZMrQpLGv3H10PeNDEL1UF,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,Incient Stepping,51,Protoje,Incient Stepping,https://i.scdn.co/image/ab67616d0000b273f972efd2f3f8dd475cb97f89,"['dancehall', 'modern reggae']",57,0.838,0.556,1,-7.905,0,0.0916,0.0663,6.94e-05,0.108,0.795,82.98,229168,4,reggae
0jPEWByX9DZAQb5zyQ6eng,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,Slow Down,60,Skip Marley,Higher Place,https://i.scdn.co/image/ab67616d0000b2731e310ac72c0b4221ac8cc6b5,['modern reggae'],57,0.662,0.764,11,-5.224,0,0.111,0.046,0.0,0.0947,0.74,99.971,194406,4,reggae
4F8EDSwqScQxFaLjtScKWO,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,Wanted,53,Lila Iké,Wanted,https://i.scdn.co/image/ab67616d0000b273246d1d5e7da46aa74f52763a,"['modern reggae', 'uk reggae']",50,0.798,0.592,7,-7.48,1,0.116,0.0152,0.0,0.0215,0.761,131.931,217288,4,reggae
7FomypRpFKzSIBOX338U4P,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,Let Me Down,57,Jaz Karis,All Eyes On U,https://i.scdn.co/image/ab67616d0000b27398376a9b68d7d2fe7dffdfed,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",49,0.657,0.374,7,-10.9,1,0.049,0.0412,0.176,0.241,0.478,183.985,148696,4,reggae
23sdZgBlHvaHJcfOLu2PgZ,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,Lowe Mi,52,Sevana,Lowe Mi,https://i.scdn.co/image/ab67616d0000b273126d33af4b7d95820cec6709,['modern reggae'],42,0.575,0.687,5,-5.465,0,0.0751,0.614,6.09e-06,0.137,0.519,127.043,234331,4,reggae
4MbHdE6u1WVqqzwbHLkKUL,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,That's Not True,53,Skip Marley,Higher Place,https://i.scdn.co/image/ab67616d0000b2731e310ac72c0b4221ac8cc6b5,['modern reggae'],57,0.71,0.728,6,-4.736,0,0.0873,0.153,0.0,0.145,0.859,133.999,208893,4,reggae
2KR1FKbtBscgImHlKdoVyj,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,Nice Up The Dance,51,Kabaka Pyramid,Nice Up The Dance,https://i.scdn.co/image/ab67616d0000b27374f505fc2850d381f8ce688b,"['modern reggae', 'reggae fusion']",51,0.693,0.756,0,-2.918,0,0.27,0.0798,0.0,0.121,0.745,81.986,212796,4,reggae
74LujaXmzGQi5wRZ2HFh0G,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,"Holy Mountain (feat. Buju Banton, Sizzla, Mavado & 070 Shake)",51,DJ Khaled,Father Of Asahd,https://i.scdn.co/image/ab67616d0000b273fa2741071b31bb94cb4232ae,"['hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",83,0.579,0.8,6,-3.152,1,0.367,0.166,0.0,0.963,0.604,145.53,294800,4,reggae
1xulzoD8FGNwfqe4ot9fDT,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,Love And Mercy,48,Samory I,Love And Mercy,https://i.scdn.co/image/ab67616d0000b273d5a25aa012fb4b3cc14c0f82,['modern reggae'],37,0.775,0.551,0,-6.588,0,0.281,0.152,0.0,0.145,0.529,153.957,207273,4,reggae
6gkepFIH72ZdSIAjtvS7ZV,https://open.spotify.com/playlist/37i9dQZF1DX3mvx0imueXo?si=111d74a4b6004297,Island Reggae,A Vibe (feat. Wiz Khalifa),48,Protoje,A Vibe (feat. Wiz Khalifa),https://i.scdn.co/image/ab67616d0000b2736b84dd7d9f250fd42e54fc34,"['dancehall', 'modern reggae']",57,0.714,0.683,0,-8.651,1,0.516,0.457,0.0,0.12,0.467,159.893,163853,4,reggae
