,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0aWMVrwxPNYkKmFthzmpRi,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,Blue in Green (feat. John Coltrane & Bill Evans),62,Miles Davis,Kind Of Blue (Legacy Edition),https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",61,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,337733,4,jazz
4l9hml2UCnxoNI3yCdL1BW,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,My Funny Valentine,62,Chet Baker,Chet Baker Sings,https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",62,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,141133,4,jazz
66iKqUazBbTlAEjcZrpDkD,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,What A Diff'rence A Day Made,62,Dinah Washington,What A Diff'rence A Day Makes! (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273a78eaacc0d1eca994d3ffd38,"['adult standards', 'jazz blues', 'lounge', 'soul', 'swing', 'vocal jazz']",57,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,151867,4,jazz
4ol2UyMTiklHVujAWg02nE,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,I Got It Bad And That Ain't Good,58,Oscar Peterson Trio,Night Train (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273947b5cc535d76394a2d98e37,"['adult standards', 'bebop', 'big band', 'jazz', 'jazz trio', 'stride', 'vocal jazz']",56,0.488,0.0527,5,-27.331,1,0.0478,0.971,0.911,0.0882,0.193,49.689,306227,4,jazz
6yKkA8HzwWTZ5taIMaG4Nm,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,My Foolish Heart,58,Bill Evans Trio,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),https://i.scdn.co/image/ab67616d0000b273aa2fcbd15b6724b4719469af,"['bebop', 'jazz', 'jazz fusion', 'jazz trio']",53,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,297320,4,jazz
1xaTXPoDk4VOU9XhYX4KJM,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,A Nightingale Sang In Berkeley Square,58,Stan Getz,Recorded Fall '61,https://i.scdn.co/image/ab67616d0000b27365bf8331d9eb4ce5aebe4ab4,"['bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz']",62,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,419627,4,jazz
016HKF7A4O7tatoJ9BgZM1,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,Say It (Over And Over Again),56,John Coltrane Quartet,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),https://i.scdn.co/image/ab67616d0000b273a3d4884d3433efed2c4a0563,"['bebop', 'free jazz', 'hard bop', 'jazz', 'jazz quartet', 'jazz saxophone']",47,0.488,0.124,3,-13.038,1,0.0404,0.963,0.333,0.246,0.205,66.105,255960,4,jazz
3DsIu9DB0AZufrQHR4yJKL,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,I Know Why (And So Do You),55,Red Garland,Red Garland's Piano,https://i.scdn.co/image/ab67616d0000b273d5a48cdd592802237de74810,"['bebop', 'hard bop', 'jazz', 'jazz piano', 'stride']",51,0.528,0.0847,0,-16.575,0,0.0405,0.984,0.893,0.131,0.0431,111.49,287613,4,jazz
78MIFwIW5oUNdaL6Sj8hTB,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,You Go To My Head,55,Billie Holiday,Solitude,https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'torch song', 'vocal jazz']",63,0.559,0.0973,8,-16.264,1,0.0463,0.986,0.000104,0.155,0.212,68.3,174867,3,jazz
4zPDjRgceGrR0Sm54YDTTf,https://open.spotify.com/playlist/37i9dQZF1DX7fEiwpooXwB?si=24350541f39f4650,Jazz Ballads,Autumn Nocturne,54,Lou Donaldson,Blues Walk,https://i.scdn.co/image/ab67616d0000b273d94380c918abb94d55758650,"['bebop', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']",45,0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,294667,4,jazz
