,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1V4NaFlrUCK49MXcdOcVeS,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,They Can't Take That Away From Me,60,Ella Fitzgerald,The Complete Ella And Louis On Verve,https://i.scdn.co/image/ab67616d0000b273a0b669c5273f36ffefcf1ebc,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']",66,0.563,0.136,3,-17.402,1,0.0683,0.87,0.0,0.106,0.368,104.928,280000,4,jazz
4m6OC8u2rC6LMFtFWsME7d,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,Time After Time - Vocal Version,59,Chet Baker,Chet Baker Sings,https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",62,0.501,0.0454,0,-18.783,1,0.0388,0.938,3.76e-05,0.2,0.255,99.783,166760,4,jazz
34zhjduFdQFhkRUJ230h9T,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,April In Paris,58,Billie Holiday,All Or Nothing At All,https://i.scdn.co/image/ab67616d0000b2738ce5e77f95cca9b114e4bedb,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'torch song', 'vocal jazz']",63,0.496,0.127,0,-14.211,1,0.0382,0.927,7.07e-05,0.132,0.211,74.746,185587,4,jazz
0Rk9byjmZksAJX15onGns5,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,Teach Me Tonight,57,Dinah Washington,"The Complete Dinah Washington On Mercury, Vol.4 (1954-1956)",https://i.scdn.co/image/ab67616d0000b2732a9bdb7fe25cb06bb3c47695,"['adult standards', 'jazz blues', 'lounge', 'soul', 'swing', 'vocal jazz']",57,0.558,0.231,5,-11.436,0,0.0812,0.805,0.0,0.142,0.403,73.103,167493,4,jazz
7n8HjcaEQzwwpyxHdjWjQq,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,Till There Was You,54,Etta Jones,Something Nice,https://i.scdn.co/image/ab67616d0000b27317a1f33071d78f9449eb1c68,"['adult standards', 'contemporary vocal jazz', 'jazz', 'lounge', 'swing', 'vocal jazz']",47,0.484,0.0631,7,-16.494,1,0.0353,0.972,0.000292,0.143,0.243,136.482,126293,4,jazz
7G7aecTWvlnJoLUJi7tn7f,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,Anything Goes,53,Helen Merrill,Helen Merrill With Strings,https://i.scdn.co/image/ab67616d0000b273d9ad627a9cd01ecf396061a0,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']",44,0.427,0.15,5,-16.863,1,0.0321,0.94,0.00784,0.101,0.441,84.63,187267,4,jazz
5m3XMzewNg9EADweC7j7Nn,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,Embraceable You,53,Sarah Vaughan,Sarah Vaughan,https://i.scdn.co/image/ab67616d0000b273b3a41184ba752731d19d8ef0,"['adult standards', 'jazz', 'lounge', 'swing', 'torch song', 'vocal jazz']",55,0.438,0.106,0,-14.939,1,0.0353,0.947,0.000103,0.147,0.0508,118.785,291173,4,jazz
6x8XKDM8Rnid4TyOUg9kj3,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,They Say It's Wonderful,52,John Coltrane,John Coltrane And Johnny Hartman,https://i.scdn.co/image/ab67616d0000b273b933190768f4cdfa4f487aaa,"['bebop', 'free jazz', 'jazz', 'jazz saxophone']",63,0.355,0.152,5,-14.864,0,0.0401,0.924,0.0771,0.126,0.145,65.215,320773,4,jazz
78MIFwIW5oUNdaL6Sj8hTB,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,You Go To My Head,55,Billie Holiday,Solitude,https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'torch song', 'vocal jazz']",63,0.559,0.0973,8,-16.264,1,0.0463,0.986,0.000104,0.155,0.212,68.3,174867,3,jazz
0NaArK8e9ovK75lLRU0OWM,https://open.spotify.com/playlist/37i9dQZF1DWXwi9yXPDI9y?si=614b19c3b9144d40,Jazz Bar,Do It Again,50,Shirley Horn,Loads Of Love,https://i.scdn.co/image/ab67616d0000b273831d4b3aa9734d8cf79c8228,"['adult standards', 'lounge', 'vocal jazz']",44,0.521,0.0808,0,-20.737,1,0.0568,0.84,4.64e-06,0.356,0.279,77.921,177667,4,jazz
