,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
29U7stRjqHU6rMiS8BfaI9,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,What A Wonderful World,68,Louis Armstrong,What A Wonderful World,https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",68,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,139227,4,jazz
3898C4AbdbptwYet6547e5,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,The Girl From Ipanema,68,Stan Getz,The Girl From Ipanema - The Bossa Nova Years,https://i.scdn.co/image/ab67616d0000b273c21e95926400939bba3c8730,"['bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz']",62,0.664,0.194,5,-15.487,0,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,321827,4,jazz
6VTbbVjKOC2qWagIDbkJrC,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,My Baby Just Cares for Me - 2013 Remastered Version,67,Nina Simone,Little Girl Blue (2013 Remastered Version),https://i.scdn.co/image/ab67616d0000b273d7cd1d8168aaca9041daad61,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",67,0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,215747,4,jazz
33jt3kYWjQzqn3xyYQ5ZEh,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Cheek To Cheek,66,Ella Fitzgerald,The Complete Ella And Louis On Verve,https://i.scdn.co/image/ab67616d0000b273a0b669c5273f36ffefcf1ebc,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']",66,0.663,0.264,0,-14.571,1,0.0914,0.706,0.0,0.1,0.657,122.482,354533,4,jazz
30QD4VRP9yEneOh0eGTrtJ,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Solitude,66,Billie Holiday,Solitude,https://i.scdn.co/image/ab67616d0000b27334708df3636189370a12e6c1,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'torch song', 'vocal jazz']",63,0.462,0.15,8,-13.531,1,0.0522,0.984,0.000902,0.105,0.19,98.66,207600,3,jazz
1YQWosTIljIvxAgHWTp7KP,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Take Five,66,The Dave Brubeck Quartet,Time Out,https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51,"['bebop', 'jazz', 'jazz quartet']",53,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,324133,5,jazz
648TTtYB0bH0P8Hfy0FmkL,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Unforgettable,65,Nat King Cole,Unforgettable,https://i.scdn.co/image/ab67616d0000b273fdd261528e3590ac36bb85f0,"['adult standards', 'lounge', 'vocal jazz']",65,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,191973,3,jazz
0F845nujLVqCb0XMZCh5Pc,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,I Fall In Love Too Easily,64,Chet Baker,Chet Baker Sings,https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",62,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,201440,4,jazz
0E8q2Fx2XuzXCO2NSAppkR,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,In A Sentimental Mood,64,Duke Ellington,Duke Ellington & John Coltrane,https://i.scdn.co/image/ab67616d0000b2732def9ef3f6a82c8d6fd8c143,"['african-american classical', 'big band', 'harlem renaissance', 'jazz', 'jazz piano', 'swing']",56,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,255227,4,jazz
78MI7mu1LV1k4IA2HzKmHe,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Dream A Little Dream Of Me - Single Version,66,Ella Fitzgerald,"Love, Ella",https://i.scdn.co/image/ab67616d0000b27388ab39d88260598e95ebf5f4,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']",66,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,185160,4,jazz
2gNjmvuQiEd2z9SqyYi8HH,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Summertime,64,Louis Armstrong,Porgy And Bess,https://i.scdn.co/image/ab67616d0000b27311aafea0ad62648d4669626f,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",68,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,298133,5,jazz
4smkJW6uzoHxGReZqqwHS5,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,I'll Be Seeing You,63,Billie Holiday,Billie Holiday,https://i.scdn.co/image/ab67616d0000b273f8743d2c7812763f7f66e83b,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'torch song', 'vocal jazz']",63,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,211533,3,jazz
2IdwQxhJn9ZE4zIotcCefR,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Stormy Weather,62,Etta James,At Last!,https://i.scdn.co/image/ab67616d0000b273b2229a8fdf377abaf3652624,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",65,0.262,0.356,0,-8.031,0,0.0303,0.613,0.0,0.175,0.426,174.176,187667,3,jazz
0aWMVrwxPNYkKmFthzmpRi,https://open.spotify.com/playlist/37i9dQZF1DXbITWG1ZJKYt?si=66ae92528e8b4a64,Jazz Classics,Blue in Green (feat. John Coltrane & Bill Evans),62,Miles Davis,Kind Of Blue (Legacy Edition),https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",61,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,337733,4,jazz
