,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4Hhv2vrOTy89HFRcjU3QOx,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,At Last,74,Etta James,At Last!,https://i.scdn.co/image/ab67616d0000b273b2229a8fdf377abaf3652624,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",65,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,179693,3,jazz
4QxDOjgpYtQDxxbWPuEJOy,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,L-O-V-E,70,Nat King Cole,L-O-V-E,https://i.scdn.co/image/ab67616d0000b2738daeb3002870ebba8e8d1387,"['adult standards', 'lounge', 'vocal jazz']",65,0.425,0.373,4,-7.543,1,0.0801,0.686,0.0,0.077,0.663,78.231,155307,4,jazz
74VR3AkGPhbYXnxcOYa16x,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,Strangers In The Night,69,Frank Sinatra,Strangers In The Night (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27350bb7ca1fe7e98df87ce41d9,"['adult standards', 'easy listening', 'lounge']",74,0.259,0.473,5,-8.275,1,0.0295,0.592,0.0,0.201,0.539,90.348,157867,4,jazz
29U7stRjqHU6rMiS8BfaI9,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,What A Wonderful World,68,Louis Armstrong,What A Wonderful World,https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",68,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,139227,4,jazz
6VTbbVjKOC2qWagIDbkJrC,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,My Baby Just Cares for Me - 2013 Remastered Version,67,Nina Simone,Little Girl Blue (2013 Remastered Version),https://i.scdn.co/image/ab67616d0000b273d7cd1d8168aaca9041daad61,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",67,0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,215747,4,jazz
4I4aQGNJ2HufloNtB65nxR,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,That's Amore,61,Dean Martin,"Dean Martin: The Capitol Recordings, Vol. 4 (1952-1954)",https://i.scdn.co/image/ab67616d0000b273df4dfaff5c996b7998d6c34e,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",65,0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554,190400,4,jazz
648TTtYB0bH0P8Hfy0FmkL,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,Unforgettable,65,Nat King Cole,Unforgettable,https://i.scdn.co/image/ab67616d0000b273fdd261528e3590ac36bb85f0,"['adult standards', 'lounge', 'vocal jazz']",65,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,191973,3,jazz
0uPkCpuoERqrkBL06Art50,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,My One And Only Love,61,John Coltrane,John Coltrane And Johnny Hartman,https://i.scdn.co/image/ab67616d0000b273b933190768f4cdfa4f487aaa,"['bebop', 'free jazz', 'jazz', 'jazz saxophone']",63,0.474,0.0676,9,-16.101,0,0.0363,0.963,0.00291,0.14,0.248,115.713,295240,3,jazz
1LGqJ3nvxpVXDWpEzq4DJD,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,All of Me,60,Billie Holiday,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),https://i.scdn.co/image/ab67616d0000b273452bd32b5454a87f36ad8e8c,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'torch song', 'vocal jazz']",63,0.504,0.0644,2,-14.754,0,0.0408,0.972,4.36e-06,0.174,0.403,106.994,181440,5,jazz
1V4NaFlrUCK49MXcdOcVeS,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,They Can't Take That Away From Me,60,Ella Fitzgerald,The Complete Ella And Louis On Verve,https://i.scdn.co/image/ab67616d0000b273a0b669c5273f36ffefcf1ebc,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']",66,0.563,0.136,3,-17.402,1,0.0683,0.87,0.0,0.106,0.368,104.928,280000,4,jazz
7gHFBNy0Qn86xGKJ9OdFTw,https://open.spotify.com/playlist/37i9dQZF1DX76YsWjvbz9I?si=51785b6b0e944701,Jazz for Lovers,Misty,60,Sarah Vaughan,Sarah Vaughan's Golden Hits,https://i.scdn.co/image/ab67616d0000b273348da4a4820fa40f0f811cb2,"['adult standards', 'jazz', 'lounge', 'swing', 'torch song', 'vocal jazz']",55,0.224,0.214,2,-14.455,0,0.0348,0.976,0.00094,0.367,0.14,83.906,179373,3,jazz
