,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
3qXpbtghezZZJJu77upfkv,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,We'll Meet Again,49,Vera Lynn,Gold: 100 Songs From A Life In Music,https://i.scdn.co/image/ab67616d0000b273503594274737131e98b03b58,"['adult standards', 'lounge']",50,0.392,0.132,11,-13.486,0,0.0322,0.901,0.0,0.846,0.192,91.002,178667,4,jazz
1IqF5PUDUnaykHLs0RWbDO,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,Time Moves Slow,71,BADBADNOTGOOD,IV,https://i.scdn.co/image/ab67616d0000b27340080ed5a2ec3c92bf445247,"['alternative hip hop', 'canadian modern jazz', 'escape room', 'indie soul']",64,0.591,0.376,11,-10.832,0,0.0543,0.478,0.0282,0.101,0.308,140.026,273864,4,jazz
6VTbbVjKOC2qWagIDbkJrC,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,My Baby Just Cares for Me - 2013 Remastered Version,67,Nina Simone,Little Girl Blue (2013 Remastered Version),https://i.scdn.co/image/ab67616d0000b273d7cd1d8168aaca9041daad61,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",67,0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,215747,4,jazz
6ZgaUtMlUzUf7SqbUUnfbu,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,Blue Train - Remastered 2003/Rudy Van Gelder Edition,53,John Coltrane,Blue Train (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27301ffa1c7915624b95b9065e0,"['bebop', 'free jazz', 'jazz', 'jazz saxophone']",63,0.506,0.493,8,-7.759,1,0.0427,0.798,0.00355,0.307,0.584,134.77,644013,4,jazz
1YQWosTIljIvxAgHWTp7KP,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,Take Five,66,The Dave Brubeck Quartet,Time Out,https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51,"['bebop', 'jazz', 'jazz quartet']",53,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,324133,5,jazz
0sCeNwt8xRCMR4NhKpMyBe,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,Cantaloupe Island - Remastered,59,Herbie Hancock,Empyrean Isles (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273e9eb91ae8241234cb7aaaa4c,"['contemporary post-bop', 'instrumental funk', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'uk contemporary jazz']",56,0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,333947,4,jazz
4rmCI9VWrwrJTJ8XQ80BMN,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,My Little Brown Book,58,Duke Ellington,Duke Ellington & John Coltrane,https://i.scdn.co/image/ab67616d0000b2732def9ef3f6a82c8d6fd8c143,"['african-american classical', 'big band', 'harlem renaissance', 'jazz', 'jazz piano', 'swing']",56,0.372,0.187,0,-13.497,0,0.0323,0.942,0.139,0.161,0.217,70.334,319733,4,jazz
6EC51OfUhguCbNp5H5SdGm,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,"Waltz For Debby - Live At The Village Vanguard, New York / 1961 / Take 2",52,Bill Evans Trio,At The Village Vanguard,https://i.scdn.co/image/ab67616d0000b273172f210803d390d6d0dbf8e9,"['bebop', 'jazz', 'jazz fusion', 'jazz trio']",53,0.579,0.223,5,-22.061,1,0.0412,0.89,0.848,0.105,0.531,88.809,409640,3,jazz
4zPDjRgceGrR0Sm54YDTTf,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,Autumn Nocturne,54,Lou Donaldson,Blues Walk,https://i.scdn.co/image/ab67616d0000b273d94380c918abb94d55758650,"['bebop', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']",45,0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,294667,4,jazz
38R2EViAkYOFG8ZkG3GLtW,https://open.spotify.com/playlist/37i9dQZF1EQqA6klNdJvwx?si=5e81ee8c5bb942f8,Jazz Mix,On The Sunny Side Of The Street,52,Dizzy Gillespie,Dizzy 100,https://i.scdn.co/image/ab67616d0000b2732cd31f4139e3886f1f4e863f,"['bebop', 'big band', 'jazz', 'jazz fusion', 'jazz trumpet', 'swing']",48,0.671,0.352,0,-11.511,1,0.0556,0.532,0.000141,0.11,0.396,120.235,342891,4,jazz
