,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4ojZuJ575GlwN2weuWDr8z,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,I Remember Clifford,56,Benny Golson,Benny Golson And The Philadelphians,https://i.scdn.co/image/ab67616d0000b273d58597b396082af0cc3d02b6,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz saxophone', 'stride', 'vocal jazz']",44,0.304,0.124,3,-18.748,1,0.0438,0.351,0.0,0.157,0.124,181.665,182427,3,jazz
40jkZfOGxDcIRgNz9nEoZ7,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,Alfie,55,Rahsaan Roland Kirk,Rip Rig And Panic / Now Please Don't You Cry Beautiful Edith,https://i.scdn.co/image/ab67616d0000b27397db899d958b746bd12464a3,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz saxophone', 'soul jazz']",41,0.453,0.0474,0,-19.864,1,0.0399,0.975,0.688,0.131,0.333,105.345,172667,4,jazz
3DsIu9DB0AZufrQHR4yJKL,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,I Know Why (And So Do You),55,Red Garland,Red Garland's Piano,https://i.scdn.co/image/ab67616d0000b273d5a48cdd592802237de74810,"['bebop', 'hard bop', 'jazz', 'jazz piano', 'stride']",51,0.528,0.0847,0,-16.575,0,0.0405,0.984,0.893,0.131,0.0431,111.49,287613,4,jazz
3PJMsxg6rz9FOo6xNiASXz,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,Goodbye Pork Pie Hat,54,Charles Mingus,Mingus Ah Um,https://i.scdn.co/image/ab67616d0000b273aa397a43547cd41e228a3063,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']",47,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,342373,3,jazz
53VuyKap8WiDjkrtm5d4h3,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,That's All,54,Ben Webster,King Of The Tenors,https://i.scdn.co/image/ab67616d0000b27307d379f4544e5d2747b6e9b7,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'stride', 'swing', 'vocal jazz']",51,0.483,0.126,7,-13.156,0,0.0583,0.888,0.000135,0.112,0.388,79.656,227760,3,jazz
2HdvZsLXBmO9sc4cV8d4BA,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,Nancy (With The Laughing Face),53,John Coltrane Quartet,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),https://i.scdn.co/image/ab67616d0000b273a3d4884d3433efed2c4a0563,"['bebop', 'free jazz', 'hard bop', 'jazz', 'jazz quartet', 'jazz saxophone']",47,0.521,0.139,5,-13.774,1,0.0467,0.984,0.192,0.152,0.3,116.404,191867,1,jazz
6cRsRBzSaGwfnMMqNSjtFY,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,Don't Go To Strangers,51,Etta Jones,Don't Go To Strangers (Rudy Van Gelder Remaster),https://i.scdn.co/image/ab67616d0000b273fb77d07acf427104ca752bd9,"['adult standards', 'contemporary vocal jazz', 'jazz', 'lounge', 'swing', 'vocal jazz']",47,0.497,0.086,7,-13.579,1,0.0443,0.974,0.00106,0.124,0.171,129.332,228360,4,jazz
6PKCEB5JzjCizpz9hUQcpX,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,It Never Entered My Mind,51,Coleman Hawkins,Coleman Hawkins Encounters Ben Webster (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273a4a5edccf99e77660ce27b09,"['bebop', 'big band', 'jazz', 'jazz saxophone', 'stride', 'swing', 'vocal jazz']",49,0.564,0.097,5,-16.442,1,0.038,0.958,0.0588,0.119,0.393,132.653,346920,4,jazz
7ysmJhXFQtiBQlk6EZ6sks,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,50,Stanley Turrentine,Look Out! (Remastered),https://i.scdn.co/image/ab67616d0000b273df53647daace215fdb9059f2,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",42,0.505,0.159,7,-11.235,0,0.0336,0.946,0.0127,0.212,0.196,59.385,295200,4,jazz
1CRxANVlNyN2IYjarx96gU,https://open.spotify.com/playlist/37i9dQZF1DWWR73B3Bnjfh?si=00a836157fda48b7,Jazz Noir,Visa från Utanmyra,50,Jan Johansson,Jazz på svenska,https://i.scdn.co/image/ab67616d0000b27334190c904a52720a3ffcad76,['swedish jazz'],42,0.618,0.0772,9,-21.306,0,0.0514,0.975,0.919,0.107,0.36,104.691,273800,4,jazz
