,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2DlHlPMa4M17kufBvI2lEN,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Chop Suey!,82,System Of A Down,Toxicity,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,4,metal
61mWefnWQOLf90gepjOCb3,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Duality,79,Slipknot,Vol. 3: The Subliminal Verses,https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a,"['alternative metal', 'nu metal', 'rap metal']",78,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4,metal
6imjJij6aCM0IbbODUzJQn,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Kickstart My Heart,78,Mötley Crüe,Dr. Feelgood,https://i.scdn.co/image/ab67616d0000b2735335d0162fd8aa2df6f6752b,"['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",71,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,284027,4,metal
54bm2e3tk8cliUz3VSdCPZ,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Master of Puppets (Remastered),78,Metallica,Master of Puppets (Remastered Deluxe Box Set),https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",82,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,515387,4,metal
2bPGTMB5sFfFYQ2YvSmup0,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Deutschland,76,Rammstein,Rammstein,https://i.scdn.co/image/ab67616d0000b27302add2c77fb6999e311a3248,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",79,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,322340,4,metal
5anCkDvJ17aznvK5TED5uo,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Hail to the King,76,Avenged Sevenfold,Hail to the King,https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2,"['alternative metal', 'nu metal']",73,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907,4,metal
7CpbhqKUedOIrcvc94p60Y,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Bodies,75,Drowning Pool,Sinner,https://i.scdn.co/image/ab67616d0000b27326d45b50f2016fed43d54320,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",61,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,201960,4,metal
0EYOdF5FCkgOJJla8DI2Md,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,B.Y.O.B.,76,System Of A Down,Mezmerize,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,255467,4,metal
4Uiw0Sl9yskBaC6P4DcdVD,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Be Quiet and Drive (Far Away),74,Deftones,Around the Fur,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",76,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,299867,4,metal
6Nm8h73ycDG2saCnZV8poF,https://open.spotify.com/playlist/37i9dQZF1DX06VUQ1GoKge?si=1212a795bd604575,Metal Charge,Dragula,74,Rob Zombie,Hellbilly Deluxe,https://i.scdn.co/image/ab67616d0000b27313d4adf9e4b938f88266f4e4,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock', 'rock']",65,0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,222827,4,metal
