,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
54bm2e3tk8cliUz3VSdCPZ,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Master of Puppets (Remastered),78,Metallica,Master of Puppets (Remastered Deluxe Box Set),https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",82,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,515387,4,metal
2DlHlPMa4M17kufBvI2lEN,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Chop Suey!,82,System Of A Down,Toxicity,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,"['alternative metal', 'nu metal', 'rap metal', 'rock']",77,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,4,metal
61mWefnWQOLf90gepjOCb3,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Duality,79,Slipknot,Vol. 3: The Subliminal Verses,https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a,"['alternative metal', 'nu metal', 'rap metal']",78,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4,metal
7ACxUo21jtTHzy7ZEV56vU,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Crazy Train,78,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),https://i.scdn.co/image/ab67616d0000b273475ca6e5c1ce0ef70740c3c6,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']",71,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4,metal
6W21LNLz9Sw7sUSNWMSHRu,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Freak On a Leash,76,Korn,Follow The Leader,https://i.scdn.co/image/ab67616d0000b27350d216aebaf98e8ac9947fd5,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",74,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,255733,4,metal
5anCkDvJ17aznvK5TED5uo,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Hail to the King,76,Avenged Sevenfold,Hail to the King,https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2,"['alternative metal', 'nu metal']",73,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907,4,metal
1158ckiB5S4cpsdYHDB9IF,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,My Own Summer (Shove It),75,Deftones,Around the Fur,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",76,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,214760,4,metal
7CpbhqKUedOIrcvc94p60Y,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Bodies,75,Drowning Pool,Sinner,https://i.scdn.co/image/ab67616d0000b27326d45b50f2016fed43d54320,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",61,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,201960,4,metal
6Nm8h73ycDG2saCnZV8poF,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Dragula,74,Rob Zombie,Hellbilly Deluxe,https://i.scdn.co/image/ab67616d0000b27313d4adf9e4b938f88266f4e4,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock', 'rock']",65,0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,222827,4,metal
3VqHuw0wFlIHcIPWkhIbdQ,https://open.spotify.com/playlist/37i9dQZF1DWWOaP4H0w5b0?si=5d988969545b43ec,Metal Essentials,Enter Sandman (Remastered),77,Metallica,Metallica (Remastered),https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",82,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560,4,metal
