,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0xrkyEMkG4dVa5OMLQZOX8,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,Engel,69,Rammstein,Sehnsucht,https://i.scdn.co/image/ab67616d0000b273a715d32590424cd667879ba3,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",79,0.637,0.658,2,-5.775,1,0.0291,0.00918,0.00229,0.295,0.328,96.072,264267,4,metal
20sXcaJkWP0DdzA58Colw3,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,The Writing On The Wall,61,Iron Maiden,Senjutsu,https://i.scdn.co/image/ab67616d0000b2739dded020fbe39dc9c3d3122f,"['hard rock', 'metal', 'nwobhm', 'rock']",74,0.402,0.912,2,-5.447,0,0.0442,0.00158,0.000179,0.0923,0.566,90.045,373899,4,metal
5wxSEpdE0Mrk8JlP6htabb,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,Gott Mit Uns,43,Sabaton,Carolus Rex (Swedish),https://i.scdn.co/image/ab67616d0000b27387d66e93f9de710066c6c9de,"['metal', 'power metal', 'swedish metal', 'swedish power metal']",71,0.447,0.943,10,-3.535,1,0.05,0.00284,0.00969,0.341,0.468,135.003,195640,4,metal
0L7zm6afBEtrNKo6C6Gj08,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,Painkiller,67,Judas Priest,Painkiller,https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock']",66,0.435,0.987,1,-4.667,0,0.16,0.000195,0.0847,0.268,0.101,103.16,365827,4,metal
7fcfNW0XxTWlwVlftzfDOR,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,Walk,74,Pantera,Vulgar Display of Power,https://i.scdn.co/image/ab67616d0000b273347c0a40c1e3f0c890a6d9d6,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'texas metal']",68,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120,4,metal
2dXsILW8gzkosqleHAvl0v,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,For Whom The Bell Tolls - Remastered,73,Metallica,Ride The Lightning (Remastered),https://i.scdn.co/image/ab67616d0000b2739ad3e9959f48d513886b8933,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",82,0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897,309973,4,metal
61dTqhd46yMkSWmC5LAh5F,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,Angel Of Death,58,Slayer,Reign In Blood,https://i.scdn.co/image/ab67616d0000b273fd833375c806981a61bb82ec,"['alternative metal', 'death metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",65,0.332,0.994,1,-4.336,1,0.137,0.000119,0.322,0.142,0.0829,106.086,291440,4,metal
6b6uLZsoGhObYexIxnRbIb,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,Hangar 18 - Remastered,62,Megadeth,Rust In Peace (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273be9fa5a89479b6af481938a0,"['album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",71,0.248,0.988,2,-3.74,1,0.144,5.87e-05,0.84,0.323,0.149,115.301,311200,4,metal
5qFxuUIAwJlzO60vqOiL7y,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,Rainbow In The Dark,67,Dio,Holy Diver,https://i.scdn.co/image/ab67616d0000b27315350aa1c89e23a5fa6c0de1,"['album rock', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock']",62,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,252693,4,metal
2M5WTwqnkyz7bW6P1CiD6q,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=3e6c02b5b9974e7c,Metal Mix,I'm Broken,65,Pantera,Far Beyond Driven,https://i.scdn.co/image/ab67616d0000b27364fa027e7ef7ce20fa8b46f2,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'texas metal']",68,0.419,0.878,7,-6.352,1,0.0553,0.000594,0.559,0.139,0.666,147.385,264800,4,metal
