,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
51TG9W3y9qyO8BY5RXKgnZ,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Symphony Of Destruction,73,Megadeth,Countdown To Extinction,https://i.scdn.co/image/ab67616d0000b2737b178f928742be1492c6fba2,"['album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",71,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733,4,metal
0sxYYT48UPkmrDx8p4Hnrl,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Run to the Hills - 2015 Remaster,61,Iron Maiden,The Number of the Beast (2015 - Remaster),https://i.scdn.co/image/ab67616d0000b273312f2e71ea2ffd2d6bae1c90,"['hard rock', 'metal', 'nwobhm', 'rock']",74,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,233507,4,metal
08mG3Y1vljYA6bvDt4Wqkj,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Back In Black,84,AC/DC,Back In Black,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,"['australian rock', 'hard rock', 'rock']",80,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,metal
07q0QVgO56EorrSGHC48y3,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,I Was Made For Lovin' You,82,KISS,Dynasty,https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022,"['album rock', 'glam rock', 'hard rock', 'metal', 'rock']",73,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,271240,4,metal
2RaA6kIcvomt77qlIgGhCT,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Breaking the Law,71,Judas Priest,British Steel,https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock']",66,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4,metal
6imjJij6aCM0IbbODUzJQn,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Kickstart My Heart,78,Mötley Crüe,Dr. Feelgood,https://i.scdn.co/image/ab67616d0000b2735335d0162fd8aa2df6f6752b,"['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",71,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,284027,4,metal
54bm2e3tk8cliUz3VSdCPZ,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Master of Puppets (Remastered),78,Metallica,Master of Puppets (Remastered Deluxe Box Set),https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",82,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,515387,4,metal
2zYzyRzz6pRmhPzyfMEC8s,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Highway to Hell,84,AC/DC,Highway to Hell,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,"['australian rock', 'hard rock', 'rock']",80,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,metal
7N3PAbqfTjSEU1edb2tY8j,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Jump - 2015 Remaster,78,Van Halen,1984 (Remastered),https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",71,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,4,metal
7ACxUo21jtTHzy7ZEV56vU,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=7edbe630c61b4f0a,Old School Metal,Crazy Train,78,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),https://i.scdn.co/image/ab67616d0000b273475ca6e5c1ce0ef70740c3c6,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']",71,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4,metal
