,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
36VvwmbsehGcneBMNgd2N1,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Late at Night (feat. Lila Iké),42,Protoje,Late at Night (feat. Lila Iké),https://i.scdn.co/image/ab67616d0000b27390aa8957e84ca59298c30807,"['dancehall', 'modern reggae']",57,0.717,0.728,6,-5.367,0,0.127,0.0375,4.79e-05,0.112,0.368,80.921,231882,4,reggae
1BkY0N8ChFk2mdLbAUu8ZK,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Pass The Dutchie,81,Musical Youth,Anthology,https://i.scdn.co/image/ab67616d0000b27392a9d95df51a8d84f90166a6,['uk reggae'],64,0.805,0.418,7,-14.374,1,0.0979,0.459,0.0,0.288,0.966,149.724,205427,4,reggae
5O4erNlJ74PIF6kGol1ZrC,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Could You Be Loved,78,Bob Marley & The Wailers,Uprising,https://i.scdn.co/image/ab67616d0000b2731c40418d1c37d727e8e91b04,"['reggae', 'roots reggae']",78,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,237000,4,reggae
4uOKFydzAejjSFqYbv1XPt,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Red Red Wine,74,UB40,The Very Best Of,https://i.scdn.co/image/ab67616d0000b273f1dd69d7399290cc25324706,"['reggae', 'reggae fusion', 'uk reggae']",68,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,183733,4,reggae
2ys6cWKndwCetchUXyNE2M,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Grateful,39,Kabaka Pyramid,Grateful,https://i.scdn.co/image/ab67616d0000b2738ac00e5a4aec132854314b83,"['modern reggae', 'reggae fusion']",51,0.659,0.441,0,-8.522,0,0.262,0.0754,0.0,0.197,0.17,85.886,247591,4,reggae
7FDV5ELOJHCGLe52AnttEd,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Angel,73,Shaggy,Hot Shot,https://i.scdn.co/image/ab67616d0000b2739449f9491c364d28a9668e17,"['pop rap', 'reggae fusion']",72,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,235133,4,reggae
1SssFw74DdHVjRa6ADggdD,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Sweat (A La La La La Long),72,Inner Circle,Blazzin' Fire,https://i.scdn.co/image/ab67616d0000b273cd07cdbe4b041324103c0f08,"['reggae', 'reggae fusion', 'roots reggae']",59,0.787,0.728,0,-7.705,1,0.218,0.0124,0.0,0.157,0.94,173.026,227067,4,reggae
75FYqcxt1YEAtqDLrOeIJn,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Three Little Birds,77,Bob Marley & The Wailers,Exodus,https://i.scdn.co/image/ab67616d0000b273811bfdc4f55b3a7484524aaf,"['reggae', 'roots reggae']",78,0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,180267,4,reggae
1xulzoD8FGNwfqe4ot9fDT,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Love And Mercy,48,Samory I,Love And Mercy,https://i.scdn.co/image/ab67616d0000b273d5a25aa012fb4b3cc14c0f82,['modern reggae'],37,0.775,0.551,0,-6.588,0,0.281,0.152,0.0,0.145,0.529,153.957,207273,4,reggae
1LOZMYF5s8qhW7Rv4w2gun,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Dreadlock Holiday,69,10cc,Bloody Tourists,https://i.scdn.co/image/ab67616d0000b27364c6ef51927c575ed9f464cf,"['album rock', 'art rock', 'blues rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",60,0.837,0.38,7,-13.341,0,0.064,0.541,0.00789,0.198,0.892,104.995,267947,4,reggae
1Rvl8qsKJurfFTyWLBI9ib,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,"Baby, I Love Your Way",69,Big Mountain,The Best of Big Mountain,https://i.scdn.co/image/ab67616d0000b2738dad961673a82ade27f202a8,"['reggae', 'reggae fusion']",55,0.651,0.747,1,-7.269,0,0.0699,0.0528,0.0,0.207,0.776,147.518,249520,4,reggae
1HGyhNaRUFEDBiVLbvtbL6,https://open.spotify.com/playlist/37i9dQZF1DWSiyIBdVQrkk?si=e80798c7022f4dd4,One Love,Murder She Wrote,68,Chaka Demus & Pliers,Tease Me,https://i.scdn.co/image/ab67616d0000b2736ede9997b1c47f6891a25671,"['funana', 'lovers rock']",55,0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.947,95.103,245000,4,reggae
