,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6cUCckpdlqHJ5Ascf2uH2A,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",62,Ludwig van Beethoven,Beethoven: Symphonies Nos.5 & 7,https://i.scdn.co/image/ab67616d0000b2733f26be8a62aa6532c2ed93f2,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,442000,4,classical
74WjYdm3Lvbwnds4thYPUU,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Turandot, SC 91 / Act III: ""Nessun dorma!""",61,Giacomo Puccini,Puccini: Turandot - Highlights,https://i.scdn.co/image/ab67616d0000b273d9c0c22ec831598f5d7ebc40,"['classical', 'italian opera', 'italian romanticism', 'post-romantic era']",59,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,177333,4,classical
3sAYxq1986j3ydqLv6jwUJ,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",58,Antonín Dvořák,"Dvořák: Serenade for Strings, Czech Suite",https://i.scdn.co/image/ab67616d0000b273816ebc03f57f321bf42cb308,"['classical', 'czech classical', 'late romantic era']",58,0.0,0.0842,9,-19.397,1,0.0,0.755,0.889,0.262,0.0,0.0,432533,0,classical
0AvCP4oj9iV9tsx9V2G5jm,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Swan Lake, Op. 20, TH 12, Act II, No. 10: Scène (Moderato - Più mossoe)",50,Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,https://i.scdn.co/image/ab67616d0000b273fd4e51fa78820473da655cc3,"['classical', 'late romantic era', 'russian romanticism']",66,0.101,0.111,4,-20.372,0,0.0405,0.826,0.897,0.107,0.124,174.226,160267,4,classical
0pjCsB0XNSyqM9UazlTODC,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,Jazz Suite No. 2: VI. Waltz 2,58,Dmitri Shostakovich,Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot,https://i.scdn.co/image/ab67616d0000b273da2e4a4059497dbf17a9bb78,"['classical', 'compositional ambient', 'russian modern classical']",56,0.322,0.184,0,-18.312,0,0.0338,0.984,0.902,0.0813,0.356,107.847,193600,4,classical
2oLjhx7w8Hyd3gry9cCXr7,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",59,Johannes Brahms,Brahms: 21 Hungarian Dances,https://i.scdn.co/image/ab67616d0000b273502c913f7496cd482eebcdd4,"['classical', 'german romanticism', 'late romantic era']",64,0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,4,classical
0ROMalDdNg3L2HoZP4qFyJ,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto",61,Antonio Vivaldi,"The Four Seasons & Concertos for Bassoon and Violin ""in tromba marina""",https://i.scdn.co/image/ab67616d0000b273577bb481664d06b0b5d5ba58,"['baroque', 'classical', 'early music', 'italian baroque']",68,0.4,0.247,5,-18.249,0,0.0423,0.818,0.64,0.119,0.394,162.078,201853,4,classical
2LiWNkeUOAeibGxJKxmjsD,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Romeo and Juliet, Op. 64 / Act 1: Dance Of The Knights",53,Sergei Prokofiev,Prokofiev: Romeo & Juliet,https://i.scdn.co/image/ab67616d0000b2738af0e6e8cd90c28749ccbcd9,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']",54,0.199,0.0677,0,-20.879,1,0.039,0.786,0.738,0.225,0.145,78.866,307827,3,classical
3gCYBFexR8dQZWeu4F15eu,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",58,Edvard Grieg,"Wonderland - Edvard Grieg: Piano Concerto, Lyric Pieces",https://i.scdn.co/image/ab67616d0000b2732c0d0a5eb3480987f14eeded,"['classical', 'late romantic era', 'norwegian classical']",61,0.172,0.014,1,-27.988,1,0.0424,0.981,0.902,0.0735,0.0348,144.414,398240,3,classical
1chTrqszWQEOP4RsNuOZf7,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,Il barbiere di Siviglia: Overture (Sinfonia),50,Gioachino Rossini,Rossini: Complete Overtures,https://i.scdn.co/image/ab67616d0000b2738e391c9555988a768b17e66c,"['classical', 'italian opera', 'italian romanticism']",52,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,425000,4,classical
59Id4KrBWiizuq53doxWtp,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"The Planets, Op. 32: 4. Jupiter, the Bringer of Jollity",48,Gustav Holst,Holst: The Planets,https://i.scdn.co/image/ab67616d0000b2734c43a2f36c0aec708ba024d5,"['british modern classical', 'classical', 'post-romantic era']",51,0.3,0.297,7,-14.937,0,0.037,0.924,0.925,0.314,0.279,139.855,456000,4,classical
3NbAsIxDL0fVgNuCLD152P,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Dolly, Op. 56: 1. Berceuse",64,Gabriel Fauré,Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,https://i.scdn.co/image/ab67616d0000b273704019bde42f2cc316edd621,"['classical', 'post-romantic era']",60,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,176518,4,classical
6N7JzrteJv8lsr1GWYyu0b,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)",57,Claude Debussy,"Debussy: Children's Corner, Suite bergamasque, Images",https://i.scdn.co/image/ab67616d0000b273cd9397c67cc31889d52b1bc1,"['classical', 'impressionism', 'post-romantic era']",68,0.36,0.0249,1,-27.017,1,0.0463,0.993,0.932,0.0454,0.0396,133.024,279160,5,classical
6nqHzwOdGIaX57U6VU6kMO,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": 4. Allegro con fuoco",52,Antonín Dvořák,"Dvorák: Symphony No.9 , Op.95, B. 178 ""From the New World"" / Smetana: The Moldau",https://i.scdn.co/image/ab67616d0000b273753a25c2cf1be4e0ac045a00,"['classical', 'czech classical', 'late romantic era']",58,0.249,0.163,4,-15.638,0,0.0351,0.901,0.741,0.124,0.112,136.037,685000,4,classical
0CJuLeZpCdqrqoCMXWZw8k,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",56,Pyotr Ilyich Tchaikovsky,Tchaikovsky: The Nutcracker,https://i.scdn.co/image/ab67616d0000b273f1972145094112a1268035f1,"['classical', 'late romantic era', 'russian romanticism']",66,0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,415813,3,classical
2OQzVmgl8WoNEYDdOLSEOf,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 - ""Moonlight"": III. Presto agitato",51,Ludwig van Beethoven,Beethoven: The Piano Sonatas,https://i.scdn.co/image/ab67616d0000b2734daef82bc7d98c7b62298449,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.287,0.0855,6,-24.19,0,0.0481,0.992,0.888,0.105,0.114,156.795,461400,4,classical
6izxDWP8kx2yErjuHOdhHV,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Requiem in D Minor, K. 626: 3. Sequentia: Lacrimosa - Live",52,Wolfgang Amadeus Mozart,Mozart: Requiem,https://i.scdn.co/image/ab67616d0000b273294e552253536ac3ff9361fb,"['classical', 'classical era']",73,0.184,0.0915,2,-20.03,0,0.0413,0.981,0.734,0.222,0.0387,119.375,173000,3,classical
4LTGZ03qAt7ZQ1Pqk97vgZ,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo",45,Antonio Vivaldi,The Four Seasons,https://i.scdn.co/image/ab67616d0000b273c7464f9c451674bc683cb47f,"['baroque', 'classical', 'early music', 'italian baroque']",68,0.289,0.0983,10,-24.327,1,0.0476,0.935,0.506,0.107,0.283,63.964,142333,4,classical
419qlOGNXoyICx4jO0hqaj,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",53,Sergei Rachmaninoff,Rachmaninov Variations,https://i.scdn.co/image/ab67616d0000b273581d3fac7f043e4c90708dff,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",61,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4,classical
1VNvsvEsUpuUCbHpVop1vo,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",65,Frédéric Chopin,Chopin: Nocturnes,https://i.scdn.co/image/ab67616d0000b27355c82855070525581e2c6fee,"['classical', 'early romantic era', 'polish classical']",72,0.442,0.00919,3,-32.452,1,0.047,0.984,0.936,0.0873,0.0929,79.314,273667,4,classical
1SHixA41Vy0TTlJJSX9Gbo,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Symphonie fantastique, Op. 14: Marche au supplice (Allegro non troppo)",44,Hector Berlioz,Berlioz: Symphonie fantastique: Rameau: Suite de Hippolyte et aricie,https://i.scdn.co/image/ab67616d0000b27390419d83a43ffe9bec62ca73,"['classical', 'early modern classical', 'french romanticism']",39,0.354,0.208,10,-17.761,1,0.0388,0.948,0.918,0.0802,0.327,148.049,431787,4,classical
2f2egGUYIOUjcFG3EDFg2F,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,Masquerade Suite: Maskarad (Masquerade): I. Waltz,48,St. Petersburg State Symphony Orchestra,Great Waltzes,https://i.scdn.co/image/ab67616d0000b2733d577e4459f0e1d0f2a8753f,"['orchestra', 'russian orchestra']",39,0.299,0.259,0,-17.679,1,0.0293,0.838,0.951,0.1,0.202,94.311,262000,4,classical
0dYaZeUGUgjmRnjyvR1RWg,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Symphony No. 3 in A Minor, Op. 56, MWV N 18 ""Scottish"": 4. Allegro vivacissimo - Allegro maestoso assai",44,Felix Mendelssohn,Mendelssohn: Symphony No.3; A Midsummer Night's Dream,https://i.scdn.co/image/ab67616d0000b27370e54aa9503b3066d0848af1,"['classical', 'early romantic era', 'german romanticism']",58,0.326,0.284,9,-13.131,0,0.0383,0.902,0.922,0.126,0.213,120.732,576653,4,classical
6DbYlWb6hAB4lOnOMWoR8F,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",39,Edward Elgar,Elgar: Cello Concerto,https://i.scdn.co/image/ab67616d0000b2738cbb816c087fdb4597e8e990,"['british modern classical', 'classical', 'late romantic era', 'victorian britain']",55,0.124,0.0978,4,-22.849,0,0.0432,0.952,0.218,0.112,0.0433,96.309,481867,4,classical
0XfFRLi9G87t57kqZAzeef,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,Meditation: Méditation from Thaïs,55,Jules Massenet,Szymanowski: Violin Concerto No.1,https://i.scdn.co/image/ab67616d0000b273d0a7690f757a1a9e808a7ee2,"['classical', 'french opera', 'french romanticism', 'post-romantic era']",51,0.114,0.0701,4,-23.417,0,0.0445,0.87,0.431,0.0916,0.0371,89.33,331933,1,classical
6oWacAPUt8LMXqRkEk2MNg,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,1812 Overture,47,Pyotr Ilyich Tchaikovsky,Last Night of the Proms,https://i.scdn.co/image/ab67616d0000b2730947f8018fbb25c91d7c7525,"['classical', 'late romantic era', 'russian romanticism']",66,0.233,0.0996,10,-21.564,0,0.04,0.858,0.851,0.094,0.0401,128.3,955000,4,classical
3DNRdudZ2SstnDCVKFdXxG,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",68,Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",https://i.scdn.co/image/ab67616d0000b2735fbde95caaf1018f9af50f71,"['classical', 'classical era', 'early romantic era', 'german romanticism']",70,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,classical
1C3RIRKQZhSk5d2iioIhkg,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"The Planets, Op. 32: 1. Mars, the Bringer of War",45,Gustav Holst,Holst: The Planets,https://i.scdn.co/image/ab67616d0000b2734c43a2f36c0aec708ba024d5,"['british modern classical', 'classical', 'post-romantic era']",51,0.222,0.478,8,-10.759,1,0.0381,0.83,0.887,0.154,0.0756,148.689,441000,5,classical
2hD6W7WJvJInueAZp8OPpa,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Orchestral Suite No. 3 in D Major, BWV 1068: Air",35,London Philharmonic Orchestra,The Greatest Relaxing Pieces,https://i.scdn.co/image/ab67616d0000b2738863b54213b97c188644ab16,"['british orchestra', 'orchestra']",63,0.178,0.206,2,-18.407,1,0.0424,0.98,0.86,0.146,0.0954,71.485,254427,4,classical
4rrrn8OLrttq7r9RgNXalU,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",58,Sergei Rachmaninoff,Rachmaninov: Piano Concerto No.2,https://i.scdn.co/image/ab67616d0000b2738e6adfe4421d106633abde7b,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",61,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,644273,4,classical
2d6ml9Qkx8r4EjuUyrdpRV,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Nocturne No. 1 In B Flat Minor, Op. 9 No. 1",61,Frédéric Chopin,Chopin: Nocturnes,https://i.scdn.co/image/ab67616d0000b2731ac7945379c88fb7f5844b59,"['classical', 'early romantic era', 'polish classical']",72,0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,286987,4,classical
6vS8JCT9WqTFeAuu8smjRF,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,Appalachian Spring: VII. Doppio movimento,45,Aaron Copland,"Copland: Appalachian Spring, Rodeo, Billy the Kid & Fanfare for the Common Man",https://i.scdn.co/image/ab67616d0000b2734b889ddb2c987010c6cb9e3a,"['american modern classical', 'classical', 'early modern classical']",46,0.186,0.124,1,-15.271,1,0.0434,0.978,0.865,0.111,0.248,77.903,183267,4,classical
2s7oaW721ExcKoyxzDWD1D,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Symphony No. 5 in E-Flat Major, Op. 82: 3. Allegro molto",46,Jean Sibelius,Sibelius: Symphonies Nos.5 & 7,https://i.scdn.co/image/ab67616d0000b27353277ca057cd74d1180cc908,"['classical', 'finnish classical', 'impressionism', 'post-romantic era']",55,0.162,0.139,8,-20.694,1,0.0386,0.865,0.918,0.216,0.0903,94.009,481600,3,classical
50KVOLNNqft8SJr5ybrv8G,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,"Rigoletto: ""La donna è mobile""",54,Giuseppe Verdi,Pavarotti singt Verdi,https://i.scdn.co/image/ab67616d0000b273b44fb740a38a787a03c79c61,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",60,0.386,0.128,6,-16.273,1,0.0371,0.966,2.39e-06,0.0827,0.363,66.187,142507,3,classical
2d7139N7CJ9eJmGVE42Y44,https://open.spotify.com/playlist/37i9dQZF1EIgBgeeP4UvPl?si=48bf8417e8c84f60,Orchestra Classical Mix,Carmina Burana: O Fortuna,50,Carl Orff,The 50 Greatest Pieces of Classical Music,https://i.scdn.co/image/ab67616d0000b27376206bd8de3a477aafd7ba83,"['classical', 'early modern classical']",49,0.392,0.307,2,-13.074,0,0.0333,0.96,0.0451,0.0854,0.338,136.883,162773,3,classical
