,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1GNwct4ta6SPen6UiR6cmM,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Listen To Your Heart,27,Phazed,Listen To Your Heart,https://i.scdn.co/image/ab67616d0000b27345693a0d773cb882e8103c50,[],22,0.717,0.566,9,-9.139,0,0.0526,0.0568,0.0407,0.0579,0.355,142.025,256901,4,psytrance
3AEEHyBa3YeM07PfHLN5RV,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Baylla,30,4i20,Baylla,https://i.scdn.co/image/ab67616d0000b273d07c49f870efc8d1b7511107,"['progressive psytrance', 'psychedelic trance', 'trance brasileiro']",38,0.687,0.862,9,-7.38,1,0.0892,0.0257,0.742,0.075,0.216,140.005,320571,4,psytrance
6Pm7f3sTpvOas6DAB05kyH,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Crushing Down,27,Crazy Box,Crushing Down,https://i.scdn.co/image/ab67616d0000b2732e6fa6519203b13883f7d9c4,[],23,0.626,0.718,3,-6.734,0,0.0468,0.00274,0.017,0.176,0.359,142.036,275493,4,psytrance
3wY0DLyit5UboF17RzhaTw,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Smooth Operator,34,Trip-Tamine,Smooth Operator,https://i.scdn.co/image/ab67616d0000b2738c1656d20b8484ea4503a1eb,[],32,0.739,0.865,9,-5.391,0,0.0795,0.0499,0.246,0.194,0.174,144.995,263219,4,psytrance
3vYU3g6y2L0brDR3nt8F5d,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Darkside,40,Memento Mori,Darkside,https://i.scdn.co/image/ab67616d0000b273cb93e3c69a80844dbdf61504,[],42,0.719,0.861,1,-6.338,1,0.0706,0.192,0.842,0.474,0.606,145.036,201931,4,psytrance
5QyjJqlOKfy7Uq7AUbClq6,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Falling Down,38,Johnny Carrera,Falling Down,https://i.scdn.co/image/ab67616d0000b2735fda887c858bf4cd57d14697,[],32,0.751,0.832,7,-8.016,1,0.0513,0.0981,0.544,0.116,0.237,140.987,226286,4,psytrance
6Cieh7iDfedWDKQqIxfIGE,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Close,35,Dzp,Close,https://i.scdn.co/image/ab67616d0000b2735ad648cfceb8effc5d5bdaf0,['trance brasileiro'],34,0.724,0.941,4,-4.048,0,0.128,0.00866,0.34,0.32,0.193,141.981,207887,4,psytrance
75PhzoG7Z5qZFsNdcmlyxu,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Bigger Things,39,Jilax,Bigger Things,https://i.scdn.co/image/ab67616d0000b27371a71254f8cf5bf42b104e7d,['progressive psytrance'],41,0.797,0.828,6,-6.511,0,0.0696,0.111,0.644,0.393,0.63,142.037,245070,4,psytrance
05IPUcHoGjuJMjdiiQE8c4,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Bali Bali,42,Memento Mori,Bali Bali,https://i.scdn.co/image/ab67616d0000b2734a8b590043d0244e66c795cd,[],42,0.63,0.975,1,-2.974,1,0.0865,0.0011,0.274,0.101,0.345,110.992,246487,3,psytrance
4BmLj2It1qW3EneX9qt6bg,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Inside,35,DistinctSide,Inside,https://i.scdn.co/image/ab67616d0000b273ff2f4c4c9ec76b458ce56b4b,[],24,0.599,0.849,8,-7.204,0,0.0471,0.0196,0.78,0.0936,0.45,144.998,374914,4,psytrance
6imZUICpik2ZVecP0MO3aF,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,All Gone,43,Durs,All Gone,https://i.scdn.co/image/ab67616d0000b273148fd8d6d0b58fa0f8bfca74,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",45,0.815,0.611,11,-6.137,0,0.0644,0.0515,0.274,0.338,0.299,141.997,229437,4,psytrance
0sxGllOuvn7zdRlZ9aOPQD,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,New Generation,33,Lisergio,New Generation,https://i.scdn.co/image/ab67616d0000b2730f8670be579e9955cfdf1ef8,[],16,0.713,0.847,5,-7.075,0,0.044,0.0132,0.577,0.627,0.253,138.03,259130,4,psytrance
779z3QCDab1TuAuq0XRwDX,https://open.spotify.com/playlist/313gm2OI6NXUHY4OIJ57ea?si=2854d8bcd27a4949,Psytrance,Do Not Preach Me Now,34,W.A.D,Do Not Preach Me Now,https://i.scdn.co/image/ab67616d0000b2737759664f6bff71b7f981ba0c,[],22,0.609,0.784,0,-7.385,1,0.0722,0.00729,0.137,0.148,0.423,142.083,380810,4,psytrance
