,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
1AQH4K1OX1KHbTt5ojMonp,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Codeine,57,Mandragora,Disc 1,https://i.scdn.co/image/ab67616d0000b2732f70bac829f9802be1963035,"['brazilian edm', 'mexican edm', 'trance mexicano']",55,0.495,0.532,1,-8.846,0,0.0528,0.0227,0.354,0.331,0.0514,140.004,329125,4,psytrance
3BHVLXvqAoIzsnC33u3YJT,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Fake Acid,41,Mandragora,Disc 1,https://i.scdn.co/image/ab67616d0000b2732f70bac829f9802be1963035,"['brazilian edm', 'mexican edm', 'trance mexicano']",55,0.609,0.443,1,-9.011,1,0.0443,0.1,0.626,0.148,0.127,132.999,383375,4,psytrance
6xi2ZBStWipN9Ecw7McjvP,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Reactivation,36,Aura Vortex,Reactivation,https://i.scdn.co/image/ab67616d0000b273556604129ca7c15a76ca4cf0,"['psychedelic trance', 'trance brasileiro']",43,0.689,0.889,0,-5.903,1,0.132,0.00985,0.869,0.183,0.0397,140.014,442657,4,psytrance
1hCGDWFxnPMqMtpXRePBZ5,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Walame,35,Omiki,Walame,https://i.scdn.co/image/ab67616d0000b27383ecc454a127fb91edf551d5,"['progressive psytrance', 'psychedelic trance']",46,0.624,0.857,1,-6.285,1,0.0817,0.00742,0.729,0.387,0.222,140.022,351500,4,psytrance
0qPomrBI5l7I7txysyfQut,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Faya,38,WHITENO1SE,Faya,https://i.scdn.co/image/ab67616d0000b2733316594fcb9e728aba0f1da5,['psychedelic trance'],48,0.625,0.903,2,-4.776,1,0.0955,0.0013,0.161,0.111,0.0456,140.035,420000,4,psytrance
2OE3TQQuLFQg1OBgnza2qc,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Triple M - Original Mix,33,Mandragora,Triple M,https://i.scdn.co/image/ab67616d0000b2733fe221f3787f940369e0e0c0,"['brazilian edm', 'mexican edm', 'trance mexicano']",55,0.759,0.82,5,-7.131,0,0.0994,0.0111,0.736,0.685,0.138,136.012,436167,4,psytrance
511YMpeN8BfyscP48IcWuF,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Special Shine - Original Mix,22,Special M,Special Shine,https://i.scdn.co/image/ab67616d0000b27360dae6eca89e03722a1dabb5,"['psychedelic trance', 'trance brasileiro']",34,0.769,0.916,7,-5.988,1,0.0673,0.0023,0.845,0.354,0.0394,137.001,355620,4,psytrance
7DDpRTI69h9qPssfbuMleD,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Issues,23,Mandragora,Summer Futureprog Mixtape 2017,https://i.scdn.co/image/ab67616d0000b273632b6b895be5f2518b50dea0,"['brazilian edm', 'mexican edm', 'trance mexicano']",55,0.57,0.602,6,-8.036,0,0.182,0.0142,0.0436,0.405,0.189,139.961,245351,4,psytrance
258ecA6fMkaFH2GY4W4wtW,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Desert,9,Electric Gene,Baba In The Desert,https://i.scdn.co/image/ab67616d0000b273f9b5a536c3e13af4db252c28,['trance brasileiro'],9,0.332,0.964,0,-5.462,1,0.0723,0.00443,0.721,0.313,0.57,142.001,380282,4,psytrance
2I3pioYZnYgWrUlPoFwGD5,https://open.spotify.com/playlist/3IF1cCQnPbRov6e74F8CEB?si=eafb4cb6519844e5,Psytrance2,Lua Jaci,16,Gottinari,Lua Jaci,https://i.scdn.co/image/ab67616d0000b273e5373a6f45e1c0fc0a04b230,['trance brasileiro'],36,0.383,0.775,11,-5.827,0,0.0605,0.00122,0.332,0.144,0.427,142.007,289060,4,psytrance
